Counts-435,Counts-436,Counts-435,Counts-436
8812,1933,8468,2877
8375,2192,7735,2948
8342,2337,8586,2835
9027,2515,7923,2624
8589,2242,8580,2783
8134,2212,8831,2721
8532,2217,8367,3114
8844,2142,8356,2772
8380,2102,8503,2751
8135,2104,7381,2926
7279,1777,8053,2767
7859,2287,7769,2696
7229,1990,7536,2857
6878,1901,7754,2784
6717,2394,7170,2720
7281,2154,7013,2945
6587,2345,7009,2565
6064,2125,7213,2449
6714,2060,6547,2464
6457,2116,6162,2785
5932,2358,6230,2622
6242,2559,5610,2713
6143,2306,5941,3125
5519,2934,5788,2865
5255,2919,5720,3106
5385,3066,4997,3136
5002,3416,5305,3345
4796,3249,5170,3617
4877,3861,5396,3450
4901,3861,5336,4004
4707,4064,5429,4478
4457,3974,4904,4712
4804,4436,4539,5012
4665,5437,5045,5437
4480,4792,4738,5582
4164,5509,4221,5673
3764,5407,4322,6081
3467,5824,3719,5605
3391,6081,3841,6098
3721,5956,3563,6591
3091,5752,3448,6059
2843,5934,3146,6969
2748,5692,3267,6472
2826,5835,2813,5854
2816,6275,2732,6074
2463,6278,2748,5944
2091,6431,2550,6241
2414,6182,2919,5666
2096,5664,2201,5617
1981,6011,2282,6743
2120,5842,2461,5480
2028,5737,2611,5645
1954,5868,2125,5626
1859,5766,2161,6164
1903,6658,2083,6154
2187,5742,2090,5578
1708,5454,2063,5705
1599,5220,2065,5357
1737,5549,1795,5572
1695,5623,2223,5041
1798,5580,2214,5331
1810,5679,2126,5334
1675,5770,1912,5269
1733,4935,2062,4622
1553,5382,2220,5089
1610,4841,2144,4993
1734,4995,1913,4947
1924,5019,1912,4857
1629,4209,2221,4601
1538,4151,2168,4588
1880,3834,2160,4311
2189,3759,2053,4400
2298,3265,2223,3660
1981,3036,1996,3677
2318,2850,2843,3310
1808,2738,2486,3530
2142,2433,2672,3035
2452,2556,2969,2717
2693,2658,2987,3267
2834,2326,3032,2726
2696,2408,3682,2804
3406,2267,3591,2484
3641,2395,4048,3146
3743,1876,3952,2884
4136,2098,4603,2547
4515,2250,4412,2857
4222,2060,4947,2703
4731,1960,5523,2582
4869,2138,5333,2784
5059,1967,5676,2651
5268,2049,6716,2521
5592,2075,7715,2388
5784,1862,7093,3055
6647,1854,7212,2649
6067,2222,8136,2820
7063,2410,8096,2954
7050,1968,8924,3220
7368,2256,8330,3132
8687,2568,9873,2734
8187,2201,10239,2948
8409,2304,10252,3748
8558,2560,11797,3222
9770,2111,11017,3500
8923,2544,11966,3541
9545,2560,12285,3592
10465,2231,12499,3438
10449,2569,12784,3704
9818,2460,13352,3370
10320,2170,13539,3406
10407,2611,13934,4209
11816,2735,13227,3637
11232,2355,14244,3999
11558,2530,14180,3664
11414,2432,14056,3797
11579,2376,14820,3705
10808,2483,14229,3785
10870,2739,14279,3843
11215,2491,14732,3503
10978,2417,14010,3663
10461,2728,14053,3666
11107,2240,13803,3377
10808,2309,14315,3445
9894,2570,13390,3289
9927,2267,13914,3343
9215,2319,12687,3530
8945,1987,14082,3590
8856,2097,13353,3615
9260,2044,12400,3863
7644,2209,12324,3705
