Counts-435,Counts-436,Counts-435,Counts-436
363,279,419,336
392,272,360,370
364,286,308,336
389,395,407,316
398,301,416,317
437,304,402,270
407,305,416,367
419,321,447,340
386,298,361,302
416,234,381,290
427,342,463,322
352,272,435,388
517,336,348,356
393,345,503,305
348,304,422,436
493,319,480,284
422,281,479,292
400,338,435,360
467,320,393,367
396,350,475,426
353,313,417,390
411,254,437,367
391,318,319,293
505,283,337,330
437,292,436,402
423,283,447,249
386,355,563,387
416,287,448,306
375,233,541,267
432,302,419,350
398,398,413,385
472,314,398,363
352,354,347,340
406,301,433,259
367,198,411,305
381,297,417,412
269,299,434,283
480,340,419,204
312,327,442,295
338,315,477,313
472,217,352,297
331,273,264,281
358,264,428,240
330,267,460,275
464,239,375,410
422,272,408,273
329,315,424,302
331,265,334,240
374,242,310,284
357,370,410,306
364,325,373,346
370,253,302,298
326,226,408,350
350,262,316,233
410,265,253,262
346,273,381,298
388,209,372,256
330,276,379,315
339,285,292,330
305,279,363,302
405,289,324,373
328,313,358,253
407,271,401,273
329,290,336,361
344,251,294,255
385,230,345,279
389,265,369,275
339,260,431,244
329,270,382,282
374,275,362,284
335,250,280,325
383,305,294,302
370,367,329,378
365,273,303,286
397,272,324,344
337,268,359,265
284,302,379,376
342,345,360,303
327,253,407,334
391,303,282,309
349,280,406,333
331,271,335,264
311,317,295,329
317,295,310,313
322,258,310,334
313,281,405,326
314,260,250,381
252,347,298,398
358,312,245,278
270,330,282,346
280,219,270,321
312,296,276,237
290,290,304,340
300,302,287,305
299,285,318,267
294,361,255,357
351,346,265,377
312,246,318,309
261,284,319,240
298,295,352,257
295,370,358,323
331,365,359,375
327,400,437,399
373,353,385,333
354,341,373,320
382,408,381,328
306,309,325,326
527,308,403,284
354,352,331,398
405,339,368,322
385,326,369,327
391,332,342,403
386,326,243,385
324,327,347,335
261,302,305,374
369,354,349,296
396,340,408,391
260,420,353,306
374,344,368,388
310,291,322,355
394,326,439,332
379,308,356,335
351,350,362,287
302,306,420,298
414,310,418,301
382,339,371,289
372,236,324,311
276,305,317,306
349,262,371,361
368,357,362,405
363,263,453,357
404,371,364,312
374,319,407,425
426,330,372,372
410,280,467,351
451,343,382,334
438,285,393,338
480,299,329,293
395,300,382,351
536,337,447,327
478,356,479,289
385,421,524,328
361,276,432,452
431,424,409,360
436,276,385,413
379,327,501,342
481,314,442,417
405,317,380,374
372,365,428,321
435,363,395,334
435,371,357,361
426,333,505,447
421,356,434,377
486,426,541,480
406,352,442,441
376,337,403,384
475,397,400,377
459,469,453,354
472,398,492,377
432,397,366,403
407,326,519,400
425,405,387,451
380,473,539,537
481,558,491,481
446,552,502,536
428,407,542,518
503,466,472,462
545,368,504,453
476,508,567,457
476,465,509,505
476,505,505,498
416,512,466,407
540,469,527,544
487,424,502,416
463,485,611,406
443,466,532,396
524,448,605,408
555,378,454,305
476,323,528,425
448,409,534,439
516,350,545,411
500,402,500,503
448,321,486,378
432,390,522,433
456,441,408,457
455,411,378,347
423,421,513,398
515,341,635,458
498,336,489,347
483,414,579,424
513,342,610,430
585,408,486,418
598,417,645,462
641,583,655,571
584,383,629,453
568,492,620,532
667,576,708,510
509,550,732,546
719,552,716,609
619,653,724,638
623,595,749,595
667,669,775,650
677,567,719,592
692,619,799,542
803,679,594,653
703,603,712,611
667,763,778,660
736,571,700,634
666,574,792,622
708,563,532,473
586,522,637,631
623,499,702,487
567,509,747,527
530,497,574,526
527,518,539,455
510,451,535,419
444,416,581,509
421,411,458,453
475,398,481,454
489,366,524,469
390,443,483,409
490,336,472,409
463,419,439,398
371,408,350,360
412,347,564,408
383,403,506,335
323,341,432,438
452,339,445,342
393,334,386,370
311,360,364,267
347,324,392,380
437,361,404,458
302,339,494,401
404,344,402,406
352,381,430,323
413,385,467,357
368,456,447,322
321,364,410,432
473,365,470,423
443,412,542,446
478,465,424,351
440,411,523,445
455,475,389,472
560,482,419,402
442,409,527,470
546,495,504,422
490,592,459,588
651,564,494,542
573,503,521,494
489,404,461,483
533,486,469,527
507,485,570,545
513,466,630,556
588,547,573,594
608,497,447,563
482,602,557,563
511,508,506,500
641,500,553,475
539,583,637,558
518,474,538,540
504,472,570,487
553,528,512,557
538,513,557,599
672,508,631,544
630,553,644,377
539,513,579,500
683,440,603,382
678,455,718,448
681,538,629,507
656,513,546,515
669,450,709,463
561,434,803,443
750,440,681,505
685,382,731,412
715,526,665,441
623,473,848,435
581,393,809,473
659,425,558,451
632,368,635,370
648,386,649,364
699,506,576,431
485,420,594,472
596,373,545,426
614,364,569,365
453,337,515,403
453,334,446,287
518,311,546,368
507,329,492,344
466,367,442,306
505,333,443,357
398,358,348,319
446,393,324,307
407,340,377,253
352,246,407,378
380,294,412,296
358,325,411,283
373,302,303,256
402,342,390,290
501,296,441,326
445,313,453,283
452,332,420,364
396,297,385,290
427,383,501,329
407,273,567,400
637,344,458,359
458,379,464,354
510,422,495,341
607,402,523,424
532,388,528,290
562,274,484,330
608,351,473,296
497,355,453,379
545,308,500,296
453,335,489,322
504,343,488,406
443,319,546,259
439,342,521,266
404,333,487,386
493,306,350,406
398,281,390,341
395,297,442,425
484,278,448,387
449,323,418,293
493,303,347,307
362,294,351,337
367,297,326,330
425,270,384,303
317,382,334,288
378,309,438,318
351,289,395,227
389,334,282,352
386,288,408,283
339,312,356,320
360,323,408,359
407,289,335,344
382,304,384,393
430,334,280,315
450,337,328,318
396,290,358,374
308,290,450,322
408,305,425,268
362,276,415,329
360,248,361,367
434,271,340,327
364,269,295,402
339,301,392,304
425,319,404,309
383,377,466,369
452,341,391,339
503,316,340,310
475,376,500,369
674,429,531,427
537,520,599,396
652,644,596,533
772,656,661,493
880,673,614,623
1009,712,952,651
1019,868,1001,750
1092,1134,1049,810
1234,916,1153,939
1515,1046,1246,914
1692,1232,1292,936
1282,1402,1376,1114
1565,1546,1257,1240
1496,1341,1435,1362
1772,1382,1635,1314
1696,1424,1481,1269
1881,1609,1501,1278
1699,1547,1587,1233
1714,1439,1652,1190
1636,1532,1484,973
1536,1459,1534,1252
1378,1478,1477,1245
1242,1275,1351,1189
1152,1368,1299,994
1207,1335,982,1125
1008,1389,845,1084
858,989,972,982
818,970,740,1010
762,1077,740,1015
667,858,679,937
546,951,675,990
497,804,553,830
418,724,489,732
453,761,436,882
463,718,435,813
384,803,449,762
464,575,319,559
403,662,413,645
421,730,462,785
522,565,506,737
577,633,476,555
636,767,529,487
687,660,574,588
705,686,585,743
748,615,747,762
860,739,783,791
758,794,796,769
870,834,905,849
899,1052,1000,899
970,982,948,966
1149,1076,1072,1030
1054,1284,1052,1148
1152,1353,1128,1144
1223,1556,1024,1252
1292,1493,1264,1301
1458,1708,1200,1642
1286,1752,1350,1649
1566,2042,1498,1821
1408,1827,1210,1808
1485,1765,1361,1817
1494,1901,1255,1930
1441,1950,1415,1811
1679,2039,1360,1802
1552,2231,1457,1889
1594,2222,1412,1923
1523,1906,1364,1786
1323,1971,1274,1836
1320,2054,1290,1885
1489,2067,1132,1861
1160,1899,1386,1833
1403,1625,1215,1650
1300,1651,1244,1837
1418,1582,1180,1514
1205,1618,1228,1628
1106,1491,1158,1476
1166,1392,1067,1283
1072,1502,1225,1478
1176,1409,1002,1339
