Counts-435,Counts-436,Counts-435,Counts-436
190,584,393,615
247,591,326,827
176,516,363,549
200,510,350,623
265,637,320,723
254,529,417,617
209,612,303,569
295,480,367,479
232,474,299,561
186,465,281,468
161,453,340,518
244,323,323,509
222,379,303,446
270,334,374,490
214,300,276,454
198,328,418,421
244,261,268,328
214,321,310,363
213,296,341,413
230,278,335,359
206,228,291,310
235,200,383,390
290,266,400,383
296,270,377,382
234,256,493,351
267,229,297,253
320,258,296,345
294,221,401,339
262,242,406,292
265,211,353,346
307,270,432,415
351,172,424,402
366,238,417,417
354,245,443,363
322,242,451,405
387,288,494,360
402,330,445,382
421,277,477,411
611,343,579,392
446,333,553,372
481,351,572,378
647,395,522,451
541,471,469,396
590,373,531,449
482,404,614,402
581,416,587,453
652,358,700,442
608,361,585,411
624,376,655,528
594,428,599,492
682,404,637,520
602,440,560,486
680,392,573,470
666,427,668,449
667,423,695,471
647,403,632,460
708,385,654,485
760,419,684,523
577,407,697,399
671,381,594,395
662,403,725,503
647,436,631,507
791,349,604,490
761,367,720,391
643,325,683,490
664,391,566,537
644,400,681,513
614,401,695,662
598,376,674,515
593,457,709,518
601,437,595,433
604,432,657,457
549,368,660,423
487,471,619,606
544,352,614,422
562,438,526,508
576,467,564,457
491,382,603,404
443,422,535,493
380,406,655,429
494,382,538,469
413,373,478,427
436,367,513,433
357,418,466,435
504,381,510,414
390,358,526,413
414,352,396,441
401,338,510,409
375,341,447,455
296,374,399,412
335,372,465,505
382,344,420,430
413,374,450,484
407,386,450,360
373,331,394,375
340,407,423,364
303,359,339,455
357,377,421,475
380,321,412,458
246,533,328,481
334,386,440,452
284,329,345,434
303,384,383,398
252,321,361,480
267,352,266,318
261,360,331,413
254,487,351,356
234,310,370,373
313,318,433,473
363,355,366,360
318,333,370,388
309,315,388,348
326,299,385,332
300,346,409,365
312,317,402,468
281,334,483,378
375,405,413,417
291,361,405,461
349,330,446,447
449,336,470,484
437,343,518,452
403,277,503,487
370,361,524,379
442,372,618,389
417,377,500,361
427,340,543,428
487,359,473,392
546,345,596,352
514,371,612,352
481,393,567,397
480,354,596,406
499,327,569,356
542,265,548,402
491,403,663,392
517,345,649,440
527,391,624,393
456,390,601,467
448,334,647,503
473,306,684,411
409,275,624,388
503,314,582,454
