Counts-435,Counts-436,Counts-435,Counts-436
244,422,343,519
172,416,361,554
180,520,266,456
198,427,339,600
190,436,344,385
189,436,310,484
206,453,297,450
249,394,278,383
193,285,366,328
227,259,318,395
237,342,345,397
210,371,255,362
270,305,387,354
281,248,308,396
257,252,381,351
218,319,303,400
230,278,309,338
280,280,349,350
358,317,355,361
286,248,337,361
282,269,407,389
262,332,351,391
338,318,387,348
324,331,481,417
338,379,478,445
310,279,451,443
388,325,461,381
430,364,471,434
327,265,421,387
358,301,447,445
455,388,593,490
420,309,478,361
335,349,549,451
481,399,563,378
375,319,516,406
464,348,464,474
464,394,423,531
388,365,504,448
427,379,501,396
353,337,496,386
318,394,436,445
367,324,506,378
408,302,495,397
439,375,568,473
409,420,510,428
364,436,441,401
377,425,399,376
309,312,452,364
376,266,457,401
412,304,527,387
358,320,433,365
357,265,433,381
367,298,456,454
262,372,508,371
328,316,521,335
328,338,402,372
314,319,418,411
317,329,427,320
339,257,343,354
324,258,392,360
345,226,335,351
266,350,311,349
271,278,349,354
285,249,363,340
275,263,394,298
347,288,285,374
320,303,249,353
252,256,315,306
213,316,330,387
294,259,415,388
271,218,343,399
266,235,268,357
265,289,331,350
245,228,321,338
224,299,282,379
283,329,336,358
220,282,345,354
213,340,290,427
289,270,332,449
251,341,299,348
265,369,312,346
254,295,368,408
307,319,329,449
280,298,345,405
252,277,297,420
262,260,357,319
237,343,294,437
242,325,350,392
266,297,328,412
231,329,298,370
269,337,328,417
253,279,338,305
240,298,368,409
259,273,337,425
282,285,262,399
275,341,287,341
247,313,331,442
229,292,378,394
259,346,342,381
235,364,308,372
240,299,318,405
268,402,388,413
213,320,335,353
245,330,325,382
204,310,344,327
197,239,256,371
220,312,273,409
165,299,314,427
252,273,355,465
206,294,303,358
243,280,346,371
254,282,258,376
241,358,294,372
269,315,344,462
222,352,303,312
246,327,274,394
291,331,310,394
260,333,370,428
271,337,382,388
256,227,320,447
287,336,224,380
214,325,292,415
223,376,385,366
290,373,246,472
270,398,376,379
298,350,399,341
257,331,307,407
241,311,313,425
281,338,331,442
240,373,347,409
307,335,348,331
291,285,400,347
294,340,335,396
231,327,284,432
239,265,282,356
274,326,403,408
253,241,321,465
224,256,363,418
297,269,301,327
264,323,317,420
257,292,313,294
259,220,414,337
234,230,325,334
182,241,311,372
213,249,340,291
249,269,291,344
264,305,290,330
253,308,280,371
229,284,343,377
275,388,309,331
177,299,337,377
307,336,293,412
256,346,387,418
307,278,360,349
271,296,390,334
289,256,409,425
268,342,364,345
306,400,412,402
279,316,310,325
302,291,418,402
422,380,344,406
318,352,348,475
299,394,383,472
261,392,331,429
270,313,330,471
354,312,359,415
306,385,414,481
301,414,336,462
304,339,345,424
288,359,391,414
262,431,420,389
289,378,355,447
302,391,312,427
336,471,412,506
310,361,389,520
313,509,419,413
341,454,364,504
282,398,251,452
204,455,425,513
357,381,456,458
251,377,333,463
284,426,265,504
257,411,360,451
302,442,337,442
302,471,298,562
254,363,400,469
293,329,394,468
337,355,303,449
312,410,319,444
266,286,347,435
273,468,374,444
319,351,374,457
247,402,344,335
249,372,342,345
238,274,305,350
248,370,389,368
272,357,330,382
352,316,314,413
270,325,322,359
233,305,371,361
264,247,369,403
231,299,392,351
230,298,399,444
287,279,358,407
339,304,359,370
313,303,359,371
284,289,383,374
273,319,316,473
256,454,450,464
320,375,305,398
355,291,424,465
378,395,496,406
370,346,393,429
317,461,423,562
452,446,404,404
412,477,322,492
353,407,415,424
377,472,476,508
409,448,426,551
403,462,471,484
353,515,356,534
454,431,433,507
345,375,386,479
377,465,421,474
367,419,260,480
399,420,384,386
259,507,319,443
308,434,407,464
217,373,410,455
262,339,403,397
297,359,306,406
235,369,280,408
259,363,293,440
262,386,313,403
236,357,317,326
183,301,332,338
218,256,285,507
215,362,332,369
282,364,314,420
248,338,241,350
219,240,313,358
231,268,286,313
220,291,268,398
234,341,252,352
243,313,375,366
244,315,297,393
258,337,297,451
