Counts-435,Counts-436,Counts-435,Counts-436
221,622,257,582
216,582,323,628
260,469,295,566
231,517,350,561
206,471,211,572
212,537,277,544
161,477,339,427
229,489,317,518
229,391,235,387
235,395,332,498
231,370,364,518
199,355,244,406
196,315,309,412
204,236,291,435
184,263,262,304
257,306,231,387
239,241,279,339
238,301,312,291
251,314,277,406
275,286,307,283
272,263,241,353
181,299,345,412
263,338,331,397
288,272,291,310
223,295,269,389
310,343,287,332
257,338,268,385
326,410,265,383
371,348,368,388
257,384,314,369
317,324,343,405
293,304,377,381
415,276,384,388
342,292,372,363
318,411,377,346
334,306,328,381
429,302,476,378
374,344,344,473
431,317,470,346
478,324,366,329
422,395,378,352
392,272,377,405
396,369,431,403
422,336,426,259
475,387,446,445
473,435,454,347
420,354,406,392
445,371,408,394
497,385,453,402
481,375,489,419
415,408,474,449
427,378,395,381
458,369,472,396
396,345,373,405
518,326,415,519
405,339,460,421
429,292,402,345
397,273,539,364
403,262,404,367
373,306,406,372
370,275,373,371
356,370,346,405
246,301,311,479
271,326,397,378
321,374,293,416
278,247,350,369
316,240,325,337
307,303,350,385
211,292,318,331
211,263,343,433
333,311,294,383
298,319,304,413
195,290,396,406
266,342,256,303
230,320,306,422
247,303,297,396
241,275,268,472
207,362,250,318
283,399,285,399
320,386,316,391
339,405,290,391
294,336,308,335
269,407,259,396
197,329,377,451
283,365,302,466
246,394,322,430
202,435,255,453
277,397,234,470
207,422,285,440
263,388,264,502
276,424,246,452
220,495,418,517
255,502,328,427
288,427,278,444
322,418,234,506
168,469,249,492
241,455,265,539
238,513,219,480
196,458,305,464
239,505,286,486
199,375,232,446
179,427,198,439
202,357,272,462
235,477,211,444
254,345,239,414
201,382,212,375
268,405,271,413
190,473,170,434
227,290,245,427
220,405,284,326
204,356,260,347
275,342,260,314
216,336,233,412
211,368,285,390
155,398,200,413
292,403,226,420
241,306,300,292
283,326,311,356
284,337,285,444
221,391,308,418
279,375,266,497
255,357,314,504
231,451,391,383
253,433,330,545
233,421,261,472
304,510,320,478
327,408,264,483
299,421,258,450
336,493,286,369
239,481,317,452
281,398,264,408
260,381,242,337
312,356,324,340
322,404,408,419
314,336,342,347
326,446,266,420
294,332,333,350
272,369,342,403
285,390,303,309
199,256,306,350
208,263,370,356
283,283,314,279
317,296,334,300
268,320,330,378
268,296,268,362
221,292,265,362
235,328,266,386
266,316,302,377
254,298,256,294
297,345,275,390
215,359,299,383
307,323,268,313
268,318,295,272
289,294,296,354
255,363,316,321
263,318,301,457
356,327,299,390
252,364,280,356
332,446,323,424
289,412,290,356
336,422,355,544
332,439,353,484
288,356,370,373
330,390,321,363
335,500,346,436
331,390,257,444
282,418,298,458
318,388,316,408
269,422,306,402
277,433,331,491
307,401,339,445
319,397,312,401
259,441,343,534
342,542,354,477
293,481,314,438
323,484,397,538
330,487,348,440
322,466,294,463
314,565,308,571
378,577,325,617
362,614,426,627
276,597,413,618
351,654,267,509
322,580,327,615
303,510,296,552
319,566,363,546
227,672,341,519
229,541,348,554
318,612,363,604
325,513,250,584
236,491,313,505
207,600,330,608
340,582,310,547
318,468,316,510
261,486,319,510
271,493,390,554
253,574,324,467
267,411,247,457
282,370,326,524
277,424,429,502
255,406,332,400
287,412,330,508
259,388,300,421
281,446,241,350
229,269,235,375
303,328,284,486
278,439,320,513
277,336,335,391
261,357,306,392
301,443,334,353
338,400,355,372
351,343,315,392
309,425,303,500
362,461,299,369
265,469,389,396
311,464,280,472
269,420,286,383
388,484,341,554
374,590,364,500
314,646,316,520
375,587,335,599
319,721,402,554
271,709,384,638
347,702,326,658
386,685,313,586
346,703,335,559
276,654,288,568
287,675,322,569
299,699,334,695
254,659,341,587
248,616,406,562
200,613,325,657
283,568,314,588
206,564,280,609
268,556,260,507
241,679,291,589
250,549,322,587
301,614,234,607
199,592,281,527
257,562,279,597
211,468,325,537
276,575,341,495
219,577,356,527
243,498,377,662
179,469,330,557
196,605,256,514
282,560,321,665
218,583,305,575
257,558,297,564
233,528,417,641
248,608,358,529
179,636,370,586
321,585,396,479
294,580,394,582
236,538,404,574
330,531,406,585
316,608,427,543
367,548,459,529
329,615,554,730
404,632,485,575
387,551,498,577
422,647,372,540
374,526,490,721
424,544,500,625
374,631,509,552
458,660,531,686
452,657,468,560
458,603,579,698
430,651,595,680
397,541,579,601
480,730,555,661
501,575,515,614
339,600,612,667
407,677,569,568
469,626,495,661
490,783,592,732
583,610,516,596
501,691,458,597
398,637,482,554
418,706,518,622
523,741,663,696
491,746,568,652
566,662,479,630
465,688,552,596
553,749,612,715
497,752,508,709
529,664,613,729
449,655,496,685
544,729,478,640
492,741,584,661
407,671,566,644
515,634,496,613
571,609,514,480
548,615,485,724
475,638,528,583
496,716,480,563
409,667,527,523
394,568,412,496
488,616,537,576
498,629,413,483
426,589,378,512
390,545,425,400
484,550,438,485
446,497,422,483
346,387,374,472
384,456,320,553
330,422,377,402
261,454,415,479
290,453,353,367
293,367,314,372
311,321,247,355
325,431,319,362
320,410,263,324
319,315,360,372
317,314,308,330
299,385,334,454
270,360,347,389
349,293,440,364
281,328,357,293
351,394,361,425
405,384,407,389
398,398,399,369
405,434,334,417
351,344,399,336
344,393,443,382
392,410,404,411
305,335,390,403
329,350,301,337
361,309,461,368
388,410,411,419
353,316,315,431
388,324,425,416
311,281,384,303
307,284,429,375
286,346,406,337
294,430,319,322
336,323,375,342
343,343,447,390
437,369,422,300
346,352,309,375
407,340,434,360
374,419,427,394
457,371,315,410
435,287,451,364
413,290,458,377
478,315,455,335
443,382,433,390
469,399,394,349
580,393,568,343
553,426,487,448
598,447,457,437
535,490,482,403
733,549,441,454
644,484,451,446
529,515,562,458
620,592,523,421
595,511,580,507
575,492,528,430
584,555,596,498
664,507,560,556
699,528,427,432
533,613,567,403
563,511,480,544
585,622,467,601
498,644,447,465
605,644,535,559
621,649,561,594
652,750,570,712
666,825,547,710
661,926,576,689
722,865,640,791
726,1136,628,1035
778,1464,603,1071
769,1532,703,1228
748,1684,772,1267
962,2168,866,1650
925,2269,884,2073
958,2643,904,1845
995,2996,1089,2235
1063,2918,1037,2305
1097,2847,1067,2472
1087,3471,933,2773
1126,3491,1004,2903
1169,3532,957,2867
982,3605,1030,3032
1058,3629,1005,2875
1053,3727,996,3066
1001,3770,989,3051
902,3688,770,3033
839,3684,772,3081
781,3625,693,2797
670,3519,641,2616
583,3278,655,2612
601,2970,551,2539
561,2764,546,2437
619,2658,595,2255
443,2296,633,1973
584,2225,495,1728
495,1976,580,1607
573,1715,571,1359
621,1330,537,1271
526,1227,489,1218
716,1141,518,1065
564,1086,479,887
