Counts-435,Counts-436,Counts-435,Counts-436
1003,964,1097,1344
1177,987,1180,1182
1002,912,1325,1102
1174,940,1296,1069
1231,939,1344,1015
1232,857,1499,1183
1398,763,1508,1096
1566,831,1666,992
1709,827,1741,1166
1797,967,1898,972
2182,691,2147,1116
2330,808,2379,1097
2185,718,2336,1098
2626,859,2705,1129
2633,975,3037,1042
2850,983,3121,1297
3414,914,3340,1118
3174,888,3560,1234
3403,759,3649,1379
3861,1006,4137,1016
3926,952,4151,1298
4084,991,4416,1369
4336,1051,4649,1263
4543,1033,4429,1364
4846,1108,5218,1302
5423,1140,5339,1348
4920,1129,5655,1328
5700,1087,5982,1415
6112,1115,6366,1495
6433,1176,6169,1581
6560,1279,6814,1508
6665,1620,6677,1519
6782,1429,7425,1727
6858,1314,7025,1567
6602,1242,7206,1629
7262,1241,7271,1445
7156,1306,6900,1559
7157,1399,6962,1616
6888,1493,7192,1609
6985,1234,7300,1491
7207,1201,7070,1505
6692,1206,6571,1382
6038,1371,6533,1679
6076,1217,6178,1394
5624,1304,5777,1268
5554,1224,5378,1371
5315,1213,5416,1236
5216,1148,5177,1306
4903,1079,5289,1133
4648,1064,4902,1294
4405,1153,4767,1306
4329,1036,4240,1203
4288,930,4138,984
3881,1069,4252,1231
3930,931,3770,1158
3644,829,3837,1114
3320,958,3595,1263
3222,978,3522,1151
2975,916,3043,1099
2908,863,3142,1148
2755,967,2929,1293
2513,884,2444,1116
2341,958,2469,1100
2154,1027,2276,1222
1962,930,2030,1293
1881,1011,1857,1257
1501,1096,1913,1071
1675,1080,1974,1229
1425,1061,1790,1149
1547,955,1602,1388
1392,1014,1343,1216
1227,1040,1387,1271
1117,1011,1409,1275
1190,1033,1235,1228
1204,1046,1191,1209
1118,1058,1256,1328
1000,981,1369,1204
1114,1097,1081,1270
979,1124,1207,1202
1052,971,1298,1178
1065,1015,1177,1303
1036,1106,1174,1245
1193,1067,1303,888
992,1133,1224,1200
1166,952,1348,1288
1074,1070,1384,1199
1113,983,1307,1158
1201,956,1281,1040
1229,1082,1171,1077
1216,999,1652,1081
1322,990,1578,1120
1361,875,1613,1260
1343,1029,1852,1051
1480,1076,1838,1098
1898,1029,2087,1126
1980,974,2204,1295
2475,927,2403,1123
2297,1020,2700,1262
2776,1039,3052,1241
3215,1061,3086,1227
3003,980,3515,1407
3651,1295,4059,1417
3984,1206,3984,1447
3990,1218,4134,1244
4394,1195,4367,1451
4601,1184,4338,1188
4566,1320,4976,1578
4473,1282,4714,1388
