Counts-435,Counts-436,Counts-435,Counts-436
740,589,641,667
602,546,646,669
744,484,858,618
639,456,658,654
747,393,849,650
859,454,878,652
718,539,909,782
885,518,986,634
988,476,904,643
1009,425,953,497
1080,481,1092,616
1172,368,1009,577
1165,481,1071,631
1145,413,1330,558
1199,488,1291,681
1294,382,1323,662
1281,522,1391,627
1402,415,1545,573
1496,412,1802,694
1671,622,1664,657
1806,497,1732,670
1679,528,1723,611
1758,470,1741,591
1755,530,1951,731
1940,474,1819,553
2013,545,2064,718
2152,532,2154,673
2525,534,2436,598
2513,603,2316,650
2700,618,2594,747
2607,633,2777,701
2894,597,2578,667
2937,606,2945,729
3093,736,3196,913
3152,676,3118,722
3260,717,3073,806
3819,624,3261,933
3546,697,3823,777
3620,598,3832,924
3741,676,3459,882
3745,759,3857,813
4092,714,3840,780
4253,837,3316,799
3732,607,3709,1003
3098,871,3766,863
3873,782,3813,819
3692,727,3424,784
3640,804,3262,675
3472,726,3542,809
3710,813,3339,724
4061,730,3522,723
3342,567,3465,909
3183,622,3037,877
3159,658,3133,781
3252,628,2956,752
3135,652,2828,653
2847,674,3018,717
2966,601,2775,749
2855,698,2847,764
2525,521,2498,664
2563,653,2695,686
2402,647,2274,793
2175,635,2002,679
1990,478,2118,665
1817,538,1898,742
1898,626,1738,827
1671,791,1524,709
1419,612,1681,658
1335,623,1313,759
1427,678,1379,731
1133,616,1257,761
1136,505,1167,594
1030,575,1321,768
1075,590,1229,769
1027,585,870,665
945,721,950,751
828,550,905,659
872,698,960,761
787,682,804,647
748,716,843,705
856,720,808,661
875,631,905,674
863,569,717,750
692,708,809,809
656,605,675,873
765,610,865,653
646,807,754,671
588,543,784,711
680,576,658,752
706,552,816,583
593,572,619,777
727,513,754,576
702,520,763,603
620,521,872,638
703,575,863,592
798,469,871,451
853,336,833,620
1003,476,919,548
871,414,931,542
1048,413,909,571
1085,477,1166,584
1200,541,1182,675
1398,409,1309,558
1353,465,1328,623
1733,377,1325,635
1815,592,1714,695
1818,569,1874,662
1986,551,1932,621
2052,699,2016,769
2311,711,2077,567
2477,626,2374,732
2551,621,2159,805
2491,664,2345,718
2605,662,2571,635
2232,719,2346,738
2665,728,2542,832
2738,666,2667,633
2502,652,2335,678
2806,614,2500,655
2851,555,2600,652
2629,751,2419,623
2568,612,2702,768
2736,620,2305,701
2522,703,2405,713
2350,439,2033,712
2112,615,2337,684
2069,602,2378,720
1892,554,1895,698
2336,489,1541,577
1845,405,1612,598
1292,453,1575,494
1506,449,1451,641
1237,379,1243,513
1283,382,1299,555
1004,369,954,515
896,428,921,407
866,383,831,457
755,373,837,491
829,335,699,450
756,495,802,512
699,389,685,427
825,360,671,562
548,354,694,447
643,362,686,487
608,378,637,590
542,369,649,464
646,405,651,408
532,377,705,499
674,473,560,475
533,353,723,535
507,361,561,576
580,395,592,443
512,453,553,507
635,404,614,475
556,388,527,480
461,426,464,562
654,536,653,473
431,557,667,516
490,317,593,491
398,367,623,550
526,474,535,427
470,437,577,471
369,470,504,415
492,364,505,477
502,538,492,484
441,413,543,536
602,389,601,536
468,552,595,510
501,391,611,561
504,453,619,484
507,345,577,547
428,449,585,596
504,427,711,476
481,456,574,451
600,433,585,606
542,407,740,530
515,509,703,486
626,461,687,584
703,411,616,484
626,515,683,639
485,344,712,623
649,410,668,521
647,369,578,453
554,355,734,388
565,433,619,459
484,348,669,480
553,443,639,482
636,429,642,486
559,276,539,481
525,371,645,521
602,283,601,409
608,345,709,378
562,354,581,451
613,446,710,515
614,383,611,568
703,464,752,545
753,539,694,677
833,620,849,635
813,556,966,775
912,628,943,673
911,690,890,708
1119,935,1062,947
1048,890,1171,838
1247,1000,1318,1017
1306,1172,1371,1002
1509,1014,1592,1192
1547,1178,1579,1177
1610,1183,1769,1173
1777,1281,1838,1418
1764,1272,2014,1277
1940,1414,2020,1433
1978,1186,2149,1504
1931,1377,2000,1479
2136,1473,2117,1390
2085,1364,2257,1494
2111,1348,2171,1477
1994,1320,2098,1500
1824,1218,2088,1373
1931,1176,1943,1211
1856,1237,1585,1303
1774,1076,1530,1044
1550,1292,1575,1037
1419,955,1369,976
1107,897,1215,976
1421,936,1244,987
1218,989,832,920
932,833,907,930
900,874,887,841
757,732,814,735
625,861,682,817
675,705,550,744
722,730,821,734
704,569,662,767
544,604,576,742
600,615,537,743
505,733,615,616
501,711,707,755
622,695,511,974
517,696,665,881
660,714,595,791
655,609,698,784
589,734,626,771
706,748,828,785
630,865,650,948
605,795,680,854
716,793,728,981
667,841,700,1107
735,771,805,984
750,791,803,901
689,899,641,999
710,938,722,837
784,1015,779,1008
761,975,788,1020
