Count-435,Count-436,Count-435,Count-436
6001,1598,7861,2306
6386,1630,7955,2131
6520,1515,7265,2219
6455,1611,7145,1998
6073,1496,6942,2474
5536,1547,6216,2050
5507,1606,6237,2018
5332,1556,6218,2335
5481,1631,6098,2070
5685,1422,6074,1997
4692,1453,5746,2007
4687,1504,5648,2161
4207,1492,5291,1829
4348,1545,5180,1851
4178,1603,5043,2216
4236,1745,4441,2328
3754,1691,4690,1896
4095,1691,4802,2357
3595,1937,4620,2348
3844,1703,5069,2424
3554,1989,4366,2710
3800,1946,4821,2770
3808,2479,4354,3039
3256,2601,4391,3194
3665,2882,4311,3369
3359,3003,4271,3438
3591,3581,3847,4095
3328,3377,4026,4108
3343,3825,3690,4786
3181,4107,3898,4084
2858,4418,3830,5172
3103,3874,3862,5357
2536,4309,3060,5295
2713,4666,3403,5910
2281,4785,2895,6272
2169,5202,3073,6424
1897,5315,3191,6291
2448,5399,2735,6758
1712,5722,2450,6930
1861,5653,2671,7216
1782,5879,2416,7305
1568,5976,2186,6969
1598,6028,2163,7713
1635,6014,2054,7536
1518,6135,2192,7044
1381,6765,2300,8129
1416,6457,1815,7439
1233,6940,2057,7319
1097,5437,2327,7273
1430,6183,2221,7406
1432,5821,1961,6995
1274,5310,2039,7674
1427,5704,1958,6708
1429,6250,2117,6856
1364,5580,2288,6724
1350,5889,2272,7468
1285,5009,2073,6947
1345,5514,2178,6779
1630,5760,2281,6995
1292,5304,2234,6394
1401,4649,1952,5872
1228,4884,2278,5651
1589,4469,2064,5514
1563,3980,2541,5517
1528,4226,2209,5533
1457,3761,2394,4663
1578,3156,2658,4604
1383,3233,2682,4076
1586,3137,2740,3617
1774,3105,3369,3397
1773,2415,3333,3128
2169,2246,3527,3102
2051,2161,3685,2871
2341,1900,3975,2882
2233,1747,3936,2826
2608,1725,4534,2680
2366,1727,4862,2318
2968,1913,5217,2479
3116,1555,5384,2519
2972,1474,5881,2539
3332,1664,6186,2339
3206,1779,6118,2608
4268,1569,7024,2569
3934,1442,7597,2208
4651,1518,8426,2817
4801,1573,8012,2963
4952,1578,8700,2629
5454,1381,8962,2953
5618,1584,8723,3073
5974,1418,9676,2996
6187,1941,9562,2955
5932,1683,10750,3012
6204,1960,11293,2864
7372,1818,10441,3273
7251,1905,12865,3080
7524,2130,12366,3335
8295,1923,12683,3051
8958,2098,14072,3368
8206,1886,14309,3323
8395,1794,15025,3000
9754,1842,14446,3723
10289,2188,15633,3284
10030,2158,15248,3227
11314,2011,15394,3585
10696,2248,16800,3555
11053,1985,16133,3551
12089,2394,16712,3583
11421,2276,16592,3505
11507,1979,16520,3292
11936,2393,16576,3757
10805,2271,17072,3795
11271,2223,16319,3402
11194,2175,15330,2970
11626,2123,15999,3095
11176,2262,14731,3392
10855,2265,14738,3106
10544,2092,14602,3852
10530,1807,13882,3120
9889,1904,14468,3086
10069,1916,13722,3043
9088,1727,13581,3152
8512,2050,13268,3587
8426,1881,13158,3040
8596,1760,12216,3155
7323,1784,11116,2871
7333,2031,11257,3315
6312,1775,11023,2912
7386,1875,10818,3190
6183,1615,9246,3031
6031,1965,9482,2817
5409,1996,8337,2879
5691,1792,8652,3168
5000,1978,7612,2799
4451,2051,7751,2780
4346,1800,7192,2684
4138,1870,6883,2665
3592,2107,6517,3152
3283,2015,6138,2995
2996,2088,6061,2962
2985,1596,5375,2755
3344,1724,5260,2524
2814,2223,4786,2791
2569,1965,4563,2846
2761,2089,4629,2723
2388,1964,4548,3241
2556,1742,4308,2923
2386,1979,4473,2787
2221,2034,4208,2740
2102,1920,3981,2664
1890,1989,3721,2589
2303,1927,3908,2810
2140,1779,3856,2749
2330,1923,3866,2893
2150,1951,3728,2921
2290,2363,4077,2586
2744,2068,3808,2650
2908,1739,4317,2379
2604,2013,4091,2509
2773,1950,4069,2541
3167,1897,4895,2433
3403,2086,4625,2567
3686,1925,5435,2678
3787,1751,5057,2573
4147,1935,5024,2537
4464,2038,5334,2748
5005,1950,6087,2480
4957,1735,6527,2405
5104,2213,6609,2473
5986,1940,6765,2780
6012,2115,7332,2612
5896,1819,7886,2468
6614,1990,8294,2886
7197,2228,8954,2745
7822,2242,9060,2770
7841,1992,9512,2545
7797,1600,9154,2624
8600,1690,10017,2847
8544,1942,9543,2285
8073,2043,10537,2380
8521,2260,10663,2835
9420,1828,10322,2507
8077,2103,10368,2438
8769,1889,10405,2698
7964,1815,9982,2545
8348,2208,10080,2645
8415,2064,9101,2257
7935,2072,8588,2478
7186,2045,8972,2435
7231,1588,9123,2510
7174,1843,8418,2261
6735,1600,7867,2312
6838,1712,7260,2174
5802,1758,7672,1990
5562,1887,7189,2095
5267,1820,7101,2407
5008,1647,5973,1873
5310,1503,5523,1836
5156,1524,5441,1889
4378,1381,4563,1695
3815,1465,4749,1867
3588,1303,3528,1766
3104,1454,3602,1797
2943,946,3202,1959
2676,1164,3113,1684
2399,1074,2932,1606
2281,1303,2509,1875
2147,1351,2486,1499
1724,1302,2268,1540
1620,1137,2121,1701
1626,1204,1860,1513
1890,1130,2098,1540
1327,978,1701,1820
1341,1102,1945,1324
1248,1054,1718,1464
1416,1233,1556,1443
1335,1170,2036,1330
1450,1317,1695,1294
1203,1064,1779,1490
1345,1224,1704,1555
1343,1266,1581,1597
