Counts-435,Counts-436,Counts-435,Counts-436
9382,2786,9628,2714
9070,2036,9410,2947
8952,2617,8752,2913
8976,2233,9324,3334
9402,2379,8781,2915
8840,2165,9094,2918
8202,2555,9023,2969
8301,2530,8285,2948
7470,2332,8822,2961
7496,2088,8202,2965
7138,2081,8276,2870
6828,2305,7872,3215
6928,2256,7145,2755
6565,2257,7081,2876
6419,2045,7967,3006
6468,2477,6894,2801
6766,2339,6806,2838
6274,2447,6050,3344
5793,2465,6585,3207
5705,2524,6390,3625
5871,2781,5873,3371
5878,2984,5801,3621
5780,3558,5993,3805
5315,3348,5851,4027
5073,3845,5784,4423
5267,3887,6239,4619
4577,3750,5622,4692
4934,4790,5325,4750
5292,4811,5173,5814
4622,4826,5021,5542
4727,5504,4790,6200
3960,5751,4595,6659
4147,5496,4225,6599
3724,6313,4121,7164
3738,5995,4167,7030
3606,6271,3922,7115
2971,5537,3649,7108
3205,6439,3553,7145
2793,5786,3359,7229
3022,5389,2847,7185
2782,6603,2871,7013
2453,6253,2869,6838
2237,6411,2760,7077
2273,6625,2984,6877
2053,6363,2383,7212
2170,5902,2690,6771
2233,6115,2663,6788
1957,6310,2559,7066
1746,6277,2642,6906
1835,6806,2460,7332
2012,6280,2461,7115
1782,6211,2057,6682
1966,6191,2127,6216
1752,6796,2236,6696
1786,6238,2176,6362
1597,6251,2133,6750
1595,5996,2523,6812
1958,6297,2442,6213
1997,5677,1860,6121
1999,5498,2491,6005
1789,5354,2146,6181
1533,5704,2101,6224
1582,5518,2425,6123
1722,4997,2511,5678
1701,5264,2387,5091
1760,5026,2313,5496
1816,4208,2764,5143
1826,4104,2367,4593
1583,3925,2784,4353
1985,3525,2657,4181
2133,4149,2883,4314
2024,3147,2796,3540
2143,2967,3269,3425
2709,2880,3202,3631
2445,2788,3496,3102
2639,2794,3712,3416
3171,2410,4052,3476
2966,2588,4352,3376
3097,2193,4548,3024
3884,2296,5453,3151
3738,2326,5376,3050
4233,2194,5709,2745
4093,2443,5989,2956
4584,2054,6338,3486
5020,1947,7497,3268
5169,2163,8050,3153
6521,2125,8210,3328
6047,2200,8453,3341
6300,1892,9366,3535
6644,2425,9233,3155
6523,1910,10674,3672
7303,2177,10291,4159
7229,2059,10935,3936
7949,2651,12237,3567
8244,2265,12500,4253
8254,2169,12838,3428
8382,2359,13530,4043
9513,2354,14550,3934
9748,2334,14273,3686
10505,2459,15527,4440
9912,2187,16215,4166
10497,2186,16236,3931
10473,2279,16040,4381
11785,2115,16448,4455
11116,2113,18864,4014
12106,2340,18280,4412
11341,2481,17544,4168
11568,2383,17672,4202
11824,2300,18616,5089
11311,2541,19184,4595
12060,2653,18200,4815
11732,2596,19016,4352
11953,2602,18104,4762
12051,2653,19048,4461
11785,2759,17888,4399
11559,2547,17360,4278
12083,2540,17960,4157
11283,2392,17320,4293
11146,2688,17288,4470
10587,2399,16512,4240
9982,2514,17064,3969
10365,2174,16712,4806
9383,2560,15726,4303
10197,2308,15223,4390
9658,2266,14279,4175
8797,2327,14777,4566
8570,2564,15240,4521
7699,2382,14237,4685
7881,2091,13000,4468
7441,2316,13526,3872
7258,2167,13009,4412
6541,2583,12123,4224
6023,2272,12252,3700
5692,2496,11243,4343
