Counts-435,Counts-436,Counts-435,Counts-436
364,328,292,410
350,285,386,317
342,361,334,369
295,267,378,441
296,225,378,422
339,345,313,331
337,248,396,420
315,334,398,400
319,220,381,464
376,312,341,445
344,243,411,351
346,321,395,360
325,316,431,375
305,310,395,343
371,330,332,419
478,304,373,367
398,366,492,321
385,326,539,438
459,363,412,396
375,417,375,424
471,368,483,357
319,275,489,420
346,368,469,365
501,308,460,359
519,356,419,389
445,326,377,424
422,376,437,396
363,321,435,309
477,244,485,394
354,360,548,354
426,315,405,385
371,321,543,421
421,295,446,430
461,307,359,366
366,314,516,414
393,289,405,375
370,306,413,331
391,357,506,416
481,383,400,420
462,258,415,301
447,319,359,438
435,249,337,328
422,293,371,424
378,288,440,363
369,288,464,374
340,301,386,377
330,278,440,361
393,314,361,373
331,279,333,328
341,262,429,342
276,254,435,329
361,313,514,390
367,234,331,360
306,295,312,323
382,258,382,340
323,268,432,302
282,258,428,323
279,306,402,338
352,285,327,321
303,329,332,328
296,315,444,293
322,246,374,311
324,307,360,353
277,235,345,332
381,248,399,291
258,327,288,412
280,286,374,341
310,324,263,348
313,274,397,268
323,376,376,348
335,303,293,359
244,319,383,326
374,296,393,336
254,378,346,281
316,317,343,338
291,288,343,388
322,299,370,378
366,268,351,388
233,339,357,376
257,380,323,399
308,377,351,422
283,356,255,445
343,387,289,293
254,303,352,434
380,293,352,336
294,288,302,351
305,306,318,411
256,340,364,306
291,368,322,387
302,223,239,364
231,302,314,416
259,222,349,328
281,257,389,403
292,279,269,348
290,330,330,303
305,360,328,386
325,349,333,385
230,347,275,346
275,240,289,405
327,346,302,423
344,384,352,303
280,331,293,311
248,371,374,358
373,390,384,449
256,335,406,378
331,358,380,355
393,374,298,345
336,342,251,356
386,344,433,343
278,265,337,341
352,375,356,340
266,348,286,423
280,331,342,385
293,272,411,346
283,320,342,386
289,303,336,381
388,352,271,425
341,340,420,346
343,366,334,316
379,294,297,391
316,330,382,372
381,339,389,439
367,294,346,345
259,278,425,260
264,325,401,291
311,270,418,307
295,247,389,366
293,307,311,355
281,236,392,303
282,301,432,321
339,287,352,289
315,337,410,419
398,277,368,323
381,294,393,454
438,293,392,363
493,330,362,390
339,327,435,412
476,339,475,351
406,341,366,342
374,294,466,340
333,330,508,340
426,342,516,375
391,446,414,417
332,409,419,416
389,379,499,411
393,326,519,424
374,326,470,426
374,368,404,420
494,402,383,412
374,426,412,386
363,323,486,341
447,376,464,450
448,408,404,322
368,476,426,411
465,367,486,418
389,368,414,427
424,450,497,383
427,444,579,447
475,436,392,423
421,412,403,453
414,374,492,398
434,324,447,508
397,480,399,435
429,434,401,429
422,386,419,422
452,426,415,530
439,502,429,477
415,363,396,449
368,456,430,578
361,446,452,521
465,481,448,556
460,436,365,495
456,420,514,435
407,355,443,363
449,473,375,368
429,459,458,496
434,384,491,551
399,376,442,410
339,407,417,381
452,358,412,445
457,333,444,311
368,431,522,421
338,380,485,374
408,454,392,431
467,347,388,370
419,348,476,407
353,287,405,378
333,311,392,343
433,345,419,341
430,362,505,331
490,354,555,363
331,299,449,387
342,351,595,464
401,406,490,483
398,475,511,549
486,380,537,373
481,497,564,433
454,432,578,542
444,470,605,422
474,542,619,641
543,518,484,549
502,584,563,508
554,584,575,548
499,532,637,614
500,608,589,728
484,538,563,547
439,623,497,589
583,646,574,611
520,514,534,620
498,630,480,505
524,564,529,586
472,543,424,574
397,509,479,578
528,468,429,539
472,563,477,516
382,575,503,484
429,471,527,494
461,424,462,480
388,522,400,442
272,415,437,474
340,425,359,549
376,463,456,468
301,443,345,421
295,427,388,405
329,504,261,302
354,407,336,400
284,422,387,406
347,318,328,332
379,412,421,382
329,305,371,368
295,399,343,337
387,387,371,469
290,483,381,416
343,398,300,353
291,400,394,413
375,384,343,365
335,487,284,422
367,405,411,550
318,322,396,463
493,402,332,481
407,359,387,465
440,351,350,450
380,505,415,377
391,425,328,388
333,461,328,468
390,416,379,490
339,492,459,461
452,445,518,520
496,499,489,529
411,510,426,498
343,518,404,543
437,558,438,507
392,517,343,459
464,464,401,633
502,540,517,507
448,550,475,589
505,507,488,639
459,567,456,496
551,476,577,575
496,549,602,472
489,585,527,528
509,529,512,527
483,572,520,398
603,487,467,523
467,474,541,454
561,567,400,507
489,411,577,448
537,564,623,529
531,454,645,506
501,470,397,478
556,445,487,446
571,518,684,577
604,446,579,430
539,474,633,483
585,551,574,451
575,551,479,523
574,390,481,553
552,493,529,525
563,472,556,456
669,417,587,513
571,390,521,522
570,468,599,486
569,408,491,519
502,424,528,385
492,478,542,368
431,434,544,354
395,404,397,287
472,470,430,363
383,405,417,413
394,345,443,432
360,338,362,396
396,303,340,309
436,349,340,326
308,352,363,381
342,360,325,325
371,291,389,305
365,329,315,265
385,275,404,379
313,325,323,352
451,395,270,345
355,365,355,299
431,282,479,319
385,351,371,376
407,265,508,408
314,247,384,397
393,336,389,300
485,316,447,383
442,289,434,347
457,382,422,348
419,268,491,313
454,260,505,389
448,339,504,323
463,369,383,365
394,397,421,447
419,336,439,261
398,291,355,367
399,277,389,370
519,347,430,397
376,305,416,306
396,250,488,336
396,385,485,316
294,337,445,291
343,262,398,347
357,268,376,339
395,324,397,383
342,368,396,287
310,295,315,248
228,225,377,326
329,299,281,272
365,258,317,325
390,364,392,397
361,222,343,330
364,342,431,333
478,364,413,376
340,433,379,426
434,339,350,292
361,355,290,293
404,373,326,303
333,407,323,366
328,371,311,368
339,339,342,285
358,367,412,387
391,303,374,297
386,431,505,373
381,376,371,343
392,385,387,370
465,348,460,377
388,451,355,503
395,442,369,397
454,384,351,354
333,370,511,457
497,396,448,537
541,504,490,456
529,432,562,500
665,729,593,545
570,647,660,586
665,853,751,726
762,812,884,843
892,959,992,1039
863,1086,963,1131
1038,1204,887,1158
910,1388,1033,1448
1051,1542,1115,1295
1237,1576,1152,1445
1246,1774,1116,1702
1166,1746,1284,1754
1171,1863,1270,1681
1249,1878,1464,1817
1246,2282,1169,1744
1173,2162,1303,2026
1220,2022,1385,1997
1283,2047,1199,1817
1174,1869,1078,1569
850,2055,852,1731
976,1671,944,1739
1020,1964,860,1773
805,1908,767,1655
687,1985,678,1552
648,1801,685,1596
590,1479,496,1470
491,1557,530,1691
428,1408,420,1281
362,1437,375,1425
388,1403,313,1323
332,1452,359,902
337,1205,367,1046
359,1040,342,961
407,1190,267,956
358,991,435,926
423,883,320,836
421,883,428,880
366,768,444,765
399,814,459,672
548,711,541,729
479,857,529,622
549,700,577,764
579,803,658,722
604,840,616,700
641,908,702,855
717,851,689,935
949,939,802,876
797,1243,833,1077
741,1156,895,1083
865,1179,1034,1149
943,1383,936,1170
944,1542,920,1363
917,1573,1007,1485
1120,1505,1037,1420
1228,1634,1005,1633
1136,1639,1068,1825
1204,1770,1083,1615
1169,1774,1041,1610
1129,1950,1116,1649
1233,1833,1227,1883
1278,1756,1130,1660
1131,1937,1209,2011
1080,1807,1204,1755
1181,1977,1055,1758
1030,1747,986,1660
1129,1788,1108,1589
982,1839,1170,1652
1107,1583,1110,1617
1009,1543,933,1509
999,1559,947,1302
914,1484,970,1359
859,1480,994,1157
1014,1477,852,1284
973,1349,946,1192
1126,1229,974,1371
1017,1312,1040,1351
1116,1344,1131,1032
1093,1370,1155,1144
999,1421,997,1299
982,1290,1148,1609
1053,1425,1177,1591
1212,1529,1226,1325
1245,1748,1297,1392
1502,1707,1328,1506
1585,1630,1418,1530
1745,1661,1496,1566
1791,1649,1674,1602
1553,1694,1825,1643
1839,1762,1898,1497
1946,1749,1963,1705
1914,1933,1984,1786
2045,1694,2225,1665
2218,1965,2167,1498
2437,1720,2150,1730
2460,1883,2328,1684
2602,1850,2387,1854
2543,2051,2469,1960
2490,1884,2561,2105
2599,2266,2529,2078
2881,2253,2384,2146
2580,2322,2248,2185
2458,2696,2404,2528
2312,2571,2317,2580
2440,2759,2423,2503
2360,3017,2169,2492
2273,3110,2223,2855
2008,2962,2121,3096
2050,3317,1830,2697
1830,3395,1646,3024
1674,3549,1576,3258
1895,3811,1735,3553
1574,3668,1471,3511
1378,3560,1363,3467
1366,3882,1454,3509
1406,3590,1371,3471
1242,3394,1148,3441
1191,3618,1432,3259
1206,3913,1320,3478
1196,3482,1265,2970
1021,3110,1277,2875
1067,2999,994,2805
698,2438,689,2053
620,2007,570,1794
347,1455,487,1457
444,895,349,933
328,696,311,759
276,698,403,637
391,509,272,674
355,615,290,449
315,532,336,529
379,509,384,590
335,620,344,514
420,536,410,584
364,466,362,514
367,582,369,555
393,646,334,643
406,556,339,602
314,601,347,462
403,504,407,585
293,673,312,623
439,640,372,542
474,733,459,684
439,826,423,616
457,803,408,797
466,727,528,745
529,800,475,807
591,967,620,985
767,880,824,885
1125,909,1072,962
1194,1136,1348,941
1490,1223,1626,943
1899,1265,1843,1147
2215,1327,2220,1160
2591,1202,2637,1153
2538,1464,2829,1177
3023,1168,3103,1121
3120,1337,2796,1211
3078,1099,2728,1002
2865,1191,2861,1031
2841,1008,2621,1086
2515,1247,2509,990
2159,854,2004,929
1711,899,1900,992
1780,1081,1597,958
1580,1103,1259,991
1510,1066,1275,979
1326,1085,1122,1154
1022,1082,940,1225
879,1183,902,1194
877,1121,863,1217
807,1275,849,1124
731,1117,702,1108
730,1065,619,1084
757,1070,587,944
564,1006,732,882
627,832,666,860
512,752,542,631
581,693,478,555
648,654,528,742
638,681,511,568
658,519,544,646
589,481,793,519
735,517,819,508
709,491,729,536
917,485,871,545
916,632,815,475
930,560,867,661
888,682,938,578
849,566,893,514
913,572,812,691
699,571,751,673
782,734,773,671
672,686,719,729
554,644,638,752
526,574,547,722
563,705,529,653
626,611,480,629
441,660,342,699
392,679,404,559
351,607,439,530
366,595,401,507
305,509,325,480
314,558,263,456
298,439,384,440
274,398,332,391
241,380,319,402
271,387,304,355
356,372,332,337
309,292,369,329
319,358,320,373
273,368,292,398
318,443,208,310
361,412,278,454
265,504,290,446
299,504,369,519
338,486,277,619
315,637,324,634
284,623,278,664
327,619,385,587
368,712,329,607
354,697,295,624
333,630,301,676
462,709,406,612
359,774,419,645
365,672,398,617
387,765,416,624
438,688,385,472
341,585,387,668
378,624,474,553
394,619,352,517
410,660,351,414
337,725,352,589
374,652,430,648
263,856,303,666
289,628,294,565
239,831,248,764
276,786,287,665
267,787,218,698
216,829,208,749
223,797,218,695
230,754,234,774
239,841,237,656
275,769,301,678
184,721,266,654
277,740,272,728
214,792,254,556
276,711,213,718
271,595,299,679
223,576,265,648
255,693,269,568
249,630,323,554
300,773,305,704
253,608,248,714
336,643,299,667
355,673,234,707
359,802,252,656
247,841,260,540
263,860,270,818
304,820,386,770
271,849,352,800
333,784,304,842
261,1100,250,950
212,1218,311,1083
287,1257,251,1254
294,1433,298,1409
242,1696,247,1396
272,1556,317,1589
268,1717,287,1671
239,1662,348,1923
284,2008,322,1847
252,1975,236,1635
353,2064,313,1884
319,1809,294,1850
333,2035,348,1690
333,2019,374,1906
354,1810,232,1636
277,1655,396,1546
419,1650,369,1489
350,1685,381,1370
445,1602,413,1412
394,1335,454,1220
394,1361,404,1154
416,1101,425,988
484,866,457,1008
400,884,425,777
414,858,420,806
493,834,412,575
516,686,493,651
482,776,383,707
415,686,421,534
342,714,350,581
379,612,364,544
312,585,377,591
262,486,315,631
336,438,313,429
297,458,242,456
361,581,296,525
307,471,406,560
324,478,317,417
358,472,219,516
388,593,316,492
319,575,329,479
313,555,366,600
412,587,437,454
390,564,387,567
349,553,501,535
501,517,500,516
418,542,437,439
508,651,596,521
456,544,381,617
483,567,482,547
464,416,493,507
531,457,409,473
543,468,339,438
400,416,495,392
418,433,389,429
368,451,304,419
341,438,471,396
363,406,324,430
378,388,312,483
360,340,371,413
378,318,379,421
366,437,252,438
398,381,350,324
336,334,354,335
249,403,295,329
303,422,409,359
329,475,330,337
416,532,329,502
365,414,310,495
295,575,355,552
305,494,397,478
332,445,480,540
360,533,394,569
349,548,411,506
380,499,377,587
418,624,424,732
452,665,476,576
440,720,570,662
581,689,490,591
557,670,563,713
637,849,632,753
616,667,541,698
591,784,532,642
510,722,511,636
560,631,523,663
616,752,623,694
554,750,583,741
546,743,666,782
702,681,682,711
658,691,778,651
661,639,713,706
776,699,875,645
928,712,894,754
886,643,1031,710
1020,765,1110,727
1123,690,1143,772
1086,893,1124,738
1082,614,1126,696
979,728,1024,619
1068,695,1049,558
1153,836,1021,672
890,588,758,804
1013,741,879,636
863,732,699,600
617,584,710,619
630,613,657,640
695,610,653,716
640,570,583,513
496,543,502,619
496,484,547,556
525,505,539,500
442,530,568,537
448,492,499,569
540,504,455,456
474,467,437,467
480,549,454,478
468,526,494,643
550,469,632,477
561,437,633,566
461,520,505,486
582,558,585,510
552,487,610,532
708,508,850,598
860,681,926,674
1016,743,992,709
1307,798,1298,787
1519,810,1443,944
1694,1096,1795,1307
1857,1287,2200,1250
2080,1472,2469,1745
2461,1499,2687,1905
2354,1933,2931,2066
2782,1662,2853,2094
2595,1944,2830,2138
2810,2115,2747,2358
2812,2175,2830,2443
2645,2479,2381,2720
2516,2981,2164,3130
2062,3020,2274,3417
1825,3665,1903,4265
1567,4536,1810,5166
1613,5243,1566,6526
1425,7135,1530,7792
1466,8583,1494,10246
1369,11270,1644,12740
1451,13106,1499,15451
1627,15944,1590,18312
1572,17680,1848,20392
1891,20488,1990,23168
1688,21920,1849,23816
1923,23352,2100,25616
1993,24248,2018,25344
1924,23744,2107,23656
1891,22624,1840,21136
2010,20736,2049,20096
1969,18680,1671,17232
1651,15945,1657,14778
1549,14209,1743,13235
1277,12450,1129,10435
1070,9874,1164,9383
1200,8726,1082,7874
1055,7054,941,6562
946,6362,788,5377
775,5161,833,4473
777,4587,844,3830
796,3808,847,3484
738,3292,638,3068
653,2904,675,2558
622,2606,750,2315
611,2258,618,2084
629,2080,550,2112
612,1816,628,1671
626,1574,576,1608
669,1700,536,1552
549,1657,629,1615
523,1354,557,1279
613,1461,497,1503
581,1472,632,1231
609,1306,519,1130
525,1220,556,1288
638,1144,497,1122
634,1108,511,975
584,1027,570,1021
631,1039,536,958
477,835,475,887
496,816,507,888
549,751,447,930
539,862,460,865
477,977,498,877
510,923,488,841
476,873,469,955
468,963,506,907
491,885,444,853
365,799,514,824
409,866,457,798
374,787,453,754
473,741,438,718
393,786,463,641
321,797,378,613
442,709,347,625
363,711,366,741
313,653,416,690
373,565,449,589
382,679,410,721
351,600,363,705
391,630,324,731
299,757,350,740
350,790,394,706
346,766,323,694
392,704,349,734
290,733,314,722
374,800,448,745
319,880,374,827
303,1031,367,941
329,1079,391,1128
322,1124,402,1127
405,1126,402,1335
342,1279,398,1236
363,1359,353,1237
389,1524,302,1252
280,1472,370,1351
346,1531,410,1360
418,1541,288,1448
346,1727,370,1594
318,1646,312,1541
295,1591,344,1548
346,1571,395,1673
439,1350,376,1552
391,1499,514,1527
426,1403,488,1242
355,1373,511,1318
510,1372,690,1269
481,1071,553,1068
604,1085,672,1167
596,1069,721,899
823,1079,894,982
793,796,968,909
887,978,1137,894
1109,768,1025,872
1163,818,1092,778
1260,824,1138,691
1156,723,1046,788
941,798,1036,679
1221,938,1090,724
1230,696,1055,653
1127,911,1124,703
1053,883,1004,852
849,821,1031,791
954,924,953,1005
789,773,730,1107
806,1064,846,919
727,1020,653,966
721,1062,683,1090
678,957,671,1045
655,954,698,1016
722,954,509,990
587,946,630,907
443,975,659,860
528,1094,478,883
521,1047,543,986
527,957,480,1018
560,857,417,1085
505,1180,434,1055
448,1320,404,1267
453,1403,460,1463
452,1520,551,1531
434,1554,469,1822
367,1900,449,1760
471,2012,453,2164
401,2394,457,2100
303,2306,422,2437
376,2256,455,2336
386,2368,362,2426
389,2472,445,2506
403,2318,440,2414
274,2376,358,2020
343,2477,401,2223
338,2393,361,2088
383,2266,355,1946
360,1969,350,1716
302,1736,373,1637
311,1587,359,1626
349,1460,352,1644
335,1466,348,1471
266,1238,424,1077
309,1407,298,1215
359,1098,330,1078
344,1158,326,873
392,1122,283,1029
374,1046,350,731
375,970,395,677
361,876,326,794
301,917,394,799
338,717,364,797
392,937,366,792
369,831,481,637
439,739,427,682
388,705,418,807
416,702,408,710
428,737,456,706
492,581,402,719
410,658,386,565
383,661,444,697
499,800,519,777
594,613,549,939
552,747,625,673
818,897,752,890
1009,968,1260,846
1518,939,1359,1006
1783,940,1918,1166
2189,1132,2179,1315
2680,1401,2945,1392
3384,1622,3111,1534
3857,1585,3933,1865
4093,1729,4551,1672
4323,1850,4658,1811
5042,1826,5075,1825
4983,2068,5169,1985
5045,2080,5366,2075
4680,2092,4821,2121
4701,2019,4573,2193
4107,2102,4252,2243
4090,2273,3938,2461
3710,2387,3642,2541
2765,2523,3252,2545
2574,2599,2777,2761
2651,2943,2537,3073
2167,3235,2237,3231
1643,3368,2015,3190
1831,3671,1823,3249
1380,3613,1503,3189
1308,3753,1501,3356
1248,3344,1202,3370
951,3433,1040,2942
844,3418,954,2828
928,2950,760,2778
933,2866,867,2242
728,2631,825,2097
711,2383,682,2095
736,2129,819,1903
677,1743,634,1696
638,1747,689,1543
588,1496,629,1483
620,1424,624,1548
585,1234,618,1188
541,1303,692,1246
679,1092,710,1158
650,1150,727,1027
632,945,721,1064
657,1020,693,1025
614,918,641,931
610,1081,697,850
614,939,566,922
690,874,648,744
534,857,621,877
548,763,570,869
503,723,657,777
581,719,763,627
587,691,700,689
459,626,736,677
803,803,854,693
911,769,948,829
1072,865,1462,909
1434,934,2106,990
2120,919,2923,1139
2851,1239,3980,1389
3709,1577,5521,1543
5551,1997,6544,2216
7050,2218,9128,2815
8686,2332,10678,3252
10621,3262,13002,3726
12820,3612,14919,4287
15411,4134,16704,4465
16292,4478,17880,4855
