Counts-435,Counts-436,Counts-435,Counts-436
108,87,94,72
58,68,91,70
133,111,98,89
106,101,73,75
82,79,76,74
78,110,98,99
108,115,67,83
73,127,86,94
90,52,63,88
70,75,69,101
92,62,85,57
81,90,96,68
67,103,53,87
64,67,77,53
70,110,66,63
79,79,78,72
76,102,84,102
91,112,91,98
63,96,93,79
70,97,93,77
71,64,81,61
75,65,64,83
55,86,90,86
77,87,91,66
91,95,87,74
68,57,95,81
83,72,79,67
66,76,72,101
47,91,93,64
111,92,75,86
96,67,69,74
72,62,66,87
59,71,100,84
59,70,83,88
55,93,59,61
64,86,99,59
92,60,86,89
93,71,78,75
85,57,68,58
74,85,88,67
72,84,80,47
87,87,65,93
62,59,82,68
99,76,96,70
81,66,64,51
85,66,80,65
73,96,98,52
79,67,82,80
66,79,110,54
85,72,60,60
91,72,57,84
65,67,98,78
67,75,92,77
95,73,97,67
93,50,59,81
92,56,95,68
83,76,78,54
117,79,82,97
102,63,69,79
123,72,75,65
81,90,77,72
75,67,75,61
61,67,95,60
100,47,69,85
100,68,86,60
103,62,94,61
89,82,130,68
104,65,91,49
111,73,108,61
166,73,105,73
109,93,113,60
120,87,96,53
131,103,103,61
169,82,94,113
119,77,96,62
180,89,127,57
135,59,135,82
154,53,123,83
112,89,82,66
147,79,136,88
178,110,97,89
102,103,128,74
142,115,112,91
103,81,106,108
174,71,122,81
141,95,148,104
219,80,115,90
185,117,144,61
210,105,94,65
233,79,124,74
172,75,142,79
139,86,115,94
195,79,95,77
195,85,122,68
211,52,114,53
164,93,125,64
180,81,116,93
152,71,130,77
172,90,135,57
187,102,106,73
144,63,124,76
169,90,144,72
175,92,111,103
106,79,135,85
192,98,107,89
151,107,115,63
182,78,160,67
149,74,117,98
155,86,113,75
137,82,116,77
140,92,97,65
173,102,110,79
150,148,107,81
187,98,86,96
150,97,135,111
125,121,93,77
148,118,92,82
114,125,97,86
123,130,137,72
148,115,86,96
126,88,125,84
110,103,84,81
110,100,97,75
134,110,84,61
91,112,100,71
98,61,114,101
69,103,109,75
108,90,66,80
85,107,57,73
73,83,76,88
62,77,81,87
73,74,111,68
68,96,69,55
91,71,77,71
123,92,73,73
81,66,82,66
97,69,99,83
135,82,56,78
95,89,79,67
75,72,72,97
74,56,100,87
95,120,49,96
82,110,66,75
99,88,86,79
106,87,66,95
114,98,91,79
113,86,79,105
114,106,97,72
153,99,76,92
139,89,89,119
143,74,95,71
135,106,120,60
121,107,112,77
167,78,96,85
106,79,120,76
113,118,120,80
115,87,96,74
114,95,84,71
102,122,107,93
121,68,104,112
124,79,137,72
143,80,68,82
153,93,111,65
152,93,107,66
137,92,132,82
134,87,109,85
149,92,114,67
155,73,91,59
152,102,96,54
120,71,72,85
97,66,92,82
108,115,100,72
149,72,119,78
116,89,88,66
97,80,106,69
159,83,100,57
83,67,95,67
82,66,95,73
85,62,95,67
87,54,98,78
78,53,87,57
79,85,84,62
78,75,66,59
89,73,96,79
104,68,57,70
81,76,58,58
82,98,92,66
91,79,82,99
88,80,118,54
78,69,87,75
82,64,82,59
94,55,75,51
64,53,69,57
60,80,61,74
77,71,59,65
59,60,75,66
56,58,81,49
79,58,60,64
94,108,79,61
74,68,73,73
62,56,66,62
73,73,86,51
68,53,67,69
82,51,60,57
78,84,87,68
82,80,74,73
54,101,74,70
96,75,81,60
62,62,79,72
85,60,86,51
75,71,72,69
84,64,85,65
90,71,60,52
70,72,131,66
63,72,79,76
87,94,76,84
67,80,48,64
72,86,91,48
66,63,50,67
80,84,96,52
76,78,51,64
81,67,84,58
54,57,87,67
98,75,86,89
80,61,75,59
56,71,66,73
73,82,61,77
72,47,84,56
82,72,68,81
63,56,66,62
65,67,55,65
71,68,76,53
65,82,62,68
88,74,64,76
54,78,52,57
81,62,94,100
96,80,92,72
87,65,67,60
77,63,71,84
86,81,71,65
109,89,79,55
72,65,64,70
88,89,62,78
61,52,40,85
69,74,103,57
78,72,76,74
93,79,58,56
91,58,94,80
82,52,55,90
