Counts-435,Counts-436,Counts-435,Counts-436
266,651,262,871
211,687,301,838
244,691,452,777
196,639,332,837
306,622,444,765
247,539,228,703
267,589,339,682
235,562,311,677
220,493,337,659
299,472,333,590
262,516,307,515
283,457,414,615
288,421,234,533
295,431,379,498
218,346,400,491
205,365,348,511
287,367,307,443
332,313,394,386
265,342,366,394
294,335,466,489
358,377,422,441
322,359,475,516
408,354,579,465
383,377,545,540
484,437,645,517
417,344,537,513
493,395,587,477
445,376,586,592
552,468,688,646
476,447,608,513
555,464,554,540
503,439,667,515
507,448,602,586
584,534,750,649
677,516,605,622
650,501,601,530
551,412,602,458
528,510,696,525
600,491,635,565
616,439,662,572
554,476,656,624
707,540,686,595
700,428,704,592
616,473,727,514
718,385,675,600
772,478,706,490
616,479,630,614
659,477,774,600
690,442,662,524
639,383,742,497
673,441,825,606
713,519,895,550
769,415,903,503
697,392,868,527
861,490,894,629
800,495,789,506
684,468,943,513
688,503,933,500
681,414,871,526
797,410,941,483
811,405,733,638
829,503,862,540
780,386,808,429
816,458,846,502
731,513,874,463
860,462,709,573
817,410,744,579
646,453,808,502
744,542,707,565
649,463,859,387
718,441,685,552
749,519,608,563
602,428,696,531
592,398,706,492
585,412,568,462
488,450,625,432
570,322,653,487
548,389,640,469
474,327,589,485
527,379,564,515
486,306,562,430
464,359,519,424
327,417,588,542
439,367,515,537
509,377,471,615
445,433,434,497
410,478,482,455
404,425,523,473
411,342,449,535
356,491,506,481
393,481,407,544
422,371,526,524
320,546,458,575
381,422,468,435
306,432,395,518
335,492,452,522
298,365,374,397
351,438,411,526
433,485,440,465
340,324,451,508
335,328,308,505
311,418,442,567
364,344,392,355
283,446,409,459
267,449,379,371
346,400,376,432
312,338,438,390
336,395,410,381
277,371,365,361
275,332,399,384
346,343,417,391
281,401,441,534
365,317,361,479
329,297,376,419
297,369,468,448
320,350,436,435
362,404,481,441
403,396,428,415
361,381,533,437
410,271,566,443
403,394,465,406
430,407,549,449
513,366,674,480
431,387,603,420
506,418,591,402
557,405,644,488
667,339,655,448
461,338,708,440
508,385,704,507
479,376,774,410
573,338,703,541
569,331,751,412
547,334,710,472
504,388,657,460
596,317,770,427
528,479,770,368
541,349,692,393
491,293,628,421
534,284,627,370
597,316,654,431
496,403,613,484
488,323,743,446
503,347,589,340
522,375,629,517
465,235,611,396
416,277,675,469
423,323,562,386
390,401,491,418
291,323,577,318
398,291,517,438
425,353,481,442
351,320,445,447
356,297,444,489
305,366,400,401
327,331,453,390
319,343,476,439
237,355,485,398
329,314,401,485
304,412,399,374
322,319,437,412
343,334,413,361
328,316,409,451
313,300,398,360
291,325,425,371
277,320,394,427
369,266,380,370
340,237,454,431
281,403,426,406
288,336,401,400
267,330,474,397
298,289,421,389
214,295,369,399
253,270,368,401
242,295,353,340
275,303,350,311
296,288,395,439
269,329,357,392
260,301,379,329
284,421,364,395
223,297,398,403
347,381,342,464
286,261,366,478
301,356,346,311
331,356,491,411
250,264,372,478
293,336,368,405
294,250,429,452
301,370,423,443
289,352,255,396
311,360,343,443
377,445,399,441
273,390,437,352
318,354,281,445
290,357,358,511
294,334,399,481
293,318,363,328
324,343,348,405
334,306,356,333
286,352,357,375
290,314,416,388
275,303,334,409
267,294,370,427
225,320,343,346
323,342,333,427
322,393,479,420
350,244,441,460
301,331,463,376
349,346,369,445
385,406,450,406
333,385,469,452
466,382,496,472
505,353,464,536
434,459,565,416
402,479,482,588
516,500,490,455
452,503,551,610
449,530,585,630
468,615,677,564
516,674,656,546
486,539,544,599
484,584,579,707
600,581,680,697
585,571,676,710
529,584,685,781
574,683,771,652
496,658,737,859
566,603,799,897
565,572,778,714
670,610,676,746
425,500,694,650
518,678,691,682
541,648,568,616
646,641,723,608
559,538,617,625
422,566,599,669
472,469,598,570
391,479,575,568
384,531,720,537
460,454,594,525
417,432,543,467
359,476,648,613
317,422,536,586
272,471,455,559
253,341,543,501
323,343,567,549
208,396,556,513
283,443,501,526
305,373,493,442
314,452,576,509
254,438,643,554
231,485,586,545
246,394,589,494
212,415,508,582
269,422,520,470
266,465,545,538
354,525,522,628
359,425,576,514
317,455,590,653
235,486,569,599
385,537,663,534
433,521,753,651
419,563,670,645
384,428,663,657
357,567,665,791
406,671,612,695
335,518,765,665
416,591,687,736
423,534,834,648
466,586,798,686
424,636,748,699
435,617,774,686
398,685,634,659
441,503,660,663
475,545,752,668
431,576,634,641
382,515,757,641
529,533,747,554
472,525,743,640
444,499,803,710
518,448,873,662
564,603,835,637
538,583,869,643
545,523,797,707
597,558,801,632
685,624,893,672
692,558,961,729
838,563,1113,577
800,441,1181,666
995,486,1064,700
1066,591,1273,802
997,616,1334,787
1258,637,1381,751
1112,553,1341,673
1467,613,1383,599
1248,571,1600,690
1323,557,1405,668
1367,544,1567,639
1172,592,1490,628
1221,592,1467,665
1195,525,1401,686
1287,501,1369,558
1106,533,1393,691
1172,570,1483,534
1156,470,1252,560
1200,390,1312,625
919,395,1210,556
1153,374,1196,479
910,343,1093,471
803,410,1051,486
890,339,927,405
743,460,913,454
642,310,806,419
565,391,841,468
557,313,674,349
419,325,607,422
479,352,551,364
391,315,576,305
463,352,500,425
393,298,483,371
377,373,469,358
395,339,497,380
474,337,483,336
439,303,509,423
399,337,482,393
412,417,539,412
421,342,542,447
465,346,602,435
494,363,505,412
429,427,550,401
440,387,591,426
425,315,548,309
533,328,584,414
510,353,596,369
569,372,511,496
506,341,528,402
546,378,669,401
434,312,516,379
518,309,472,372
381,350,570,387
524,345,529,410
515,310,637,409
625,261,594,485
573,413,607,385
632,413,650,437
613,426,804,399
693,327,739,499
807,331,802,514
712,371,782,423
839,353,833,449
849,379,788,407
603,376,922,398
819,342,844,459
782,418,886,412
772,434,850,488
812,400,902,498
881,448,854,408
681,479,857,468
873,357,709,588
719,330,731,570
626,450,702,432
636,454,858,464
739,452,650,423
563,385,740,483
565,377,667,419
600,452,555,562
591,385,700,494
542,488,569,563
464,462,535,506
464,508,494,642
519,530,533,580
533,682,604,630
588,620,647,778
612,870,756,885
663,1009,707,1082
793,1285,825,1317
752,1494,750,1396
