Counts-435,Counts-436,Counts-435,Counts-436
398,374,417,445
418,318,459,414
399,327,397,459
481,260,431,435
451,281,402,415
471,244,493,424
457,290,533,386
430,364,437,316
460,297,522,317
506,262,422,407
469,313,605,334
504,199,436,390
470,342,422,325
423,248,446,371
467,311,513,420
428,198,571,336
510,313,459,339
502,323,497,383
450,296,496,365
487,275,539,429
388,315,489,408
527,252,660,345
410,248,426,421
440,322,591,419
415,240,536,496
468,370,630,449
449,307,571,399
485,261,599,324
534,302,614,456
566,288,574,426
495,336,643,395
602,289,588,400
616,258,589,470
637,333,583,399
595,339,489,462
521,276,522,380
553,348,565,319
620,334,609,416
555,385,642,426
459,301,627,437
606,252,603,390
447,249,634,427
482,368,573,443
465,367,654,426
533,339,657,409
616,282,517,408
511,328,543,340
538,324,546,503
488,334,499,379
534,351,589,376
505,317,574,369
502,230,576,342
626,308,557,364
489,345,375,354
493,405,476,332
552,254,496,457
476,249,495,381
405,261,512,409
567,351,460,435
462,320,470,373
449,291,568,420
551,266,431,386
447,344,421,450
545,331,453,337
559,365,491,365
408,325,479,400
515,347,505,431
523,342,565,331
455,310,423,367
499,297,445,413
428,288,487,445
547,291,510,405
522,355,457,424
472,325,412,285
429,374,643,445
513,304,579,428
498,308,493,464
462,381,572,470
437,303,456,537
468,389,524,471
451,309,477,474
415,337,505,444
416,342,371,329
484,395,397,401
421,320,450,498
400,309,435,475
434,340,453,397
412,351,410,456
368,401,519,439
407,370,410,374
451,285,444,340
412,238,490,400
381,323,436,426
384,292,548,456
411,257,449,399
422,301,382,361
461,312,561,444
487,314,434,423
379,292,445,418
464,370,540,409
422,451,443,397
423,320,578,314
479,312,513,431
492,409,489,416
462,420,527,453
425,358,470,445
497,433,463,445
367,367,365,396
440,474,407,436
356,392,430,426
566,409,365,444
445,406,497,454
398,439,421,500
405,407,528,443
493,445,384,428
379,430,565,418
490,437,362,344
548,292,495,527
477,463,419,498
355,385,515,513
512,443,521,465
458,407,419,364
377,432,462,338
430,369,452,364
425,323,414,406
506,302,425,437
484,361,522,394
465,303,399,502
483,328,370,403
510,418,419,475
398,301,400,293
392,229,391,377
440,304,463,405
477,288,409,362
463,349,389,372
507,322,415,329
506,323,458,410
346,340,501,293
456,313,473,328
481,352,420,373
425,328,446,369
465,256,436,368
448,206,528,366
455,335,468,374
434,298,450,354
431,234,533,400
454,282,419,398
481,328,532,412
413,307,645,368
380,403,448,421
393,361,564,439
447,488,479,474
493,448,516,460
467,273,541,483
499,379,477,447
537,357,497,340
491,415,473,450
557,378,426,440
508,463,501,481
507,415,504,544
493,358,505,410
453,384,442,402
523,400,533,519
528,371,626,447
475,354,434,438
568,416,479,508
594,425,406,585
578,456,539,502
498,329,584,451
515,433,543,481
558,456,613,399
522,427,640,474
433,438,687,488
469,486,540,500
583,507,750,450
517,566,572,397
563,452,588,510
546,422,562,390
550,446,532,449
507,296,538,485
458,397,618,550
482,388,555,403
623,427,529,431
480,435,471,456
516,350,513,423
519,423,562,386
481,369,524,389
425,329,433,335
460,304,429,361
447,300,434,452
420,277,481,355
411,375,444,394
360,323,509,421
537,375,413,406
601,359,620,389
468,355,500,408
497,300,413,395
543,433,477,413
447,433,552,492
447,491,499,489
499,472,633,456
513,460,478,589
497,468,606,567
630,433,644,532
556,635,592,494
507,596,615,750
635,590,574,559
565,601,604,741
516,494,579,593
611,689,556,709
555,528,576,630
552,553,591,627
646,531,472,647
480,549,595,565
525,531,747,566
593,624,505,503
544,455,465,537
462,554,427,542
462,427,429,482
474,461,454,452
449,424,563,428
485,525,445,519
455,434,458,503
358,361,444,495
410,475,405,505
383,442,451,447
434,365,412,550
376,327,455,481
394,443,375,418
361,421,407,432
394,350,364,363
314,379,346,429
