Counts-435,Counts-436,Counts-435,Counts-436
240,459,353,592
192,351,370,663
213,445,356,602
194,396,289,624
192,468,311,575
194,419,327,508
194,318,377,550
240,418,353,443
244,337,350,473
260,323,316,473
284,314,311,423
248,275,415,380
252,237,452,433
204,333,337,398
270,285,361,495
185,254,366,364
260,240,290,447
239,261,383,368
224,350,440,429
285,287,376,538
282,289,405,561
302,210,472,437
259,294,413,355
293,265,540,426
321,295,450,408
286,329,555,397
330,293,473,490
286,265,522,526
254,364,523,324
403,331,540,476
304,337,486,394
336,337,498,432
424,329,528,500
448,356,593,494
363,326,528,573
452,230,428,462
367,388,478,461
393,324,562,409
433,330,512,441
380,359,510,503
400,360,537,531
438,368,556,527
476,343,484,462
357,376,586,461
366,319,580,431
417,279,588,498
374,384,471,433
382,378,505,454
423,367,618,448
356,326,409,416
333,322,648,424
352,247,627,345
450,308,471,409
410,268,452,459
299,269,521,502
346,284,448,434
388,325,462,481
367,306,338,406
341,278,435,435
295,317,448,422
273,308,388,409
268,258,372,423
261,229,404,393
242,344,412,496
246,306,293,384
265,259,340,358
217,220,428,407
240,313,337,350
234,266,372,357
179,335,420,352
294,254,423,323
338,256,285,472
212,262,331,405
288,225,340,386
285,364,386,481
229,190,326,415
214,349,341,382
184,349,350,442
273,278,375,343
341,364,416,355
250,303,381,448
285,267,403,470
217,366,288,365
202,261,364,408
329,358,399,455
216,294,288,433
229,333,344,455
294,326,370,479
305,329,343,439
229,343,351,352
293,312,351,424
275,336,261,445
206,370,302,509
206,342,378,414
249,344,337,468
222,273,321,435
248,292,325,480
241,356,436,441
190,360,335,479
215,409,382,463
261,262,298,419
191,283,310,425
265,279,319,404
246,302,355,462
248,312,421,434
199,235,365,427
218,293,282,442
252,368,258,402
221,311,277,365
219,238,298,424
208,268,387,425
192,304,339,380
266,344,376,413
288,333,233,458
261,349,347,443
248,338,330,421
191,356,415,472
224,254,359,399
228,301,333,398
259,362,419,448
223,332,335,572
285,339,256,475
300,322,335,474
310,380,320,484
277,398,359,367
306,339,377,533
242,412,334,401
319,419,307,314
261,329,328,440
277,297,315,390
262,278,345,476
218,354,374,379
308,254,317,453
252,279,365,393
300,291,402,334
283,324,345,391
273,226,346,372
238,310,412,331
265,309,306,358
259,256,336,412
201,323,354,408
236,313,395,424
262,241,394,378
266,310,362,322
233,294,362,429
283,303,332,354
249,285,318,372
329,299,341,473
276,237,347,423
321,331,297,376
207,316,363,362
273,335,380,453
319,330,353,411
310,277,413,526
276,306,374,454
275,392,390,422
337,356,432,444
274,318,360,439
282,349,404,410
290,367,323,369
321,404,367,523
295,337,396,483
287,336,367,501
271,430,406,417
267,430,473,506
289,349,385,521
311,327,414,545
283,415,406,566
321,425,461,514
259,500,395,420
292,439,393,598
328,350,431,471
327,344,359,383
253,438,440,392
284,345,461,544
319,448,369,577
231,442,351,481
265,394,390,515
298,401,436,471
314,339,378,509
262,497,433,525
311,464,391,435
283,534,437,551
293,382,380,538
330,545,385,532
297,461,312,643
273,461,363,510
252,397,344,521
321,426,421,513
240,409,352,435
274,407,349,407
235,455,337,435
263,409,372,493
305,377,403,455
216,314,368,407
251,349,372,402
268,296,362,407
257,332,356,463
283,435,303,446
272,342,272,373
270,338,316,406
254,326,311,408
280,399,423,379
272,300,364,374
252,332,442,406
253,265,311,364
277,361,370,491
308,330,414,392
283,414,438,487
283,330,492,494
301,389,366,477
349,436,424,452
366,404,390,502
340,370,437,457
342,429,443,535
400,372,399,560
423,451,396,560
287,436,461,562
358,442,373,536
358,525,334,540
332,485,400,486
432,492,464,534
353,481,512,547
339,422,392,592
347,427,346,563
265,439,366,548
233,388,436,625
234,473,420,538
258,421,355,580
270,466,315,489
253,374,339,500
276,392,338,539
247,321,295,515
222,370,356,494
223,347,338,484
195,363,255,410
235,355,312,466
269,390,236,519
242,275,325,527
197,379,301,381
229,387,387,396
201,337,350,466
148,344,308,446
214,367,313,480
236,415,349,414
207,382,370,471
244,303,340,430
221,354,393,460
281,270,365,458
262,443,355,490
293,447,405,532
201,470,531,488
273,363,403,521
297,448,428,499
333,416,505,529
370,340,510,471
308,487,568,511
318,338,570,674
376,445,555,694
360,461,653,574
337,501,703,608
438,497,664,650
482,481,553,640
450,524,657,661
465,491,612,692
409,587,591,715
529,586,620,768
425,601,681,756
468,725,678,738
400,624,687,736
496,631,596,773
546,526,658,690
424,584,583,692
400,496,574,645
397,602,744,614
392,589,627,715
405,593,653,687
448,571,667,754
386,574,676,701
423,616,604,639
392,455,650,640
324,456,580,669
506,463,613,658
421,470,532,592
358,496,516,623
403,392,556,526
449,477,521,591
329,335,624,606
435,375,568,513
409,503,543,476
432,362,538,536
442,405,565,549
375,425,546,479
415,491,516,532
432,479,457,598
327,397,483,442
379,310,545,384
347,344,406,433
347,314,455,434
412,441,451,317
345,250,456,429
262,352,447,389
280,375,410,423
327,266,517,357
287,333,341,395
308,308,295,322
284,238,369,328
303,299,315,438
248,235,391,385
299,280,322,334
276,284,435,378
251,236,380,367
227,251,383,384
316,281,349,350
254,284,331,360
200,332,425,391
328,280,335,389
326,286,383,400
319,237,342,318
358,258,373,389
363,326,380,402
367,298,396,357
307,243,422,338
313,301,479,343
343,300,432,371
311,300,415,306
307,332,491,359
280,328,424,436
318,321,422,377
381,247,480,435
282,321,457,413
338,267,353,359
284,343,460,283
241,289,353,384
282,306,372,327
344,283,378,360
203,244,409,329
253,281,341,405
309,267,384,360
246,325,459,411
406,337,368,366
303,362,369,481
326,276,401,515
333,341,452,411
364,240,296,500
266,226,398,471
335,288,562,477
291,279,471,439
320,368,439,418
336,336,487,485
375,369,485,446
378,416,447,486
442,411,538,530
423,393,534,569
401,388,521,581
454,460,488,605
401,396,517,520
413,409,540,642
356,396,475,646
449,466,548,578
516,455,555,562
434,511,574,665
518,542,605,601
461,464,489,695
563,536,651,707
451,559,673,562
409,496,569,726
561,667,654,679
642,877,702,929
696,652,777,1095
701,921,962,1033
685,901,675,1479
729,1151,743,1375
898,1188,933,1530
929,1529,1110,1679
840,1553,1015,1801
1008,1602,1279,1816
1042,1903,1143,2127
1194,1813,1146,2013
1086,1813,1141,2091
1056,1915,1383,2448
1194,1732,1361,2421
1351,1905,1298,2638
1109,1936,1208,2315
1113,2205,1231,2304
987,1987,1119,2457
1104,1925,1056,2347
1009,1921,1019,2244
808,1836,945,2215
852,1788,917,2220
785,1907,737,1797
604,1679,676,1935
527,1623,614,1803
458,1500,598,1727
438,1427,493,1706
385,1415,452,1527
347,1319,488,1453
294,1124,375,1448
327,977,398,1328
312,1006,401,1277
310,880,381,1043
339,919,472,929
247,704,394,895
362,773,505,840
338,709,472,1019
369,760,535,975
423,744,612,874
468,664,512,813
570,649,697,847
519,767,746,838
623,762,860,942
696,964,810,1153
656,938,882,1095
997,1012,1038,1220
937,1288,949,1287
951,1291,1169,1455
1042,1381,1198,1552
1073,1425,1248,1544
1065,1448,1358,1778
1088,1742,1367,1872
1345,1721,1485,1925
1325,1656,1322,1960
1289,2243,1606,2093
1484,1987,1557,2119
1405,2233,1459,2184
1328,2031,1583,2329
1311,2146,1608,2270
1390,2186,1445,2591
1460,2127,1593,2346
1219,2309,1405,2416
1309,2160,1371,2210
1139,2139,1334,2067
1068,1847,1151,2290
1067,2007,1188,2194
1237,2007,1384,2129
904,1565,1119,2046
1025,1730,1092,1724
950,1725,1086,1813
1000,1731,1154,1740
820,1552,1131,1567
1007,1398,971,1514
887,1506,1005,1552
1068,1275,1133,1608
1017,1578,1083,1554
993,1340,1276,1594
1076,1232,1379,1598
1231,1514,1431,1631
1208,1606,1609,1795
1449,1565,1722,1901
1439,1448,1749,1706
1558,1606,1865,1832
1589,1528,1863,1856
1594,1652,1731,1959
1836,1745,2099,2158
1899,2025,2268,2250
2021,1834,2164,2192
2167,1808,2673,2036
2046,1730,2416,2116
2280,2050,2802,2286
2268,2137,2772,2379
2287,2086,3029,2310
2667,2272,3199,2656
2470,2261,2912,2424
2631,2467,3244,2501
2535,2276,3111,2676
2900,2431,3026,2886
2671,2532,3245,3046
2950,2697,3046,3170
2738,2714,3553,3254
2817,3070,3322,3261
2665,3063,3215,3687
2630,2925,3196,3745
2449,3333,2966,3740
2586,3559,3249,3786
2514,3434,3010,4171
2585,3602,2602,4029
2397,3760,2540,4247
2290,3609,2422,3984
2077,3609,2251,4415
1930,3666,2070,4376
1813,3591,1769,4271
1458,3865,1831,4714
1335,3632,1560,4250
1133,3397,1402,4203
812,3113,1200,4117
624,2874,954,3435
446,2203,722,2788
378,1757,451,2404
300,1524,484,1999
256,1341,374,1503
307,1268,329,1149
334,966,332,1245
333,751,334,973
280,720,293,860
415,634,312,606
302,602,342,608
378,558,395,571
361,499,457,715
408,479,441,736
369,628,467,663
432,621,498,728
446,603,572,669
402,560,513,805
526,617,534,782
393,675,612,814
457,660,602,868
486,617,466,970
500,636,586,934
451,876,514,954
471,892,583,1008
428,1002,509,1070
378,957,573,1106
406,909,528,1175
394,1059,501,1200
552,1091,558,1194
490,1214,581,1223
606,1157,775,1504
831,1302,861,1356
972,1286,926,1401
1106,1156,1265,1334
1007,1038,1463,1315
1280,1078,1409,1325
1379,1142,1742,1221
1634,991,1796,1165
1637,865,1649,996
1692,867,1806,997
1689,730,1585,1070
1423,804,1573,919
1297,859,1361,963
1255,1051,1351,964
1297,885,1157,964
959,1006,1110,1196
934,1225,1081,1352
1016,1188,1033,1586
882,1503,973,1490
1069,1524,810,1582
843,1506,955,1880
928,1591,998,1857
830,1763,941,1731
881,1703,812,1455
758,1408,805,1657
679,1210,647,1302
697,1160,550,1186
559,932,721,1129
542,788,567,995
484,762,547,779
462,652,507,651
434,634,600,652
511,489,461,515
570,420,541,578
500,529,558,545
487,551,664,568
644,435,657,577
586,546,722,492
666,594,705,662
631,718,617,716
556,669,673,752
606,732,693,797
656,745,685,896
551,773,562,904
501,941,504,989
432,931,675,1053
501,877,602,1015
418,982,505,985
416,935,467,957
382,914,386,879
336,757,486,752
376,675,415,673
378,680,458,768
361,577,317,575
295,529,334,484
218,500,340,443
217,454,321,495
294,428,277,398
256,417,296,470
290,409,305,407
243,341,333,450
238,429,326,451
320,467,271,566
257,503,365,746
241,638,341,723
269,507,329,771
368,825,425,704
277,764,415,839
304,761,458,976
434,898,480,1160
433,921,633,1094
497,916,482,1198
484,864,513,1135
448,838,458,1156
488,836,547,1087
342,831,594,1011
422,837,633,992
421,798,525,976
380,809,552,938
385,756,523,842
355,691,387,875
326,763,380,950
306,1000,356,1140
281,961,381,1050
348,804,372,980
270,989,315,934
354,832,386,1107
288,821,315,1039
260,942,302,1064
267,940,357,1032
282,967,320,985
217,811,240,1061
245,826,329,908
239,905,338,921
255,817,290,993
214,767,376,918
228,765,304,866
262,768,302,880
280,664,285,828
248,717,314,768
223,664,336,744
269,741,365,818
262,651,294,840
271,733,324,884
301,715,413,934
262,661,319,799
281,700,322,778
272,754,414,816
285,755,314,987
270,824,376,1011
333,877,316,1134
238,932,374,1355
285,1069,396,1381
253,1266,364,1600
260,1256,348,1727
288,1564,317,1957
295,1691,314,2172
277,1837,313,2576
281,2066,365,2344
366,2313,360,2593
208,2334,378,2922
284,2140,348,2630
325,2290,420,2796
324,2224,564,2259
376,2136,402,2353
453,1908,462,2157
476,1754,522,1997
410,1586,620,1601
497,1337,556,1378
581,1279,664,1186
586,989,653,1093
674,1023,655,1020
766,712,768,940
835,747,953,862
751,691,904,791
647,677,772,737
692,674,756,539
590,479,618,595
681,489,589,595
606,572,530,580
427,420,539,428
409,416,500,581
307,471,347,506
317,461,439,484
344,464,445,473
278,333,385,461
361,471,373,392
332,406,445,423
316,381,368,507
381,398,452,493
346,430,415,548
350,457,390,457
402,393,437,458
413,400,509,445
372,439,488,532
382,384,587,573
374,438,562,429
474,462,532,500
553,366,607,537
613,399,614,612
534,479,674,510
529,503,598,532
538,467,661,608
623,463,642,493
614,446,678,552
788,430,844,593
660,477,638,603
657,551,697,661
785,460,905,585
784,509,778,616
911,453,865,579
666,430,1019,675
853,417,786,696
752,473,921,552
734,512,802,572
681,632,747,694
655,499,703,642
549,511,578,586
540,486,682,596
486,522,553,689
475,631,619,774
395,538,580,762
578,627,640,693
503,633,679,740
532,630,705,885
566,744,673,899
656,681,820,854
776,689,897,877
777,735,1039,824
728,765,806,1037
686,754,921,974
803,665,905,757
769,536,961,683
782,669,847,754
632,561,766,642
730,570,837,643
719,630,742,615
747,648,846,707
748,723,1056,651
765,586,1121,763
1140,755,1252,833
976,638,1276,739
1297,690,1627,853
1511,680,1740,1063
1414,765,1626,1060
1592,976,1731,995
1646,918,1811,951
1648,809,1778,1098
1339,990,1768,1044
1559,905,1546,1019
1384,940,1401,1067
1159,887,1418,839
1005,763,1064,749
1128,699,1026,842
823,674,1015,844
712,623,890,709
793,592,775,638
696,590,844,618
737,560,692,705
606,575,799,658
771,528,782,830
660,659,770,763
717,604,825,692
604,623,730,804
693,681,843,744
579,724,883,759
605,713,711,840
560,756,698,882
709,862,742,1016
726,868,950,994
723,821,925,1050
844,851,1147,1311
1120,1021,1485,1357
1216,996,1689,1463
1473,1249,2140,1703
1924,1407,2561,1928
2240,1781,3104,2035
2879,2007,3416,2256
3462,2281,3693,2584
3502,2474,4332,2976
4036,3060,4595,3596
4334,3127,4662,3602
4513,3489,4739,4034
4586,3754,4952,4240
4447,3977,4375,4566
4035,4459,4346,4825
3870,4812,3991,5352
3553,5581,3202,6569
2743,6866,3082,7830
2688,8517,2865,9611
2396,11303,2474,13246
1968,14626,2347,16464
2156,18736,2049,21136
1870,22984,2375,26776
2139,27688,2334,32312
2117,33504,2185,37952
1899,39648,2533,43256
2145,42792,2489,48096
2385,45824,2638,50888
2597,48376,2819,51944
2455,48064,2671,51728
2820,46576,2968,48040
2568,43648,2873,44352
2564,39040,2700,39280
2544,33912,2724,33824
2216,29120,2520,27520
2115,24168,2284,22192
2173,19048,2031,18176
1818,15511,1978,14941
1423,12261,1676,11739
1469,9821,1565,9018
1277,7954,1530,7843
1103,6359,1067,6158
960,5399,1029,4817
1006,4532,1071,4323
890,3930,857,3743
738,3334,1066,3338
758,3016,912,2788
833,2783,882,2682
813,2567,741,2351
725,2266,791,2362
664,2141,720,2018
643,1908,770,2085
644,1782,710,1721
662,1701,862,1646
615,1669,672,1473
694,1434,836,1531
565,1339,674,1519
557,1250,721,1316
595,1156,718,1179
644,1052,671,1195
546,1043,650,1285
773,1067,688,1185
695,1082,872,1161
528,1009,630,1154
615,1005,753,1119
548,909,728,988
538,924,532,1057
525,906,596,1025
571,1005,684,997
560,806,671,993
524,905,580,925
593,1084,593,1066
600,882,643,879
481,943,743,1035
562,724,549,983
586,793,668,912
548,793,568,957
625,745,568,1006
533,780,587,926
510,818,625,819
540,789,653,893
444,701,637,945
408,764,549,905
344,828,406,996
403,894,552,827
504,886,502,1108
477,912,477,1190
