Counts-435,Counts-436,Counts-435,Counts-436
132,294,177,313
173,251,213,324
167,205,192,343
170,220,216,297
137,254,250,308
143,273,196,259
173,178,179,275
223,221,216,257
150,152,241,281
161,180,203,295
187,221,181,269
202,191,207,286
179,211,212,229
166,172,209,260
207,199,198,225
177,153,225,259
174,118,275,177
156,173,185,210
167,119,212,261
138,196,180,244
165,165,233,246
235,166,258,222
176,212,231,253
175,157,215,235
239,224,327,257
146,224,267,278
237,183,245,182
201,176,282,259
238,128,233,206
193,156,208,227
166,144,260,243
176,172,254,182
238,160,243,203
208,104,224,264
146,199,165,176
177,144,223,135
110,205,306,225
282,150,262,245
209,165,242,256
231,215,299,213
224,184,300,200
213,151,215,236
217,146,248,300
213,193,247,213
247,128,288,195
186,165,215,194
226,162,267,272
197,136,293,194
265,205,269,209
241,178,224,186
167,138,286,205
204,165,263,228
212,224,262,208
202,180,328,234
203,155,335,241
228,200,249,255
198,258,198,277
217,232,212,209
183,151,213,167
264,166,265,248
177,124,219,267
214,145,207,267
179,231,276,162
158,209,241,201
227,206,240,215
201,196,230,241
221,194,272,235
190,186,277,270
190,183,231,277
215,167,216,238
137,194,222,174
224,185,281,282
225,194,236,245
247,190,261,230
254,198,310,258
189,185,204,218
266,176,289,193
241,183,207,331
191,234,233,250
229,220,221,187
230,204,278,279
253,170,243,296
351,280,292,264
164,218,246,258
242,240,308,212
308,246,273,297
239,217,292,206
254,309,354,261
309,215,214,257
145,166,229,310
239,259,257,305
251,232,300,256
231,254,204,243
243,256,282,317
235,233,285,273
172,267,235,226
160,231,253,325
200,236,239,227
190,273,218,278
185,204,244,222
198,266,250,268
179,218,202,267
214,237,160,367
148,341,187,253
143,188,252,283
168,224,218,270
164,174,202,219
158,186,178,225
209,174,218,276
174,205,246,192
191,187,197,240
147,175,186,191
172,214,152,186
177,202,154,221
130,214,210,226
190,219,211,254
234,201,228,187
232,193,228,290
239,275,214,216
176,221,277,207
227,255,236,291
203,200,243,271
174,247,234,269
186,215,223,280
149,236,155,308
224,207,186,218
151,234,226,239
209,293,199,249
199,225,272,269
166,238,223,238
227,207,304,248
183,285,231,268
216,246,236,241
223,207,171,241
210,249,188,301
258,171,191,189
228,167,192,263
218,207,245,262
156,173,250,229
239,184,174,214
187,158,202,234
209,199,247,191
253,164,264,251
160,232,250,175
248,215,273,178
263,237,258,277
263,200,307,160
261,193,189,244
209,229,206,227
239,276,258,275
247,228,216,243
279,223,273,251
274,239,377,309
261,217,330,214
224,225,287,262
265,237,281,248
264,294,292,314
260,210,247,297
229,306,211,260
240,212,296,228
327,270,276,278
209,273,262,300
262,304,256,294
238,223,236,266
319,284,283,259
257,234,223,348
235,271,236,284
194,212,217,219
200,249,309,304
261,331,294,286
209,270,223,258
251,213,278,265
181,349,228,363
232,299,179,326
250,155,281,374
251,225,371,304
204,285,259,332
253,250,282,287
235,321,276,257
247,297,271,276
261,304,230,278
268,266,259,410
237,244,255,349
271,279,264,334
333,279,263,242
224,272,266,312
213,335,363,296
258,235,252,363
