Counts-435,Counts-436,Counts-435,Counts-436
1084,1063,1274,1322
1194,849,1299,1233
1163,963,1459,1261
1411,860,1513,974
1352,818,1590,1055
1428,930,1640,973
1847,734,1785,1047
1856,770,1853,987
1997,837,2142,1030
2123,775,2283,1087
2393,754,2565,1150
2410,799,2662,1155
2693,841,3200,1077
2736,896,3332,1290
3094,1061,3611,1269
3269,998,3632,1268
3628,881,4017,1290
3705,999,4138,1292
3985,1151,4554,1321
4422,946,4248,1363
4854,971,4912,1239
4838,1071,5156,1356
4919,989,5447,1417
5726,1162,5367,1393
5878,1155,6090,1506
5843,1246,6401,1457
6661,1201,6511,1483
6663,1242,7003,1585
6937,1223,7072,1447
7003,1197,7262,1431
7572,1273,7551,1614
7994,1508,8392,1688
7903,1250,8372,1644
8520,1546,8235,1556
8128,1513,8413,1556
8001,1381,9147,1716
8532,1390,8927,1659
8140,1397,8686,1640
8544,1293,8394,1642
8644,1534,8186,1798
8189,1419,7643,1657
7555,1346,8032,1458
7768,1384,7684,1289
7416,1314,7100,1600
7097,1163,7077,1512
7029,1212,6723,1526
5940,1075,5916,1552
5859,1032,6029,1287
5544,1117,5838,1337
5349,1115,5806,1226
5395,1057,5302,1377
4811,911,5279,1339
4933,970,4702,1342
4801,1014,4808,1173
4546,1051,4721,1174
4101,1014,4214,1201
3861,1084,3716,1310
3755,778,3635,1256
3471,979,3605,1093
3029,1006,3363,1087
3053,1025,2792,1384
2559,1078,3085,1208
2429,1147,2890,1320
2393,1097,2720,1292
2230,1028,2461,1247
1845,1124,2165,1206
2059,1051,2018,1375
1810,1028,1837,1394
1684,1049,1921,1324
1533,1034,1768,1189
1408,1223,1783,1232
1405,1200,1697,1405
1368,1109,1378,1180
1260,1220,1437,1236
1181,1126,1319,1292
1263,1115,1485,1279
1175,1040,1330,1183
1242,1099,1402,1238
1108,1003,1429,1319
1177,1275,1214,1243
1141,1042,987,1395
1105,1073,1312,1239
1073,898,1275,1269
1146,1131,1311,1258
1103,986,1303,1157
1155,916,1425,1134
1215,821,1314,1267
1202,978,1494,1111
1491,1000,1394,1344
1295,942,1627,1201
1413,947,1617,1202
1782,955,1788,1275
