Counts-435,Counts-436,Counts-435,Counts-436
43,43,47,57
54,54,56,81
56,77,61,53
45,53,47,52
45,52,75,54
50,48,66,48
56,46,40,67
59,42,70,52
58,49,51,59
40,41,54,55
58,63,53,54
49,75,57,68
47,45,49,42
42,59,56,56
42,60,41,55
44,39,68,57
43,51,46,46
40,58,46,42
39,54,51,40
61,41,45,48
39,44,39,59
55,45,65,54
51,48,47,61
44,43,46,56
50,59,40,59
42,65,46,57
41,44,44,54
48,40,55,39
42,69,54,53
39,67,54,44
39,49,50,52
49,60,46,53
47,43,40,39
45,47,48,53
54,51,55,43
39,39,41,63
65,59,59,47
43,56,47,52
47,45,68,54
44,55,40,55
48,42,63,48
44,60,59,62
45,53,39,43
39,50,45,64
42,42,43,58
48,45,56,46
50,50,43,44
45,40,44,41
44,45,57,43
58,43,40,46
49,45,59,58
43,39,39,42
51,59,43,57
47,43,39,48
47,64,48,48
55,63,55,52
44,48,45,41
42,48,40,54
40,54,42,42
49,51,79,46
42,56,49,51
50,51,52,52
39,39,55,80
46,50,44,40
45,49,56,52
55,40,48,45
43,44,44,39
41,57,42,60
47,57,48,58
59,44,50,50
39,54,50,54
47,44,49,43
71,44,72,49
42,44,76,47
39,51,50,42
49,65,52,46
52,47,47,53
40,56,52,64
52,40,60,67
41,56,62,60
39,50,40,48
40,47,43,63
44,46,70,47
53,47,52,56
46,64,53,44
44,43,51,48
60,44,60,58
45,39,49,50
48,51,69,52
45,39,49,48
45,47,49,39
42,47,49,43
50,47,44,48
39,48,64,49
49,44,47,53
54,51,40,56
39,40,65,39
41,39,42,47
53,40,56,54
60,51,44,55
44,55,66,47
46,44,39,62
41,44,45,52
43,50,48,53
40,41,47,54
41,56,53,44
41,59,42,56
39,39,45,51
42,48,41,49
47,56,52,57
42,52,54,45
42,43,48,50
39,39,48,44
39,57,40,47
39,41,39,47
56,39,45,45
39,48,43,39
39,39,40,45
49,62,44,42
57,43,39,43
47,58,46,45
42,70,55,44
50,39,44,63
43,46,55,52
42,46,44,50
44,51,45,47
55,48,43,55
56,48,42,39
52,62,59,39
58,40,43,48
39,44,49,58
45,55,62,79
48,54,42,58
40,41,57,50
43,61,45,39
39,55,56,46
48,70,46,48
54,52,39,72
45,42,39,44
41,57,39,46
41,44,46,52
53,54,39,60
42,40,39,46
43,56,43,46
41,50,44,49
48,50,46,59
39,44,45,46
49,45,39,55
44,51,39,54
39,47,39,45
44,44,49,45
39,57,60,43
39,41,51,45
52,41,61,40
43,42,41,57
43,46,54,39
42,39,42,48
39,46,43,52
64,52,50,42
47,53,53,51
40,48,41,47
59,39,40,59
40,48,40,49
47,39,39,40
43,53,63,44
42,48,42,53
41,39,44,50
54,45,49,56
47,45,39,47
41,49,49,45
39,40,48,46
39,39,48,54
42,48,40,48
40,41,51,39
40,50,46,54
61,64,44,57
46,44,45,46
45,55,40,48
40,58,55,43
44,47,39,64
51,46,52,52
42,39,48,44
45,48,49,59
49,41,44,52
63,44,53,45
50,44,52,43
53,43,45,49
39,55,57,66
55,39,65,49
56,49,55,55
45,39,40,49
42,42,53,39
53,44,47,64
54,73,44,48
42,43,44,52
39,43,49,44
40,47,45,39
48,42,45,42
54,46,58,52
52,40,53,42
52,45,43,47
50,51,45,49
47,46,51,39
43,39,46,43
40,40,39,48
59,42,70,50
39,54,53,45
43,40,41,43
51,57,39,67
39,59,43,46
39,40,42,54
50,48,49,47
48,57,55,60
41,52,42,45
40,59,41,45
57,40,57,49
61,53,48,49
51,51,47,55
42,58,46,55
52,54,43,44
51,45,60,45
43,49,50,39
39,60,42,40
50,42,51,51
40,52,39,47
39,44,41,50
39,51,49,41
45,46,39,47
52,57,50,43
52,40,54,61
39,56,51,52
50,40,48,41
53,44,49,43
47,44,41,45
53,58,43,48
39,39,50,39
39,47,39,39
46,65,57,67
47,39,42,52
47,42,51,39
49,39,60,47
39,48,52,39
62,45,50,39
55,51,41,58
40,54,45,61
44,45,59,43
41,42,45,67
53,44,42,40
46,51,40,66
