Count-435,Count-436,Count-435,Count-436
8207,1850,7355,1922
8195,1751,7848,2035
7926,1567,7685,2165
7937,1665,7572,2062
7721,1699,7770,1830
7554,1522,7221,2008
7219,1585,6960,1780
6900,1616,6928,1961
6405,1363,6612,1678
6326,1701,5753,2012
6572,1640,6304,2039
5225,1432,5655,1836
5688,1621,5790,2184
5347,1425,5149,2148
4966,1548,5403,1901
5410,1791,5587,2220
5377,1587,5328,2133
4708,1816,5125,1987
4988,1917,4566,2319
4777,1857,4747,2354
4983,2144,5178,2570
4711,1977,4641,2549
4814,2348,4701,2935
4453,2312,4798,3034
4618,2137,4688,2676
4643,2387,4634,3170
4205,3001,4539,3346
4569,3347,4486,3923
4364,3415,4415,3700
4335,3437,4294,4521
3714,3826,3729,4152
3904,4727,4066,4691
3560,4594,3668,5422
3699,5180,3771,5595
3160,5094,3547,5865
3338,5844,3191,5829
3211,5944,3067,6092
3005,5868,3104,6657
2669,6405,3120,6783
2620,6621,2896,6873
2427,6587,2894,7141
2552,6962,2576,7708
2517,6567,2618,7343
2259,7463,2334,6661
1797,7155,2142,7466
2094,7613,2434,6938
1608,7222,2494,7227
2014,7150,2395,6692
1806,7720,2300,7102
1652,7078,2466,7641
1726,7272,2480,6853
1720,6714,2336,6733
1875,7516,2213,6923
1567,6009,2604,6912
2100,6167,2342,7018
1693,6149,2530,6894
1626,6708,2645,6131
1559,6020,2395,6370
1604,6228,2274,6514
1630,5242,2577,6365
1528,5051,2720,5618
1259,5009,2711,5696
1472,4760,2915,5767
1495,4386,2657,5258
1440,4038,2842,4887
1388,4124,2784,4572
1526,3743,2695,3928
1613,3681,2703,3633
1461,3262,3148,3554
1680,2755,3357,3264
1855,2353,3416,3162
1662,2299,3523,3217
2309,2185,3925,2891
2142,2088,4243,2691
2174,1890,3917,2517
2496,1458,4713,2487
2662,1771,5089,2445
2677,1961,4993,2905
2821,1596,5552,2279
3252,1408,6586,2635
3318,1461,7035,2580
3353,1698,7250,2523
3529,1647,7749,2771
4222,1554,7615,2939
4483,1527,8456,3020
4143,1364,9500,3130
5004,1520,10086,2973
5166,1727,10502,3073
5592,1627,10210,3475
5483,1464,11326,2988
6529,1521,12117,3319
6779,1638,12866,3342
7981,1741,11809,2847
7248,2039,12001,3439
8676,1949,13157,3421
8442,1872,14258,3346
9257,1814,14121,3584
10057,2110,14217,3737
10275,2369,14656,3436
11199,2144,15477,3807
11857,2290,14702,3210
12344,2266,15079,3471
12452,2173,15924,3721
12827,2220,17680,3231
12882,2001,17184,3555
13165,2616,17832,3455
13446,2254,18432,3459
14490,2616,18000,3949
14135,2515,18312,3586
14430,2578,18504,3789
14872,2628,18032,3482
15267,2580,18432,3988
15084,2690,17592,3801
15307,2532,18904,3673
14152,2553,18384,3652
14356,2842,17928,3512
14007,2505,17016,3315
13653,2397,15779,3100
13701,2072,16776,3661
13115,2318,15325,3225
13072,2172,15268,3532
11711,2262,14829,3081
12093,2103,13996,3443
11910,2427,14849,2786
9915,2239,14125,3048
10591,2329,12288,3324
9514,2261,12529,3238
9068,2190,12275,2931
8648,1880,11154,2784
8422,2096,10301,2822
7754,2191,10053,2714
7106,2079,9461,3088
6732,1895,9251,3006
6351,1913,7787,3124
6106,2309,7544,3145
5354,2069,7160,2916
4525,1869,6941,2990
4226,2109,6286,3198
4578,2090,6342,3224
3906,2138,5923,2776
3529,2180,5726,3244
3640,2119,5429,2611
2973,2234,5196,2843
3019,2248,4956,2665
3088,2204,4244,2832
2968,2190,4454,2691
2609,2232,4261,2745
2455,2096,4277,3065
2702,2036,3575,3086
2731,2114,3884,2822
2504,2219,3850,2628
2293,2073,4005,2523
2343,1969,3922,2493
2452,2040,3476,2427
2540,2128,3345,2455
3106,1998,3503,2294
2569,2084,3779,2631
2729,1996,3713,2282
2746,2105,4030,2462
3043,2266,4150,2585
3329,2042,4194,2296
3849,2054,4316,2246
3562,1957,4311,2135
4293,2024,4884,2178
4320,1691,4883,2104
4308,2189,5416,2239
5091,1809,5157,2144
5012,1836,6182,2369
5943,1749,6533,2232
6076,1835,6423,2486
6774,2281,6978,2299
7205,2111,7753,2141
6866,2099,7709,2467
8075,1939,8964,2254
8599,2146,9026,2349
9508,2297,8980,2429
9698,2023,9768,2328
10066,2221,9387,2401
9950,2201,10403,2509
10156,2179,9981,2702
10585,2027,9718,2112
11417,2486,10271,2634
10857,1930,10126,2698
10583,2147,10261,2427
10242,2275,10120,2366
10516,2191,9712,2563
10028,2403,9431,2443
9514,2284,9090,2145
10310,1902,9394,2298
9476,1952,9014,2181
9309,2014,8279,2353
9113,1787,8046,2312
8593,1854,7823,1827
7227,1911,7072,2202
7116,1720,6404,1680
6948,1465,6560,1944
6264,1692,5915,1921
5473,1575,5056,1745
5145,1513,5108,1784
4921,1363,4585,1786
4554,1261,4215,1633
3780,1382,3989,1854
3330,1367,3577,1531
3127,1428,3169,1449
2434,1200,2716,1479
2381,1378,2716,1279
2303,1253,2237,1575
2138,1088,2156,1388
1899,1172,2332,1308
1774,1387,1930,1601
1833,1039,1935,1560
1652,1117,2268,1296
1866,1167,1855,1477
1513,1225,1766,1293
1600,1151,1635,1644
1456,1053,1773,1465
1534,1005,1804,1195
1330,991,1552,1154
1321,1049,1621,1584
1554,1076,1476,1473
1198,1065,1647,1221
1300,1217,1823,1557
1408,1083,1511,1700
1176,1279,1612,1639
1168,1168,1513,1328
1333,1378,1598,1479
1353,1069,1458,1629
1369,1075,1277,1583
1209,1208,1375,1645
1277,1296,1586,1940
1294,1179,1485,1617
1268,1409,1795,1557
1111,1361,1386,1677
1287,1437,1579,1485
1255,1324,1351,1943
999,1334,1619,1362
1175,1307,1269,1812
1148,1269,1323,1523
1205,1379,1524,1471
1212,1089,1391,1675
1166,1335,1266,1400
1372,1285,1630,1259
1153,1198,1398,1456
1372,1058,1570,1347
1134,1026,1406,1493
