Counts-435,Counts-436,Counts-435,Counts-436
472,342,471,514
458,262,452,396
430,481,547,473
419,286,469,455
478,279,550,520
366,358,593,390
468,341,462,511
515,364,477,376
461,322,584,386
453,306,480,454
446,357,694,427
428,341,494,434
604,402,598,507
493,372,569,417
496,330,611,511
517,383,563,411
570,357,488,484
616,389,586,422
604,423,581,415
555,445,650,546
642,421,515,466
478,414,421,433
526,417,629,477
472,464,549,474
428,383,556,507
505,408,551,480
488,417,518,428
541,375,507,447
587,459,545,550
576,392,666,410
562,424,476,508
536,333,508,438
402,423,603,366
536,459,616,427
552,290,601,422
506,360,547,402
568,324,606,313
484,286,586,480
557,285,569,451
536,289,544,395
537,292,555,397
500,293,472,360
456,378,561,412
408,414,608,386
497,351,552,449
443,337,527,393
502,305,566,373
585,270,402,415
548,301,514,452
378,302,530,419
452,314,438,368
396,236,452,406
418,246,414,417
395,447,525,334
373,249,539,400
416,339,445,430
325,364,439,372
500,369,420,393
399,360,404,347
431,338,484,337
417,299,520,460
389,303,496,370
458,349,398,423
420,416,421,305
443,379,491,398
413,365,503,515
473,377,385,354
413,352,405,453
437,438,369,380
480,404,524,392
429,361,416,470
401,440,383,370
348,338,486,424
383,318,425,394
451,361,453,424
390,336,451,405
386,352,513,454
339,392,340,452
307,420,438,405
329,413,376,375
398,359,447,397
423,388,410,446
385,353,389,472
368,316,416,408
404,425,407,475
343,400,460,420
390,332,417,330
358,343,397,516
442,328,453,389
354,415,467,375
378,377,473,407
349,338,493,441
387,354,431,490
413,401,462,440
444,325,327,481
462,365,388,417
377,371,374,442
339,435,445,449
362,370,460,480
301,383,417,453
412,433,348,444
408,421,408,459
483,482,462,463
480,385,481,405
345,382,450,432
327,461,511,478
387,332,420,398
398,446,433,480
405,375,464,430
464,442,467,350
492,403,529,434
441,361,417,478
367,371,384,517
401,356,458,506
415,388,432,521
515,341,494,415
408,374,376,452
346,376,398,503
455,317,466,498
416,415,524,430
452,422,432,448
443,433,389,455
444,358,549,434
420,426,456,416
526,392,414,440
498,403,482,501
495,296,481,349
452,368,531,430
523,399,549,404
390,403,466,464
482,345,476,372
443,301,465,535
497,267,507,366
512,405,485,407
455,356,456,429
422,359,523,340
355,287,635,445
527,297,431,334
513,350,464,462
502,400,493,380
513,355,534,493
486,303,537,455
553,325,669,474
490,408,564,514
482,377,613,441
491,459,515,464
499,413,570,482
598,375,514,366
522,420,514,421
560,424,497,440
549,428,533,525
445,512,525,533
580,376,525,380
527,386,626,487
487,445,590,492
484,402,566,461
586,368,512,497
557,496,617,515
520,480,465,516
454,362,463,517
487,478,526,470
523,525,597,519
500,497,578,496
465,476,554,503
472,442,585,476
454,533,571,533
527,564,551,511
463,401,486,436
475,389,631,479
528,573,450,483
367,527,617,452
492,537,461,524
377,473,517,460
506,496,655,501
451,417,692,453
488,546,415,398
531,421,539,423
407,441,500,539
506,358,478,421
440,419,532,513
482,381,555,455
430,359,519,502
486,379,566,526
516,350,485,555
460,479,550,449
508,328,610,438
450,447,510,437
402,380,587,377
444,415,605,486
389,396,630,377
406,511,570,502
431,423,525,397
464,440,495,411
479,363,670,467
548,491,700,453
553,382,673,459
499,418,620,524
496,594,625,527
511,553,570,572
561,496,617,659
512,539,682,563
554,479,609,652
477,541,678,623
526,520,612,647
549,613,687,676
554,549,638,627
522,638,528,536
570,681,666,630
514,548,558,751
454,608,652,677
465,543,601,721
435,613,532,651
523,521,541,601
521,494,532,646
478,514,523,477
477,604,606,559
425,503,403,571
520,419,535,586
412,540,506,580
405,505,483,461
513,501,516,461
357,550,523,547
458,435,431,446
435,380,559,502
345,462,512,575
462,505,467,420
461,494,463,452
376,459,533,383
492,493,384,533
407,378,479,437
421,367,481,383
391,418,495,479
315,453,417,452
421,379,377,413
399,463,415,442
317,364,378,578
393,505,484,474
472,457,394,452
384,462,567,591
412,445,489,457
402,517,427,493
451,413,434,503
478,490,409,554
530,475,614,420
462,512,599,447
521,538,503,544
437,567,557,662
531,549,491,560
565,577,547,667
607,521,592,626
611,552,578,666
505,543,695,676
513,594,585,585
508,547,588,683
438,623,543,670
577,720,622,673
534,540,531,677
585,551,537,627
682,593,649,610
477,587,559,710
605,547,693,607
532,580,617,661
619,553,683,728
582,757,570,699
696,692,675,594
680,615,675,699
688,557,636,697
610,516,672,625
738,606,602,563
779,598,742,567
588,629,746,664
587,596,624,545
821,469,600,674
678,472,604,529
660,552,641,576
789,529,800,619
587,503,764,750
661,498,907,492
671,573,700,510
642,605,668,612
710,467,668,488
646,559,671,501
495,472,588,499
551,493,565,454
556,543,559,438
577,470,541,547
397,416,516,491
432,382,437,486
584,403,524,583
412,371,459,490
