Counts-482,Counts-484,Counts-486,Counts-488
1152,1550,1486,1962
1130,1470,1394,2058
949,1601,1554,1824
989,1395,1313,1905
1059,1549,1263,2007
837,1645,1179,1953
878,1628,1354,1783
836,1407,1271,1741
807,1603,1240,1816
718,1587,1167,1709
724,1493,1161,1611
712,1483,1111,1678
659,1584,1165,1618
572,1466,1238,1556
705,1523,1063,1645
680,1610,1148,1561
702,1467,1127,1641
623,1522,1071,1452
719,1333,1086,1331
574,1286,1042,1347
612,1178,949,1330
646,1217,931,1403
530,1232,970,1388
537,1159,913,1216
645,1176,857,1269
532,1016,817,1206
670,1101,917,1180
650,974,892,1120
596,962,830,1099
623,955,901,1050
517,912,841,972
588,724,952,1037
492,715,884,985
619,746,990,925
621,755,999,987
626,754,1056,1007
853,664,926,759
722,646,1003,881
816,576,1102,768
763,641,869,863
740,659,1041,794
764,724,1038,821
872,575,1161,809
1012,622,1225,806
958,622,1175,752
948,616,1280,747
1063,701,1433,813
1287,648,1446,743
1156,600,1576,687
1204,581,1473,669
1387,610,1794,799
1395,647,1619,796
1667,562,1830,810
1755,684,1979,891
1665,687,1899,766
1668,613,2024,765
1959,641,1967,825
2098,707,2143,811
2143,786,2220,918
2350,594,2384,862
2559,797,2460,910
2484,744,2869,695
2585,622,2985,806
2979,707,3018,946
3266,663,3227,881
3397,810,3388,1023
3420,659,3436,893
3447,858,3550,934
3439,747,3873,1011
3787,858,4268,1047
3609,809,3697,958
3635,788,3802,962
3517,775,4176,973
3790,844,3783,906
3871,782,3971,935
3882,826,3933,977
3892,754,3741,986
3632,790,3824,1009
3557,756,3997,964
3680,708,3430,979
3303,727,3333,961
3443,853,3476,933
3443,747,3272,989
3127,839,3248,894
3231,682,3351,933
3119,684,3046,866
3087,656,2929,841
2703,730,2816,972
2768,657,2741,879
2584,674,2774,967
2454,811,2403,869
2414,833,2352,874
2463,713,2427,939
2158,704,2310,1023
2160,756,2278,968
2156,805,2105,853
1809,884,1892,943
1747,728,1771,1047
1895,870,1881,1053
1711,751,1770,1054
1449,906,1592,1174
1448,870,1492,1181
1334,1026,1756,1058
1313,925,1664,1234
1397,868,1415,1311
1258,1008,1614,1199
1291,907,1338,1120
1055,893,1217,1239
1100,871,1218,1042
1138,987,1328,1010
1158,842,1346,1151
880,843,1227,1227
1021,1086,1318,1132
1011,959,1239,1072
917,875,1203,1021
973,972,1266,1054
910,968,1081,1144
919,879,1136,1073
885,737,1087,1188
915,877,1040,1015
813,909,1125,1048
1015,816,1105,1074
889,866,1161,988
898,776,1055,1005
826,808,1220,857
895,743,1342,840
945,883,1218,1066
922,807,1349,920
1053,691,1322,940
1175,723,1420,856
1206,687,1526,854
1166,675,1730,881
1570,816,1833,1014
1725,648,1826,883
1715,775,2100,839
1875,721,2295,1007
2263,713,2619,870
2303,741,2671,928
2569,905,2938,1032
2612,656,2791,891
2522,799,2646,970
2804,773,3065,984
2586,847,2860,969
2763,957,2942,1033
3025,752,3058,930
2681,649,3185,926
2597,933,3291,955
2596,769,2981,958
2776,770,2798,1011
2608,684,2824,904
2926,839,2730,859
2659,679,2836,830
2530,722,2628,885
2682,603,2586,738
2293,659,2518,939
2327,620,2371,915
2343,634,2291,824
1766,593,2196,840
2083,623,1907,866
2063,698,2074,692
1909,720,1748,846
1756,537,1915,826
1677,633,1696,690
1745,513,1698,678
1449,485,1557,656
1504,532,1499,694
1380,605,1280,659
1184,541,1272,748
1180,558,1360,706
1106,573,1264,619
919,558,1146,742
969,517,1081,699
910,477,978,745
833,501,981,590
789,440,905,735
812,449,929,739
705,425,920,681
696,513,782,565
825,548,844,609
728,488,976,632
689,497,789,672
668,490,814,555
