Counts-435,Counts-436,Counts-435,Counts-436
357,1586,468,1790
291,1529,422,1666
389,1546,426,1720
306,1384,463,1546
288,1461,397,1617
279,1445,417,1673
270,1224,452,1620
287,1254,309,1533
264,1294,352,1496
257,1115,394,1339
272,1080,346,1245
293,1034,475,1172
277,976,499,993
266,909,381,796
337,777,454,941
325,684,326,765
212,667,368,788
345,518,430,692
245,455,377,581
321,429,466,559
278,389,409,488
284,436,351,507
245,362,405,457
327,303,444,548
326,356,423,556
339,368,457,474
378,342,500,452
417,382,450,415
402,374,512,423
478,274,460,520
482,358,530,393
437,343,533,375
449,361,571,441
528,410,653,428
519,298,736,531
557,348,631,447
574,375,758,494
579,421,685,505
655,401,709,366
645,364,775,605
705,364,806,540
769,367,802,477
736,427,805,508
773,383,857,533
920,390,876,549
1021,396,928,517
903,464,1003,484
1008,418,1005,546
1064,517,1050,625
1058,411,1025,478
1057,460,1228,474
1148,473,1206,590
1224,439,1182,558
1323,457,1363,584
1379,481,1242,569
1342,419,1490,697
1321,471,1492,531
1460,540,1652,651
1490,541,1559,540
1515,448,1614,603
1466,477,1488,567
1653,529,1468,556
1477,600,1585,591
1721,470,1583,694
1418,511,1525,628
1551,462,1497,566
1447,464,1413,669
1326,486,1487,628
1330,528,1466,554
1320,471,1459,561
1364,436,1275,614
1325,425,1251,535
1272,456,1280,588
1171,429,1110,563
1097,552,1230,509
1060,479,1095,532
1049,459,1044,480
1033,375,1199,536
868,442,928,514
821,412,938,475
816,451,817,523
583,498,928,464
738,516,791,551
692,437,626,516
579,507,744,615
639,466,713,542
532,455,686,561
440,363,650,530
624,472,691,594
499,481,684,594
414,508,525,557
463,468,650,616
584,441,555,605
496,528,507,656
490,599,567,641
528,570,501,707
431,652,528,699
415,516,527,705
362,615,450,694
437,637,500,653
441,539,459,703
440,524,483,644
426,607,395,576
276,511,520,636
408,576,438,707
427,663,509,656
330,514,476,646
355,538,464,551
350,443,564,542
269,485,553,540
416,386,651,592
417,432,505,373
368,454,496,495
430,387,475,563
490,397,620,511
396,294,575,581
444,406,612,510
594,453,644,488
585,402,699,500
517,391,810,567
610,491,696,613
654,395,926,603
721,340,908,541
747,455,946,667
932,526,930,581
938,481,1167,583
804,504,1098,619
1012,514,1152,558
979,498,1162,587
1143,532,1265,576
1128,477,1378,613
1070,525,1292,571
1178,481,1334,605
1085,466,1309,526
1262,551,1389,549
1197,485,1449,623
1175,503,1333,580
1205,448,1333,533
1201,429,1268,554
1198,379,1312,496
1022,460,1207,533
960,349,1325,581
891,353,1155,497
982,403,1088,506
953,347,1017,462
780,335,872,496
879,257,859,522
694,295,822,455
632,329,906,475
569,395,653,459
547,368,671,466
552,391,662,409
410,427,588,508
394,374,540,459
418,296,631,545
409,331,516,452
424,419,484,544
367,354,616,520
363,308,513,419
345,327,461,507
355,333,489,460
321,318,503,496
351,377,551,412
369,429,473,473
315,325,529,577
358,401,427,488
356,445,451,580
367,401,513,406
299,388,489,539
359,445,399,457
295,608,361,484
319,510,392,575
338,443,345,591
335,460,422,540
340,454,373,523
306,429,484,521
312,387,431,580
303,444,383,459
332,507,408,640
301,519,397,652
314,482,376,635
279,462,402,611
332,596,432,578
276,522,329,584
282,496,396,545
269,633,353,551
384,536,407,681
295,559,364,595
272,470,335,537
257,556,297,678
320,486,376,588
278,456,296,725
289,565,356,621
248,515,333,637
205,513,296,462
245,420,369,576
282,416,366,496
280,468,385,413
246,395,359,584
290,449,317,540
228,385,383,472
265,360,404,444
248,447,369,436
354,402,420,511
344,370,345,500
272,366,430,511
314,444,429,507
305,488,388,551
346,386,363,431
346,489,439,498
374,390,419,528
347,491,457,503
377,460,442,698
435,593,463,655
434,676,586,798
469,670,560,786
525,858,583,955
527,792,798,921
559,1076,753,1016
803,1010,621,1141
591,1124,714,1054
739,1271,937,1226
739,1219,874,1322
865,1412,959,1301
923,1511,1097,1596
879,1480,1013,1514
975,1479,1208,1399
959,1499,1072,1444
989,1517,1307,1607
1118,1646,1301,1758
1061,1429,1250,1539
1045,1696,1190,1373
961,1734,1142,1625
971,1598,1106,1629
1079,1415,1154,1437
807,1287,1145,1399
799,1434,1006,1536
678,1252,935,1455
695,1197,947,1277
570,1144,927,1197
580,1151,785,1215
553,1063,950,1203
448,1017,732,1184
505,1039,869,1131
490,1075,638,1084
361,1110,707,1078
358,975,691,1164
373,939,687,991
348,910,741,1179
269,841,704,1152
342,1020,689,1187
278,967,721,1130
310,971,714,1142
381,1005,715,1009
409,1157,650,977
361,1046,716,1173
310,800,904,1085
417,990,787,1134
363,782,722,1088
351,1030,808,1134
340,978,742,1013
411,938,874,1267
425,844,786,1048
456,1009,715,1105
431,947,814,1046
452,942,762,1204
575,906,851,1073
484,908,882,1035
500,1016,846,1107
499,876,874,1028
463,858,840,1019
512,951,792,1006
427,963,882,1010
534,941,843,1022
472,963,766,1198
562,969,799,1142
667,889,875,1076
590,999,844,1166
630,1028,929,1000
677,1182,914,992
780,1195,1111,1063
884,1123,1115,1258
833,1237,1070,1146
898,1048,1193,1187
1144,1106,1257,1176
1171,1225,1190,1298
1374,1303,1340,1358
1512,1322,1652,1363
1639,1346,1496,1370
1653,1342,1612,1307
1930,1431,1844,1344
2225,1426,2116,1360
2105,1547,2155,1245
2289,1414,2199,1406
2785,1434,2390,1338
2745,1401,2553,1398
2767,1397,2647,1212
3004,1305,2605,1372
3023,1259,2937,1226
2979,1241,2973,1295
2827,1288,2657,1284
2949,1209,2976,1152
2697,1022,2754,1130
3111,1048,2706,1243
2778,1169,2616,1113
2450,917,2452,999
2674,1038,2016,1030
2364,961,2389,962
2370,920,2180,878
1998,758,1904,816
1829,752,1700,735
1628,727,1650,761
1498,530,1531,723
1182,652,1241,661
1105,550,1122,642
938,618,993,515
788,478,806,588
739,553,824,625
778,511,769,686
599,513,574,580
464,479,651,568
371,581,550,561
491,553,501,612
411,604,487,629
401,610,482,550
445,571,373,598
351,493,480,608
466,578,442,552
350,583,443,551
436,552,473,621
437,556,457,637
459,528,497,644
383,529,520,477
457,615,550,543
621,528,600,599
649,432,666,676
635,639,580,587
683,579,665,465
673,697,785,673
912,577,781,668
925,540,1017,650
1026,484,1213,667
1231,599,995,570
1041,640,1231,688
1326,536,1373,668
1271,569,1373,723
1625,728,1498,780
1661,707,1600,635
1747,762,1602,727
1834,706,1834,619
1778,737,1671,755
2040,798,1792,847
2265,774,1917,1007
2065,744,2014,799
2105,871,2034,769
2121,921,1811,897
2267,976,1880,955
2161,873,1971,865
2247,809,1914,914
1998,1054,1911,774
2170,1087,1812,819
1699,949,1734,890
1881,834,1679,752
1645,1032,1639,915
1374,812,1474,977
1340,921,1267,895
1237,795,1179,926
1002,884,1136,977
1006,876,952,1020
951,1001,1036,934
850,1222,900,1321
742,1370,722,1240
577,1611,783,1524
755,1892,760,2083
780,2213,669,2428
691,2938,703,2857
608,3555,752,3556
826,4579,650,4218
682,5203,737,4627
702,6345,742,5337
710,6890,674,6675
591,7892,758,7038
716,8642,752,7814
683,8969,655,8561
683,9584,711,9325
726,10433,693,9567
689,10558,817,10110
703,11054,833,10637
680,11340,828,11340
674,11509,680,11850
560,11933,753,11648
606,11510,627,11650
666,11787,692,11500
607,11368,667,11548
589,11336,570,10675
641,10794,620,10105
533,10501,640,10207
645,9603,624,9553
543,9593,680,8449
670,8387,539,7935
741,7790,638,7416
725,6748,745,6589
652,5904,645,5475
661,5055,699,5108
707,4683,652,4156
655,3617,646,3783
782,3262,661,3282
745,2975,726,2602
796,2363,809,2413
885,2369,782,2130
853,2091,819,1982
1006,1967,1058,1904
909,1793,1033,2075
1213,1636,1121,1728
1074,1863,947,1736
1227,1761,1156,1581
1489,1844,1163,1841
1355,1879,1337,1848
1545,1990,1197,1953
1446,2217,1508,1976
1631,2212,1489,2275
1505,2023,1434,2126
1580,2287,1429,2372
1562,2322,1376,2461
1544,2429,1638,2378
1654,2584,1533,2324
1554,2262,1678,2616
1712,2560,1614,2736
1698,2876,1549,2790
1648,2678,1522,2778
1653,2809,1574,2728
1482,2726,1631,2807
1554,2746,1485,2619
1511,2844,1405,2918
1349,2908,1362,2831
1260,2907,1488,2755
1325,2657,1412,2493
1414,2522,1390,2702
1231,2221,1389,2311
1143,2369,1320,2387
1338,2057,1316,2137
1221,1974,1184,2139
1083,2019,1258,1865
1198,2068,1237,1958
1085,1834,1154,1970
1095,1951,1258,2120
1235,1846,1340,2043
1276,1968,1320,1890
1472,2021,1367,2090
1447,2015,1355,2024
1564,2064,1638,2230
1559,2199,1664,2083
1681,2339,1660,2181
1871,2305,2027,2311
2100,2293,2111,2653
2355,2619,2059,2433
2193,2508,2354,2609
2533,2580,2676,2653
2563,2542,2719,2798
2812,2977,2907,3127
2894,3181,3001,2961
3218,3152,3124,3071
3323,3397,3363,3460
3211,3478,3276,3677
3653,3846,3388,3622
3707,4402,3512,4481
3715,4788,3721,5207
3772,5225,3863,5465
3909,6082,3919,6590
4166,6957,3968,7234
4158,8178,3944,8498
4159,9221,4176,9105
4494,10424,4178,10454
4547,12376,4121,11801
4534,13526,4229,13267
4340,14748,4153,14349
3963,16094,4004,14902
4156,17256,3917,16172
3891,17712,3871,16904
3738,19184,3665,18728
3415,20136,3587,19448
3253,21168,3059,19384
3120,22136,3247,20672
2973,22856,2890,20768
2889,23256,2788,21456
2677,23264,2367,21456
2469,22968,2561,21128
2279,22328,2326,20288
2277,21736,2158,19392
2041,20576,2248,18400
1955,19608,1893,17712
1872,17976,1842,16856
1593,16367,1902,15485
1392,14624,1771,13345
1246,12623,1285,11171
1033,10198,1049,8643
749,6993,713,6392
602,5178,548,4403
555,3603,471,3297
463,2659,505,2427
442,2253,388,2246
444,2073,481,1765
465,1614,545,1733
522,1339,485,1741
487,1554,511,1524
424,1527,500,1494
426,1641,379,1692
500,1680,513,1692
530,1562,464,1581
490,1533,598,1711
506,1564,493,1798
425,1715,529,1723
449,1788,507,1876
440,2181,508,2156
470,2237,543,2066
527,2227,459,2646
423,2677,500,2539
478,2822,470,3145
517,3136,624,3195
601,3542,725,3202
796,3592,815,3680
794,4034,879,3838
1025,3885,1300,3954
1374,3550,1374,3595
1687,3864,2123,3849
1925,3727,2224,3707
2251,3678,2511,3538
2484,3299,2987,3442
2844,3039,3055,3203
2979,2663,3474,3141
2752,2714,3200,2695
2868,2353,2849,2426
2557,2144,2618,2241
2270,2009,2323,2138
2153,1674,2170,1931
1823,1707,1801,1955
1624,1686,1678,1951
1385,1869,1410,2081
1388,1878,1238,2124
1320,1928,1486,2429
1204,1948,1425,2329
1264,2211,1173,2660
1039,2165,1386,2332
1196,2243,1236,2312
985,2314,1158,2381
1022,2100,1032,2055
