Counts-435,Counts-436,Counts-435,Counts-436
72,67,198,153
69,78,124,121
68,80,163,143
58,58,161,78
87,93,231,131
67,86,144,126
54,92,150,174
67,96,157,108
86,74,182,143
78,91,158,124
73,69,188,124
92,80,166,106
76,90,154,103
87,56,154,136
65,91,167,130
76,72,156,124
62,74,125,106
73,80,135,88
78,63,153,128
95,83,137,116
70,68,171,93
63,68,145,91
85,75,178,142
68,93,144,111
47,60,176,105
54,66,213,93
60,61,203,81
57,63,153,113
61,81,135,98
78,95,145,95
59,67,141,111
84,94,94,99
65,77,136,90
70,82,124,150
64,71,202,123
70,76,143,73
41,70,133,97
64,87,123,78
67,80,161,80
69,68,112,96
53,78,154,117
55,66,214,94
60,61,145,82
53,54,119,75
56,88,114,92
74,69,112,92
63,66,152,75
72,81,138,78
62,72,133,107
64,61,165,83
66,56,133,79
57,50,136,97
49,80,128,82
61,69,137,113
77,82,105,72
72,60,136,74
49,61,119,80
63,65,161,92
93,62,114,70
53,59,110,110
59,83,104,83
86,74,116,113
64,49,157,78
65,78,111,99
54,53,114,77
102,87,99,79
56,74,108,79
55,73,92,78
67,73,101,112
63,65,119,100
69,96,105,101
54,48,117,65
94,62,133,94
63,58,141,94
90,76,98,106
61,77,158,106
87,65,109,99
60,68,124,53
97,82,124,86
89,61,114,81
96,51,151,86
81,69,138,82
130,69,142,72
83,88,177,107
103,65,208,122
110,80,158,99
100,71,155,62
92,75,190,87
130,66,134,94
101,72,128,69
152,90,206,71
118,115,207,89
96,116,220,112
144,119,154,79
129,62,184,84
139,68,230,73
107,70,115,84
70,75,192,78
106,90,247,123
123,99,184,107
123,101,227,109
102,73,145,64
146,67,159,110
121,69,227,89
98,86,171,76
117,82,188,96
115,72,147,91
91,67,158,97
131,89,168,100
92,82,124,100
99,95,140,64
107,89,168,78
119,69,106,73
65,73,154,89
81,76,164,89
97,68,141,120
80,71,109,123
87,58,168,90
75,86,135,84
73,107,157,108
97,74,114,111
86,59,151,95
84,92,110,95
86,83,100,83
117,59,95,65
78,67,140,79
75,83,132,75
78,92,107,70
65,67,115,75
97,68,71,112
66,79,99,87
78,83,99,95
76,66,106,56
54,65,117,76
57,65,95,82
72,77,142,88
68,82,141,99
67,96,108,102
61,69,99,97
50,64,105,67
104,59,115,87
74,63,106,66
58,83,138,92
79,73,108,84
70,49,123,55
78,59,131,80
85,83,84,64
98,65,137,99
45,68,111,70
90,66,115,81
67,70,90,60
82,60,116,92
66,68,134,74
80,68,103,73
82,70,134,79
112,59,119,88
110,69,127,102
80,79,131,86
80,87,147,83
96,80,124,70
89,63,136,70
104,75,132,101
100,81,134,81
114,99,149,58
71,59,121,95
103,80,139,96
81,67,142,50
117,83,154,74
128,80,162,115
115,96,120,85
95,86,132,85
103,90,146,68
65,85,169,74
70,70,176,110
79,99,201,64
109,60,162,97
83,87,139,68
96,63,159,65
89,81,125,62
82,76,129,81
75,67,130,99
88,72,118,102
83,57,117,66
62,67,118,66
101,76,129,78
67,65,98,82
94,69,109,89
63,60,127,81
72,56,98,77
77,58,103,120
61,53,114,78
81,47,108,75
60,63,116,76
67,59,84,70
65,86,97,59
50,63,107,91
54,70,103,89
57,76,139,85
58,65,118,71
67,64,104,73
88,54,101,77
69,69,129,67
71,95,84,76
63,82,96,121
77,69,92,73
74,74,100,83
54,56,65,88
77,67,79,80
62,82,90,87
76,86,117,72
56,73,88,88
68,75,114,94
77,74,92,82
73,89,111,87
73,51,98,98
54,71,88,68
69,67,98,90
62,92,105,67
69,65,101,62
76,76,92,86
70,88,108,99
62,59,76,71
58,64,105,83
62,85,71,72
58,93,130,65
69,95,102,81
63,82,122,69
77,60,101,94
60,66,132,73
94,77,118,75
55,57,131,106
60,81,81,73
63,92,104,81
62,58,83,79
106,91,84,67
86,54,76,78
69,53,89,70
85,63,85,106
66,65,109,54
61,69,83,68
73,76,92,75
75,67,115,76
59,64,70,76
86,83,95,86
90,71,65,66
71,55,124,68
62,74,124,56
75,52,85,69
71,73,114,84
54,74,126,96
86,66,124,51
82,74,119,82
62,72,112,61
80,76,89,88
69,84,95,71
81,67,165,78
86,85,126,97
75,75,129,84
72,89,145,89
84,76,131,78
100,72,145,80
75,84,95,74
77,70,150,86
92,70,100,82
100,64,123,109
73,68,135,128
99,92,136,69
78,83,110,60
101,56,135,101
100,85,125,89
66,55,162,82
115,76,169,93
59,92,156,98
78,70,109,93
87,69,125,103
61,63,89,109
74,51,139,64
72,94,134,73
97,55,116,84
80,81,161,104
75,66,112,89
86,59,110,85
81,67,143,77
76,64,110,114
81,58,127,108
55,75,113,94
72,87,74,89
53,76,138,104
82,61,127,78
69,68,150,98
80,88,143,93
75,114,129,83
59,74,162,97
77,84,68,90
75,76,176,88
94,84,91,106
53,70,102,100
90,53,138,103
93,74,119,82
89,108,148,73
91,50,143,76
84,79,113,96
80,80,91,120
77,105,131,94
95,80,162,77
55,71,154,110
64,98,149,97
67,86,111,127
99,91,142,106
64,69,163,87
113,101,125,81
101,93,170,102
123,89,157,88
138,62,132,106
129,114,169,75
130,102,161,104
161,65,208,84
199,90,164,88
161,75,239,120
176,94,262,107
260,74,223,95
171,86,225,89
263,69,285,137
227,103,241,112
203,88,277,137
246,95,273,116
245,82,310,105
280,95,284,114
297,101,337,122
273,100,302,142
200,113,349,154
290,78,313,157
246,95,338,114
184,82,285,103
179,102,369,82
260,95,308,100
312,66,360,126
204,117,306,94
220,131,323,108
230,64,274,127
185,77,321,104
246,103,338,99
241,81,282,115
156,76,320,102
181,80,283,114
249,101,289,95
171,73,305,142
166,60,196,109
263,103,281,114
164,72,305,79
166,80,296,123
160,92,248,83
162,85,183,103
114,105,230,99
157,87,175,116
143,77,223,118
84,101,189,135
106,82,177,106
122,73,174,104
101,80,190,84
121,69,156,94
159,90,260,92
106,69,182,77
100,67,135,93
90,79,156,110
81,54,149,73
86,82,188,71
86,91,169,93
115,92,202,92
71,69,169,89
76,73,179,90
94,87,168,86
94,48,190,87
79,87,202,76
117,75,157,84
96,91,172,105
112,116,167,102
95,72,149,82
73,95,152,121
109,61,128,93
84,52,184,87
112,72,182,84
116,91,169,106
66,66,144,75
135,77,157,88
102,67,212,98
98,76,107,97
131,69,251,81
140,59,171,83
96,60,159,100
128,78,233,87
152,69,122,103
113,87,154,116
132,44,212,93
142,65,125,91
133,75,208,76
142,164,163,101
144,81,162,87
117,92,183,88
153,104,207,88
129,102,170,94
140,78,154,98
136,65,181,92
164,111,209,150
141,86,205,94
174,95,211,116
156,116,205,119
182,137,184,164
138,129,172,147
259,184,201,216
126,214,237,173
158,187,204,139
139,259,219,190
136,367,203,238
126,218,150,217
153,324,227,330
159,376,182,309
101,412,203,345
157,438,216,390
109,421,160,405
103,493,126,497
115,485,144,465
86,540,151,439
90,575,141,412
86,589,150,536
68,540,149,560
71,548,135,476
105,593,143,459
103,476,90,566
72,597,129,465
70,366,112,501
96,413,103,492
77,480,131,381
106,460,103,382
77,342,173,396
83,335,98,355
62,295,147,380
96,333,109,369
64,254,134,267
84,222,125,289
68,324,136,294
61,201,114,297
104,247,115,289
63,232,130,222
63,209,82,234
91,251,112,261
