Counts-435,Counts-436,Counts-435,Counts-436
249,382,329,505
165,324,296,427
248,373,235,552
241,305,284,441
184,352,279,500
186,317,324,422
278,265,221,400
193,267,311,427
271,286,293,389
160,240,329,340
167,307,267,296
241,274,309,431
216,267,232,387
200,268,341,340
260,233,277,308
244,288,337,386
202,242,348,290
315,224,443,342
210,261,366,293
247,170,327,332
273,249,389,337
264,234,322,309
271,277,294,295
256,206,306,291
340,242,293,311
300,314,374,398
329,275,413,293
287,258,464,374
238,328,400,328
237,244,451,346
377,281,406,425
303,280,367,386
291,223,368,306
368,354,440,408
363,269,450,402
309,330,513,339
384,342,513,434
364,249,440,422
290,356,349,420
393,325,474,398
359,239,506,465
339,351,363,367
385,288,519,366
365,348,407,398
354,245,515,350
282,257,396,386
341,201,394,394
324,263,404,292
348,241,373,427
320,228,391,401
290,285,487,349
329,267,466,354
246,226,369,320
296,296,402,341
308,255,365,344
320,345,361,413
281,222,414,380
222,210,433,270
276,271,389,313
290,274,298,310
297,264,354,384
267,267,333,243
271,229,251,313
222,258,301,298
243,190,375,293
226,218,272,287
219,234,289,365
202,229,253,258
165,250,292,308
155,208,337,356
158,261,295,314
287,224,357,322
201,180,350,406
226,202,259,327
224,237,269,458
251,248,292,252
233,230,283,481
209,299,256,329
185,259,273,365
281,248,334,290
182,272,312,407
256,278,308,332
256,266,253,336
226,236,289,306
232,250,305,279
230,295,307,339
213,258,280,307
230,267,227,398
234,315,321,432
238,287,322,365
252,319,259,401
232,316,338,366
228,236,251,435
172,310,297,348
172,322,274,363
168,317,270,347
245,245,225,359
207,305,261,294
204,283,316,313
135,302,318,346
192,248,250,316
182,341,318,333
170,235,252,343
222,271,314,303
177,279,224,341
181,318,283,328
193,277,262,321
166,248,235,349
175,273,239,267
194,294,246,376
266,345,281,397
190,262,253,352
259,256,283,345
251,258,241,372
223,323,333,351
214,301,220,451
202,300,286,400
228,314,347,334
182,322,254,392
187,321,269,408
220,298,315,357
251,322,225,382
241,313,300,294
240,323,298,330
215,257,252,368
254,324,304,340
202,280,318,329
235,328,351,399
220,292,348,395
242,247,216,260
264,360,285,415
227,360,347,371
242,229,296,321
184,264,261,389
266,277,285,340
220,253,284,279
212,259,233,289
273,302,352,301
232,239,353,321
208,305,272,288
231,236,315,270
241,262,259,291
221,289,278,279
241,232,252,314
221,243,311,339
238,225,346,293
163,258,339,345
229,326,284,358
204,277,295,310
238,243,285,323
235,331,331,305
293,322,320,379
213,220,327,350
215,271,274,374
258,273,293,313
252,270,268,382
295,240,387,279
258,289,310,347
201,266,308,250
222,319,338,382
257,269,330,335
233,331,393,368
252,336,264,342
231,320,330,400
280,310,370,391
279,327,387,348
219,288,357,448
270,373,330,453
227,346,293,370
238,300,324,415
281,351,360,500
247,368,282,410
241,346,327,455
246,359,304,448
220,350,363,387
286,364,349,489
262,405,263,460
322,391,398,509
323,364,326,442
318,410,424,549
195,390,278,402
258,378,405,382
225,442,303,505
234,444,348,399
238,499,345,394
203,341,377,418
212,318,288,514
238,430,339,366
247,318,345,472
335,352,263,447
324,418,353,409
244,261,327,423
236,365,271,384
212,343,304,398
181,341,292,398
252,364,286,348
219,215,328,390
192,329,326,402
231,253,340,322
215,322,291,316
218,237,303,292
202,328,282,372
190,267,339,283
334,272,313,381
332,217,336,330
280,273,338,350
252,260,328,364
257,303,378,357
271,358,306,442
278,321,322,328
274,305,390,470
247,365,417,372
355,355,316,432
326,323,323,408
276,408,367,384
383,367,382,399
358,361,359,431
267,379,375,383
302,429,389,454
344,453,374,523
305,395,415,517
326,316,329,427
267,359,308,370
370,407,288,497
286,339,289,466
258,405,311,354
