Counts-435,Counts-436,Counts-435,Counts-436
1205,1114,1394,1725
1267,1246,1679,1510
1476,1066,1407,1366
1616,972,1868,1414
1495,1033,1967,1357
1801,936,2147,1466
1882,1060,2207,1436
2147,1147,2347,1422
2484,1043,2684,1363
2458,996,2807,1529
2639,1007,3046,1296
3063,1010,3402,1399
3117,920,3564,1341
3542,891,4002,1381
3701,1104,4008,1306
4006,1038,4561,1622
4156,1190,4607,1391
4198,1129,5229,1736
4846,1103,5338,1564
5262,1242,5829,1472
5455,1226,5611,1563
5492,1115,6120,1682
6139,1235,7127,1634
6627,1342,6944,1749
6885,1397,7093,1630
7015,1609,7566,1800
7515,1461,7994,1742
7925,1407,7987,1826
8346,1385,8830,1893
8785,1534,9311,1980
8842,1755,9285,2060
9107,1762,9650,2015
9619,1810,10179,1880
10090,1504,10010,2131
9711,1528,10252,1917
9976,1829,9859,1985
9708,1691,10366,2140
10093,1620,10302,1961
9856,1715,10079,1954
9472,1684,9764,1945
9624,1651,10019,1846
9625,1779,9125,1938
8868,1652,8772,2150
8349,1578,8585,1764
8049,1547,8276,1712
7651,1567,7961,1647
6862,1319,7838,1493
6668,1345,7351,1505
6137,1360,6884,1541
6582,1287,6338,1541
5902,1136,6429,1718
5369,1132,5769,1424
5216,1202,5998,1569
4884,1135,5388,1447
4973,1172,4831,1548
3889,1176,4837,1419
4483,1257,4574,1575
3965,1214,4461,1372
3901,1258,4529,1451
3319,1218,3955,1455
3290,1271,3675,1421
2928,1089,3176,1499
2906,988,3306,1430
2690,1224,2683,1596
2507,1252,2682,1506
2391,1232,2504,1619
2160,1111,2568,1624
1980,1237,2198,1467
1983,1260,1979,1431
1939,1182,1914,1496
1613,1396,1830,1731
1696,1298,1821,1727
1520,1195,1708,1599
1346,1231,1729,1608
1408,1397,1701,1570
1273,1201,1581,1584
1441,1240,1478,1608
1247,1186,1491,1563
1607,1344,1703,1419
1484,1138,1606,1371
1387,1173,1480,1379
1338,1117,1556,1467
1256,1206,1516,1651
1239,1259,1490,1309
1283,1433,1560,1512
1420,1185,1589,1451
1689,1121,1713,1481
1423,1089,1797,1377
1687,1166,1986,1334
1769,1100,2034,1473
1839,1227,2233,1472
2037,1195,2184,1558
2074,1153,2358,1565
2648,1211,2668,1382
2727,1153,2860,1466
2796,1267,3187,1557
3371,1238,3676,1719
3390,1311,4343,1570
4035,1309,4169,1603
4075,1168,4862,1484
4789,1413,5462,1635
4756,1338,5431,1698
4983,1281,5775,1770
5809,1368,6348,1932
6157,1671,6036,1694
5924,1504,6552,1979
5980,1671,6482,1795
6322,1615,6671,1945
6485,1431,6917,1838
6747,1503,7064,1779
6627,1573,6733,1891
7131,1536,7028,1747
6417,1738,6916,1789
6743,1691,6426,1822
6444,1452,6467,1665
5949,1539,6033,1693
5804,1438,6337,1605
5688,1206,5857,1506
5314,1300,5537,1621
5098,1279,5467,1530
4729,1306,5249,1394
4009,1197,5145,1550
4317,1139,4125,1350
3701,990,4290,1289
3435,1081,3853,1080
3361,976,3424,1357
2880,1113,3141,1190
2916,903,2897,1425
2664,893,2551,1105
2411,879,2173,1027
2145,796,2050,1198
1661,770,1870,993
1490,842,1822,1093
1474,659,1640,1141
1195,732,1539,1121
1221,804,1472,902
1059,738,1266,1055
1069,652,1326,989
1112,772,1463,924
1000,789,1073,1033
1169,732,1111,1057
899,692,1183,1023
879,758,1233,889
947,765,1177,1029
827,634,1102,991
882,754,1078,1082
781,603,1174,1006
846,755,1239,959
773,851,1243,967
802,782,1133,1109
806,764,1069,904
774,829,1177,1053
830,846,1114,931
815,971,1236,1155
746,935,1135,1221
938,791,1334,1126
865,914,1088,1083
805,794,1353,1103
884,758,1289,1172
1000,975,1269,1129
870,780,1256,1081
747,784,1168,1144
943,911,1319,1149
936,943,1377,1323
887,931,1310,1084
881,974,1353,1171
919,1018,1228,1128
884,990,1216,1155
990,909,1418,1028
875,949,1491,1197
945,989,1424,1175
1120,793,1462,1078
890,985,1371,1231
1036,771,1408,938
929,911,1324,1243
1008,939,1441,1176
1004,870,1470,1089
952,854,1287,1198
874,752,1439,1138
949,884,1603,1234
1103,760,1474,1088
1224,653,1501,1068
1061,714,1243,952
1099,729,1368,1287
1011,773,1487,944
899,789,1281,1094
983,880,1534,1271
942,972,1416,1057
1058,936,1434,1408
1272,1109,1526,1452
1282,1250,1525,1504
1235,1326,1640,1614
1350,1546,1705,1812
1502,1718,2047,2118
1702,1856,1900,2070
1959,2106,2184,2564
1915,2407,2541,2561
2330,2339,2398,2726
2547,2872,2640,2785
2613,2879,2651,2907
2911,3102,2943,3150
2619,3091,3064,3703
2926,2795,3518,3427
3240,3290,3470,3327
3229,3284,3559,3744
3062,3298,3679,3540
3609,3391,3804,3560
3547,3381,3775,4108
3620,3587,4068,3602
3610,3418,3691,3905
3423,3137,3803,3843
3674,3141,3984,3715
3447,3256,3811,3786
3608,3290,3758,3572
3560,2970,3672,3834
3321,2908,3481,3615
3243,2945,3257,3549
2649,3037,3312,3596
2767,2999,2645,2991
2501,2615,2826,3077
2410,2515,2359,2973
1957,2333,2285,2922
1798,2345,2235,2561
1769,2352,1759,2859
1559,2464,1986,2548
1265,1864,1609,2552
1359,2072,1454,2477
1215,2111,1555,2413
1060,1944,1439,2635
1135,2211,1161,2452
1105,2064,1348,2363
985,1991,1378,2412
1072,2181,1258,2247
1128,1918,1304,2597
1221,2142,1353,2092
1210,2147,1454,2311
1385,1914,1469,2494
1529,2060,1496,2507
1334,1996,1611,2514
1349,2134,1754,2299
1648,2244,1634,2442
1525,2175,1844,2781
1481,2011,1635,2587
1390,2053,1674,2556
1495,2472,1735,2540
1403,2011,1766,2552
1450,2205,1719,2422
1330,1976,1641,2788
1554,2351,1664,2687
1569,2205,1746,2630
1710,2377,1709,2745
1770,2586,1796,2780
1709,2241,2023,2573
1880,2162,2040,2859
2029,2312,2239,2756
2129,2589,2453,2759
2441,2511,2814,2956
2725,2676,2974,2820
2955,2573,2977,3305
3364,2757,3600,3017
3785,2597,4133,3181
4467,2775,4511,3223
4971,3135,5359,3604
5572,3166,5659,3672
6253,2979,6409,3799
6778,3378,7492,3845
7228,3821,7904,4165
8039,3513,8648,4219
8713,3375,9459,4492
9582,3954,10636,4367
10043,3983,11589,5039
11318,4241,12304,4545
12500,4231,13096,4621
13354,3896,13998,4604
13855,4456,13633,4420
14852,4347,14292,4343
14342,4282,14706,4681
15484,4048,14779,4377
15775,4021,15706,4344
14753,3845,14982,4245
14890,3870,14364,4425
13809,3688,14630,3839
13421,3650,13901,3559
12936,3244,13206,3290
11935,2824,13508,3094
11412,3002,12969,3329
11364,2680,11497,3223
10162,2549,10752,3135
9676,2555,10163,2719
8521,2030,9067,2579
8028,2038,7968,2252
7109,1923,7466,2289
6567,1804,6573,1983
5564,1915,6252,1906
5059,1597,5649,1704
4380,1375,4690,1704
3871,1380,4578,1769
3595,1426,3637,1630
2983,1206,3296,1776
2374,1296,2761,1521
2213,1271,2645,1624
1809,1339,2074,1535
1876,1327,1945,1518
1693,1301,1791,1691
1686,1090,1934,1648
1370,1426,1705,1724
1475,1329,1751,1579
