Filename,ID,Weeks
Lung_Wash_CD21_1.csv,CTRL,
Lung_Wash_CD21_2.csv,CTRL,
Lung_Wash_CD21_3.csv,CTRL,
Lung_Wash_CD21_4.csv,CTRL,
Lung_Wash_CD21_5.csv,354 T=4,4
Lung_Wash_CD21_6.csv,367 T=4,4
Lung_Wash_CD21_7.csv,368 T=4,4
Lung_Wash_CD21_8.csv,355 T=6,6
Lung_Wash_CD21_9.csv,369 T=6,6
Lung_Wash_CD21_10.csv,334 T=8,8
Lung_Wash_CD21_11.csv,335 T=8,8
Lung_Wash_CD21_12.csv,394 T=8,8
Lung_Wash_CD21_13.csv,372 T=10,10
Lung_Wash_CD21_14.csv,378 T=10,10
Lung_Wash_CD21_15.csv,379 T=10,10
Lung_Wash_CD21_16.csv,352 T=12,12
Lung_Wash_CD21_17.csv,384 T=12,12
Lung_Wash_CD21_18.csv,285 T=14,14
Lung_Wash_CD21_19.csv,306 T=14,14
Lung_Wash_CD21_20.csv,307 T=14,14
Lung_Wash_CD21_21.csv,CTRL,
Lung_Wash_CD21_22.csv,CTRL,
Lung_Wash_CD21_23.csv,CTRL,
Lung_Wash_CD21_24.csv,CTRL,
