Filename,ID,Weeks
Mes_LN_CD14_1.csv,CTRL,
Mes_LN_CD14_2.csv,CTRL,
Mes_LN_CD14_3.csv,CTRL,
Mes_LN_CD14_4.csv,CTRL,
Mes_LN_CD14_5.csv,215 T=4,4
Mes_LN_CD14_6.csv,216 T=4,4
Mes_LN_CD14_7.csv,119 T=6,6
Mes_LN_CD14_8.csv,120 T=6,6
Mes_LN_CD14_9.csv,225 T=6,6
Mes_LN_CD14_10.csv,154 T=8,8
Mes_LN_CD14_11.csv,155 T=8,8
Mes_LN_CD14_12.csv,115 T=10,10
Mes_LN_CD14_13.csv,116 T=10,10
Mes_LN_CD14_14.csv,158 T=10,10
Mes_LN_CD14_15.csv,125 T=12,12
Mes_LN_CD14_16.csv,141 T=12,12
Mes_LN_CD14_17.csv,169 T=12,12
Mes_LN_CD14_18.csv,126 T=14,14
Mes_LN_CD14_19.csv,142 T=14,14
Mes_LN_CD14_20.csv,170 T=14,14
Mes_LN_CD14_21.csv,351 T=2,2
Mes_LN_CD14_22.csv,383 T=2,2
Mes_LN_CD14_23.csv,395 T=2,2
Mes_LN_CD14_24.csv,354 T=4,4
Mes_LN_CD14_25.csv,367 T=4,4
Mes_LN_CD14_26.csv,368 T=4,4
Mes_LN_CD14_27.csv,355 T=6,6
Mes_LN_CD14_28.csv,369 T=6,6
Mes_LN_CD14_29.csv,371 T=6,6
Mes_LN_CD14_30.csv,334 T=8,8
Mes_LN_CD14_31.csv,335 T=8,8
Mes_LN_CD14_32.csv,394 T=8,8
Mes_LN_CD14_33.csv,372 T=10,10
Mes_LN_CD14_34.csv,378 T=10,10
Mes_LN_CD14_35.csv,379 T=10,10
Mes_LN_CD14_36.csv,352 T=12,12
Mes_LN_CD14_37.csv,384 T=12,12
Mes_LN_CD14_38.csv,285 T=14,14
Mes_LN_CD14_39.csv,306 T=14,14
Mes_LN_CD14_40.csv,307 T=14,14
Mes_LN_CD14_41.csv,CTRL,
Mes_LN_CD14_42.csv,CTRL,
Mes_LN_CD14_43.csv,CTRL,
Mes_LN_CD14_44.csv,CTRL,
