Counts-435,Counts-436,Counts-435,Counts-436
158,194,211,203
98,141,149,270
129,145,121,270
176,208,135,188
119,195,165,169
156,121,168,181
137,139,199,200
172,132,147,200
131,174,160,248
118,155,189,148
187,183,202,179
185,149,210,163
149,148,201,176
153,165,166,184
155,115,207,184
197,150,169,195
132,208,196,126
175,183,200,180
119,159,173,187
158,179,241,188
198,159,149,203
189,159,187,211
178,184,240,222
173,151,211,180
218,128,227,183
174,152,154,137
194,182,230,225
193,151,263,177
214,161,184,228
182,175,271,175
216,119,213,215
211,170,210,207
187,186,187,156
162,118,213,218
183,202,247,217
140,141,177,159
192,172,207,174
153,125,260,210
157,146,190,133
179,172,167,141
187,117,241,208
189,158,242,123
167,119,195,179
148,140,240,237
218,120,167,149
161,169,191,196
165,157,177,156
122,166,162,184
182,199,165,193
111,165,200,224
183,158,204,152
163,153,174,202
198,159,146,170
158,168,170,164
140,101,225,226
154,103,159,149
155,118,201,169
154,187,124,150
179,131,152,121
104,194,151,194
116,89,158,165
139,158,205,130
125,160,201,138
187,171,178,140
166,112,192,144
100,117,140,194
121,116,180,189
164,131,181,191
162,172,149,185
159,174,205,182
163,150,150,237
179,139,229,180
174,140,202,144
119,115,242,217
116,128,156,147
177,148,144,187
153,89,230,199
168,150,189,232
158,126,180,188
193,216,199,116
147,104,157,206
135,160,181,168
180,103,143,161
147,150,119,172
103,104,103,173
180,212,152,217
152,163,128,163
162,134,142,165
137,161,164,163
123,133,180,172
105,143,132,146
118,168,117,173
120,141,195,162
110,163,146,214
83,149,94,156
133,141,98,192
138,176,101,148
116,125,176,173
152,162,89,154
103,187,144,155
161,131,145,136
121,120,139,178
113,131,105,193
155,147,130,177
122,164,149,184
132,136,127,190
102,143,109,151
112,175,166,172
115,160,150,204
99,176,138,162
114,159,184,159
117,141,205,195
119,163,142,160
160,203,163,190
128,190,135,216
126,193,140,216
120,169,171,206
102,84,174,156
153,206,196,191
162,189,144,229
135,219,228,158
166,235,148,183
202,122,185,219
130,200,196,215
162,151,153,183
128,127,209,122
163,140,137,197
178,204,219,211
199,115,211,189
102,137,112,220
100,170,165,217
92,149,149,171
145,137,144,125
230,175,188,170
119,151,189,144
188,162,141,173
190,139,192,190
160,138,172,145
101,149,174,181
156,179,134,128
157,209,162,142
151,118,173,134
118,176,158,156
164,183,128,216
154,150,226,134
202,184,141,190
176,150,156,170
137,140,189,166
195,148,178,163
229,216,125,170
162,187,169,294
167,155,155,182
148,160,190,165
169,174,174,242
197,176,182,208
173,173,147,245
167,161,204,193
200,181,185,228
199,174,162,261
206,233,245,235
181,169,219,211
202,224,260,249
197,154,228,152
180,188,219,180
231,283,215,226
144,175,161,218
188,199,197,234
178,209,274,245
179,187,188,268
162,239,266,220
148,237,245,197
186,191,337,265
223,197,187,244
187,198,210,216
174,223,199,261
220,198,192,190
155,161,181,236
217,206,274,296
209,262,249,247
204,215,197,293
256,187,266,237
226,188,258,248
201,188,225,289
205,181,234,176
248,268,207,192
175,133,229,205
137,156,235,253
193,149,325,219
120,204,199,153
168,178,245,221
158,173,219,160
186,176,237,165
146,148,169,206
158,181,226,248
143,156,171,193
194,166,211,245
140,153,154,263
197,144,197,263
200,181,270,221
165,191,188,246
189,210,235,275
166,152,153,221
138,174,299,191
192,268,263,260
240,202,216,250
220,239,276,223
216,259,168,280
179,264,315,182
214,253,287,307
191,305,316,287
228,330,261,363
204,309,276,344
220,265,289,365
251,316,310,308
150,315,273,281
169,203,212,331
246,276,251,342
212,231,268,338
184,315,224,234
197,226,189,343
173,285,236,228
160,297,210,195
184,241,207,302
177,287,170,264
163,195,176,279
153,184,188,380
171,200,178,217
131,212,170,281
193,166,178,214
161,160,178,202
125,230,172,231
126,179,214,179
110,197,184,197
191,159,188,282
138,245,140,244
145,163,149,202
189,202,143,237
170,149,163,213
177,230,154,214
123,177,223,202
137,239,181,296
150,173,200,332
194,241,245,260
139,212,203,296
174,240,190,248
180,201,210,276
188,295,189,297
185,275,268,314
162,261,241,285
204,294,232,329
213,290,232,368
201,289,204,328
216,237,239,267
219,271,290,283
195,309,215,359
181,323,296,361
274,276,214,333
190,350,281,419
249,255,327,281
186,345,238,305
206,367,305,315
188,259,245,254
203,290,240,312
224,228,281,330
232,226,215,254
203,204,304,242
250,225,236,280
207,247,256,330
250,247,297,290
242,219,289,223
213,216,267,285
250,226,287,301
267,233,299,260
322,263,260,272
274,266,312,276
270,229,266,277
318,252,333,255
250,241,316,284
239,269,279,287
259,279,317,307
277,210,279,305
222,234,253,263
272,264,215,318
222,230,215,306
253,257,266,213
241,218,266,306
191,238,220,247
235,305,195,227
195,165,211,267
161,199,141,198
199,168,160,262
176,210,210,240
151,174,195,211
165,208,184,201
147,163,208,184
185,138,200,160
161,156,168,221
163,147,178,137
149,162,149,218
130,233,128,162
165,171,175,181
197,135,235,175
154,172,213,196
167,154,192,203
169,152,196,199
238,173,214,159
226,201,190,182
144,195,242,261
214,219,238,227
200,172,218,195
203,169,241,218
233,178,176,225
227,167,263,215
215,146,245,210
238,167,232,191
260,154,228,196
136,142,203,189
233,177,201,210
153,139,159,249
181,142,184,244
180,171,224,224
181,176,216,182
133,170,187,216
150,167,217,136
138,171,177,197
156,147,205,176
149,198,126,153
149,138,137,192
139,121,108,200
107,147,170,174
170,134,170,185
126,137,201,181
135,124,133,204
116,142,155,186
118,191,178,158
132,172,156,189
145,159,254,211
140,146,198,168
138,180,221,169
157,147,181,174
135,117,226,190
141,207,225,257
155,198,194,226
186,148,202,289
181,176,269,247
209,236,205,204
205,261,306,175
158,182,260,252
159,223,272,213
229,245,280,253
268,262,221,220
215,242,203,226
230,208,259,210
254,300,248,352
338,250,259,260
236,357,292,307
279,328,271,298
373,326,343,359
425,443,428,391
471,496,366,499
550,419,531,544
439,649,516,484
545,694,551,518
645,806,517,787
532,766,561,700
646,945,714,844
679,849,633,897
719,973,770,976
758,1070,572,1129
543,1076,584,1046
631,979,556,1203
551,1078,588,1132
516,1054,534,1126
403,1036,615,1009
375,920,463,1095
402,1114,465,1081
354,850,413,937
280,873,364,1005
220,819,254,891
230,677,222,898
213,782,246,887
206,741,217,777
162,653,163,733
139,641,213,623
131,688,172,594
111,457,146,669
119,540,221,448
125,402,148,544
173,385,217,473
116,400,171,447
186,379,198,311
177,324,162,341
167,260,187,340
193,288,216,452
236,288,205,387
243,295,205,391
236,401,335,427
299,454,372,410
231,428,399,454
429,459,439,519
347,631,291,471
359,558,426,533
431,513,451,733
473,552,523,726
459,716,542,723
517,760,675,730
498,864,654,922
626,890,715,933
661,864,730,986
713,993,770,1021
538,1017,612,1102
620,1037,892,1110
624,1195,874,1213
694,1126,833,1288
718,1205,739,1073
793,1158,652,1229
687,1155,693,1175
676,1065,637,1069
577,970,689,1384
681,1057,629,1025
651,1089,783,1114
552,1131,645,1188
582,988,630,962
541,714,593,1042
583,889,540,746
544,776,632,869
398,874,577,750
545,673,572,783
608,785,661,824
461,627,594,827
539,637,608,684
525,634,563,810
705,720,660,836
529,845,718,808
719,897,709,767
677,857,711,906
914,909,780,930
935,930,762,979
827,873,810,1027
764,983,999,844
910,1032,988,967
957,937,1006,1029
983,1018,881,1073
1114,1059,1189,1157
1266,1034,982,1102
1105,1006,1202,1176
1053,986,1210,1193
1136,911,1149,1078
954,964,1297,1153
1120,963,1413,1114
1295,1086,1590,1131
1185,909,1271,1030
1268,1034,1263,1127
1174,919,1364,1169
1047,1070,1323,1334
972,931,1454,1169
1200,1086,1261,1300
1132,1053,1396,1327
1165,1345,1397,1386
968,1220,1090,1243
983,1157,1014,1492
962,1384,1039,1433
904,1302,790,1389
819,1301,968,1517
818,1370,938,1364
667,1223,850,1611
793,1320,772,1603
722,1492,889,1791
674,1455,696,1598
699,1137,572,1349
564,1353,455,1182
396,1184,361,1063
227,784,206,678
166,680,151,545
190,409,149,463
134,347,145,335
199,350,100,310
113,240,146,352
149,310,128,204
118,298,138,241
150,172,132,220
155,234,156,235
131,212,182,312
161,178,148,214
148,260,152,175
145,201,122,246
189,167,165,237
175,239,184,266
171,259,239,267
123,315,166,225
205,197,168,237
222,242,176,248
169,267,169,296
214,264,189,397
158,304,239,347
173,301,147,286
238,404,192,401
199,342,208,368
189,390,264,476
242,414,259,436
252,395,319,437
342,499,291,447
453,473,370,360
494,451,542,367
664,454,618,377
862,489,768,557
996,442,1116,443
1248,446,1259,402
1279,443,1435,441
1447,460,1515,547
1656,402,1573,562
1587,544,1539,484
1548,518,1669,481
1555,540,1795,487
1502,521,1634,460
1504,388,1592,430
1274,399,1319,549
1143,406,1344,371
1016,438,1234,483
879,361,949,480
884,508,830,453
597,527,787,441
761,651,651,517
553,644,664,554
458,603,617,619
471,582,499,558
380,629,464,687
485,505,501,566
425,556,400,628
399,571,437,472
379,548,395,622
411,479,348,600
379,370,394,458
298,399,402,490
382,476,316,326
387,409,351,390
369,321,314,356
324,291,403,355
305,287,379,279
446,244,415,291
390,293,420,320
499,297,446,287
391,238,503,261
434,319,505,383
495,265,544,421
450,365,488,287
542,311,449,369
452,413,366,319
366,311,358,364
339,426,337,415
349,295,299,426
298,324,353,416
269,360,241,423
303,397,230,462
229,300,246,394
207,336,222,374
209,241,264,271
163,283,145,339
203,328,236,349
197,318,190,279
133,207,162,162
152,240,137,212
194,228,163,165
169,232,92,245
156,203,166,236
140,182,216,216
144,199,202,279
152,182,149,225
108,223,143,254
134,312,110,273
165,270,164,249
116,270,154,273
144,298,135,332
161,282,140,332
107,276,185,374
111,289,175,327
170,270,150,299
103,306,166,435
138,240,169,319
171,300,157,315
148,289,147,286
218,357,146,257
172,307,187,266
158,286,163,277
132,265,128,377
144,252,144,291
134,313,136,274
190,308,127,249
123,259,125,280
166,309,130,319
196,348,166,339
140,301,178,324
96,365,135,257
148,276,124,295
123,241,131,327
138,315,83,251
120,266,170,288
137,286,137,276
105,320,140,376
136,265,141,253
121,241,131,306
154,298,114,324
161,284,141,249
166,308,103,280
133,289,122,310
168,203,122,234
160,300,91,332
141,383,138,318
127,317,156,299
115,339,125,322
129,270,117,357
123,360,141,363
143,330,137,340
116,400,156,388
116,432,120,412
98,396,138,321
155,391,154,382
168,468,166,516
111,557,158,455
109,577,105,621
145,600,119,535
131,582,186,617
80,628,105,714
146,668,167,727
140,668,132,754
167,829,112,756
161,775,161,727
160,758,157,892
185,788,147,779
160,800,147,813
141,791,202,813
208,675,169,702
283,722,205,883
216,676,233,723
199,628,228,780
253,585,234,591
267,570,294,678
270,665,218,550
251,569,292,529
214,394,342,470
248,365,271,380
300,375,266,394
254,398,203,399
270,372,205,346
199,386,188,315
226,267,148,354
159,268,219,286
171,221,200,252
161,256,236,256
195,193,121,240
151,285,138,200
189,275,149,233
110,237,223,207
155,240,135,186
125,218,155,276
152,219,228,245
188,215,153,235
122,164,164,283
182,168,173,248
142,252,190,257
148,249,236,261
153,158,230,218
187,169,162,154
174,209,190,210
155,181,230,236
161,191,211,158
208,239,184,191
214,235,167,205
157,136,184,167
188,176,196,186
134,134,175,220
204,197,220,189
257,171,245,176
189,203,230,220
244,142,212,182
236,180,211,190
326,189,291,228
300,208,288,191
231,185,270,155
232,145,227,208
208,195,199,254
197,240,242,195
205,153,201,235
230,188,234,224
268,215,270,166
187,220,197,203
149,204,177,180
233,195,212,260
240,185,155,285
221,205,189,143
247,268,222,227
314,253,306,283
400,243,349,239
323,202,273,228
366,289,380,302
440,278,343,327
470,247,446,275
428,276,454,324
446,273,424,344
523,344,513,236
524,315,521,402
483,342,432,347
552,308,493,476
558,380,506,405
548,434,433,376
601,345,570,389
681,425,612,373
786,516,647,460
794,432,787,418
885,468,872,404
1003,549,838,563
998,493,1015,509
1125,558,1053,514
1008,500,1133,545
1163,537,1202,655
1107,486,1213,469
1039,553,1059,587
945,504,933,464
888,459,1090,553
729,471,926,575
865,461,795,403
701,475,695,427
719,447,458,328
564,345,538,400
562,427,469,338
511,324,491,359
414,357,373,332
428,341,481,288
347,319,342,316
485,330,361,276
289,349,318,324
354,363,300,318
316,290,305,313
316,230,301,352
321,273,350,246
389,310,296,287
326,262,301,252
437,300,398,260
444,295,446,454
582,358,455,371
783,381,730,383
933,520,675,435
1108,604,980,596
1448,692,1333,667
1724,1069,1465,708
1898,978,1787,1030
2419,1301,2160,1245
2342,1309,2262,1224
2597,1800,2575,1539
2883,1708,3000,1750
2795,1867,2729,1739
2779,1889,2832,1913
2931,2134,3061,2048
2714,2231,2535,2012
2395,2364,2468,2123
2039,2590,2170,2235
2272,3462,2292,2613
1978,3599,1856,3003
2055,4968,1863,3612
1750,6005,1705,5073
1818,7880,1765,6227
1949,9628,1543,7642
1761,10594,1640,10071
2022,13187,1792,12554
1945,16448,1927,14425
2111,19128,1969,17656
2237,21760,1899,19248
2078,24256,2087,22704
2351,25504,2134,23104
2409,28376,2390,24912
2165,29472,2214,25408
2122,25472,2251,26088
2246,24336,1814,24944
2241,23096,1995,23576
1803,21304,1922,22864
1519,19112,1834,20520
1550,18112,1742,18280
1403,15166,1338,16231
1215,15568,1305,14022
1319,12801,1228,12152
1076,11609,1108,11418
1077,10410,915,9928
873,8283,792,8590
606,6582,769,7711
761,6109,608,6486
661,6359,602,5680
675,5479,718,4910
672,4757,671,4435
608,4191,539,3815
465,3426,535,3813
474,3424,534,3200
586,3027,381,2928
456,2729,563,2696
397,2499,429,2684
437,1912,385,2284
523,2181,387,2191
456,2102,392,1962
469,1935,551,1938
377,1770,466,1833
383,1781,445,1873
346,1483,488,1571
310,1528,439,1751
307,1345,459,1596
340,1220,385,1402
377,1295,473,1576
383,1185,379,1312
372,1082,443,1102
381,1033,401,1315
378,1051,262,1057
231,945,311,977
280,832,292,927
290,817,268,804
268,833,284,848
264,723,264,813
265,775,225,777
348,815,239,715
192,706,260,635
308,694,239,668
199,753,277,668
287,628,223,719
167,782,178,612
210,616,246,651
245,688,302,713
311,583,263,716
247,653,276,545
187,572,253,663
145,651,260,723
231,748,267,772
145,743,218,739
186,731,226,853
191,611,229,741
190,781,219,806
188,784,261,1107
266,893,229,1002
192,1001,225,1157
181,1083,275,1179
243,1140,260,1095
247,1121,251,1202
246,1204,273,1345
251,1136,273,1441
236,1222,199,1317
241,1164,272,1305
205,1190,283,1290
309,1395,195,1324
232,1160,198,1234
269,1240,217,1283
255,1175,202,1066
271,1149,288,946
243,1046,236,1208
252,950,288,863
293,861,315,1033
294,734,289,834
234,732,288,877
321,616,296,734
220,633,463,648
276,649,356,723
383,632,312,784
379,574,410,628
371,592,418,541
439,583,382,722
361,632,486,707
456,637,440,658
466,651,470,663
555,685,578,798
484,723,438,826
490,759,455,734
370,665,568,799
515,650,455,788
502,720,585,798
403,823,460,818
387,557,447,735
375,666,442,613
377,586,376,746
310,694,397,582
361,702,429,704
446,651,359,565
309,677,376,583
363,558,374,559
350,538,394,540
375,502,356,481
291,457,301,488
290,502,302,430
363,408,319,458
336,493,262,404
336,440,308,502
251,447,286,401
238,424,315,422
260,497,253,580
252,549,290,499
225,524,289,518
247,569,264,563
212,651,190,576
158,581,212,628
164,640,258,685
207,671,183,702
244,772,265,667
249,834,233,818
167,792,165,678
318,853,259,886
167,936,194,820
237,936,252,943
214,767,249,814
205,812,200,869
256,622,246,858
163,712,195,786
203,799,208,903
198,715,152,651
135,619,154,854
193,619,185,783
225,584,227,553
192,679,209,647
206,577,203,656
226,691,254,598
218,592,252,576
222,476,229,460
241,588,244,505
254,514,164,635
304,492,176,565
263,542,239,549
266,569,292,583
419,546,367,434
489,653,440,607
653,815,572,821
791,822,829,929
1237,1013,1106,1050
1604,1480,1538,1274
2090,1617,1872,1673
2637,1847,2480,1847
3475,2321,3063,2286
3954,2617,3563,2554
4981,2711,4559,2694
5568,2824,5390,3065
6079,3256,5964,3256
6583,3379,6334,3259
6240,3328,6558,3121
7125,3028,6623,3271
6400,3064,6403,3312
6093,2990,6794,2923
5869,2647,6477,2997
5848,2497,5971,2622
4920,2499,5668,2745
4657,2164,5322,2595
4289,2103,4401,2217
3728,2160,3690,2185
3379,1595,3674,1860
2751,1949,3395,1824
2419,1700,2787,1888
2157,1647,2702,1681
2254,1553,2559,1963
2091,1514,2134,1849
1757,1735,1719,1677
1578,1759,1682,1571
1338,1671,1342,1806
1181,1265,1330,1698
1168,1462,1401,1730
1135,1338,1069,1638
1062,1328,1057,1673
951,1559,856,1414
877,1377,886,1488
886,1313,727,1280
715,1111,659,1229
752,1079,741,1122
791,1010,790,1087
592,833,742,1123
532,886,721,975
623,769,546,872
568,818,696,791
546,886,623,868
487,820,605,793
479,543,542,757
448,658,385,751
443,671,465,639
408,575,506,614
511,503,474,605
498,546,494,660
468,546,557,608
513,620,519,616
749,831,732,789
984,990,783,868
1385,1229,1310,1239
1946,1529,1884,1527
2814,2120,2581,2120
4013,2792,3582,2547
4852,3429,4716,3267
6707,4679,6715,4129
8581,5037,8619,5207
10739,6289,10911,6719
12887,7356,13380,7374
14687,8319,15843,8572
16736,9282,17904,8723
19704,9354,19672,9786
20000,9533,21536,9885
21896,9785,23448,11214
22264,10196,22640,10976
21408,9489,22888,9627
21136,9090,22032,9113
20088,8638,21192,9142
19400,8265,19696,7891
17568,6961,18240,7640
16305,6616,16920,7350
14966,5999,15657,6756
13667,5356,13916,5772
12310,4610,12161,5303
11078,4595,11242,4809
9409,3906,10145,4167
8501,3433,9564,3553
8043,3120,7845,3456
6796,3233,7100,3001
6400,2824,6455,2793
5899,2476,5923,2452
5169,2382,5345,2355
4659,2059,4740,2130
4240,2092,4507,2010
3755,1819,3902,2039
4059,1553,3312,1861
3672,1791,3561,1631
3467,1483,3065,1535
2906,1505,2898,1394
2480,1293,2904,1221
2393,1255,2552,1412
2374,1195,2149,1363
2161,1110,2524,1294
2015,1085,2067,1135
1861,962,2123,965
1808,1058,1861,1179
1582,1069,1478,758
1450,943,1684,1126
1465,885,1388,822
1350,888,1343,1109
1246,962,1324,883
1193,819,1203,861
1204,904,1050,996
1086,736,1135,816
1011,903,1099,1023
960,789,1001,884
921,738,1049,740
801,994,857,776
731,776,818,819
801,776,871,801
762,690,731,809
853,776,828,881
851,764,800,890
776,895,777,763
727,694,770,920
675,729,761,702
733,698,608,701
717,673,744,624
816,636,711,682
740,707,712,628
665,736,669,623
838,665,639,596
599,621,704,671
676,563,619,610
538,602,713,608
705,684,713,596
693,519,601,518
662,478,676,622
634,581,592,536
740,610,519,560
535,499,480,505
576,550,622,675
492,576,512,583
526,459,417,488
490,437,444,543
600,554,432,570
514,597,509,472
436,546,473,499
493,616,421,569
369,590,441,537
400,597,445,607
332,481,346,476
383,523,326,564
317,566,347,468
345,419,370,453
369,396,364,352
345,396,306,448
386,400,384,423
325,401,366,328
318,383,357,367
287,336,351,350
350,361,321,384
335,365,317,399
339,349,317,464
305,342,312,227
329,364,315,346
279,261,351,387
251,276,290,344
249,315,267,279
248,284,269,333
324,404,214,324
248,249,294,322
271,229,264,276
282,247,222,265
261,249,243,254
250,234,258,326
252,187,221,242
219,239,332,212
204,268,231,195
203,233,232,255
