Counts-435,Counts-436,Counts-435,Counts-436
1007,1129,1374,1444
1182,979,1197,1401
1208,1095,1482,1169
1174,875,1455,1366
1276,987,1694,1256
1473,876,1667,1306
1657,889,1902,1193
1659,929,2051,1010
1715,892,2276,1270
1994,809,2301,1047
2259,702,2638,1087
2212,819,2779,1373
2528,949,3194,1237
2579,838,3433,1244
3093,909,3514,1372
2956,1003,3831,1342
3401,985,4333,1408
3428,841,4596,1395
4014,980,4535,1117
4290,1094,5245,1513
4275,1085,5125,1412
4749,926,5386,1468
5258,1156,5828,1540
5152,1025,6035,1634
5400,1268,6211,1591
5719,1063,6516,1528
5708,1275,7147,1377
6464,1218,6932,1780
6539,1147,7865,1572
6675,1133,7671,1564
6931,1266,8200,1724
7462,1242,8510,1673
7709,1224,8899,1782
7241,1500,8637,1737
8079,1469,8778,1660
7888,1229,8783,1780
7779,1407,8831,1835
7896,1346,8674,1926
7594,1444,8808,1753
7587,1278,8741,1903
7680,1437,8269,1689
7155,1310,7842,1673
6780,1378,7320,1554
6714,1382,7185,1503
6418,1306,6989,1400
6180,1307,6960,1580
5851,1274,6069,1325
5685,1019,5890,1457
5454,1134,6078,1392
5395,977,5431,1247
5040,1127,5356,1446
4476,1030,5403,1331
5012,1175,4954,1421
4622,989,4825,1248
4176,992,4576,1176
4122,980,4116,1184
3570,988,4346,1303
3636,1093,4022,1343
3566,947,3676,1400
3116,1065,3625,1178
3094,1012,3270,1223
2577,1067,3084,1334
2582,1238,2963,1177
2136,1087,2780,1311
2324,1023,2577,1492
2166,1111,2305,1362
1944,1271,2103,1211
1956,1156,2018,1427
1647,1018,2013,1335
1691,1238,1988,1313
1515,1243,1612,1471
1301,1117,1687,1412
1378,1081,1702,1386
1250,1055,1417,1522
1234,1269,1571,1321
1304,1116,1579,1332
1203,1116,1417,1446
1091,1056,1605,1353
987,1216,1438,1440
1023,1133,1325,1306
1282,1105,1419,1308
1133,1010,1376,1419
1178,1127,1394,1275
1071,964,1571,1310
1260,1093,1385,1348
1087,1092,1540,1049
1321,1126,1536,1375
1232,1009,1597,1342
1431,1018,1740,1302
1387,1025,1648,1295
1377,959,1832,1258
1600,1082,2011,1280
1663,1044,2054,1235
1779,1043,2097,1127
1987,1106,2423,1310
2270,911,2921,1244
2198,1118,2754,1352
2774,1053,3377,1221
2773,1266,3708,1379
3218,1242,4048,1482
3377,1229,4346,1389
3917,1263,4712,1507
4091,1155,4886,1547
4291,1086,5119,1572
4571,1356,5597,1667
4590,1284,5329,1459
4830,1349,6046,1542
4946,1364,5701,1487
5151,1185,5808,1472
5193,1365,6003,1695
4829,1422,5922,1680
5065,1361,5664,1544
5034,1256,5602,1399
4953,1529,5708,1635
5031,1269,5094,1536
4419,1206,5227,1570
4490,1186,5282,1402
4566,1115,4970,1374
4099,1335,5002,1252
4216,1355,4527,1358
3804,1075,4091,1267
3685,993,4289,1097
3806,1014,3602,1129
3538,912,3539,1040
3167,861,3113,1249
2942,1013,2797,1096
2631,885,2557,1080
2213,849,2868,1009
2248,836,2450,951
2155,760,2086,975
1837,759,2067,974
1577,675,1694,1095
1420,732,1746,860
1307,732,1327,845
1137,732,1346,952
1030,727,1244,901
1169,664,1231,846
1053,760,985,900
1068,710,1065,987
911,567,889,881
799,660,1004,916
842,705,963,975
780,728,978,931
716,671,993,960
997,674,808,993
708,637,983,897
768,616,984,930
790,798,978,909
688,797,958,1028
593,672,976,938
743,629,1021,1030
831,552,1007,1027
822,781,974,812
683,802,1022,801
668,786,884,1030
737,750,1108,982
673,701,984,1049
760,719,1002,1004
726,766,988,1094
743,679,1056,940
708,877,1043,959
714,761,1012,886
690,804,1195,903
776,821,1090,1062
724,658,977,1176
720,922,967,1045
637,758,957,929
727,832,1159,1094
733,700,1084,1120
724,730,1164,1032
682,942,1204,1031
840,785,1136,977
675,776,1255,1031
741,854,1172,963
776,846,1229,1094
760,698,1132,987
816,833,1303,1057
862,710,1278,918
949,768,1195,1035
754,849,1206,927
856,722,1358,858
910,751,1231,951
863,714,1319,1022
860,792,1376,1026
803,709,1335,964
926,659,1542,903
947,882,1360,1019
932,683,1432,1048
976,792,1355,1075
927,968,1287,1068
1265,942,1489,1498
1127,1037,1580,1463
1111,1164,1757,1718
1166,1378,1793,1841
1549,1451,1809,2039
1651,1716,1897,2135
1583,1893,2149,2454
1720,2033,2115,2611
1969,1878,2423,3040
2132,2247,2342,2831
2138,2307,2704,2924
2345,2634,2648,2892
2449,2340,3161,3014
2507,2582,3032,3155
2774,2684,3084,3633
2673,2566,3187,3265
2720,2908,3632,3409
2592,2987,3340,3481
2913,2871,3226,3424
3162,2865,3064,3298
3059,2942,3305,3395
2812,2567,3100,3608
2987,2859,3227,3238
2833,2980,3120,3137
2753,2886,3168,3048
2869,2658,2913,3103
2592,2644,2870,3006
2386,2489,2723,3133
2449,2546,2525,3052
2136,2413,2313,3088
2117,2365,2187,2847
1897,2169,2420,2588
1796,2123,1871,2828
1511,2100,1708,2604
1411,1925,1596,2448
1352,2008,1448,2461
1065,1872,1317,2204
1006,1958,1270,2104
967,1993,1265,2098
1021,1494,1197,2157
1045,1741,1029,2280
950,1731,1209,2037
1024,1836,1174,1874
820,1829,1142,2363
944,1787,1299,1956
1089,1778,1343,2220
1104,1814,1257,2181
982,1746,1464,2034
1132,1884,1253,2327
1121,1952,1422,2330
1151,1806,1258,2402
1267,1934,1455,2341
1325,1780,1363,2353
1268,1986,1447,2134
1185,2123,1284,2404
1438,1866,1400,2494
1239,2052,1575,2371
1255,2028,1529,2359
1456,1970,1531,2392
1296,1929,1622,2120
1346,1934,1693,2299
