Counts-435,Counts-436,Counts-435,Counts-436
413,485,639,816
343,528,584,865
302,461,654,707
383,496,624,866
326,454,588,777
344,499,553,636
394,483,551,675
375,425,734,738
282,501,478,698
335,439,553,637
335,461,586,679
354,307,631,607
371,379,644,587
396,400,595,617
307,387,610,666
294,391,628,459
384,423,730,595
464,305,600,445
367,417,647,586
371,308,674,505
356,414,682,666
368,384,621,627
379,339,698,604
412,295,731,546
466,374,753,630
455,448,721,524
476,383,812,560
483,404,736,569
461,463,743,677
400,444,785,634
468,411,619,542
478,397,708,509
489,486,767,519
492,394,713,650
461,390,724,504
406,358,682,550
483,411,738,533
541,466,686,660
472,415,726,505
408,380,771,570
519,443,821,447
532,400,704,512
559,429,703,431
462,396,751,497
399,296,778,627
570,366,670,589
473,350,653,559
436,378,728,570
519,389,652,551
422,374,679,464
554,338,649,543
457,366,651,501
393,357,785,552
512,335,717,534
495,323,701,475
502,350,734,579
451,319,666,399
384,387,534,477
431,319,553,581
422,383,553,513
406,396,548,394
299,346,518,519
414,359,609,586
360,374,663,538
337,405,582,528
336,332,468,416
330,360,487,505
408,324,508,529
426,321,643,469
393,391,526,483
285,337,540,530
374,358,568,555
341,391,588,583
290,327,465,575
322,299,579,479
427,311,506,469
387,343,596,524
332,465,581,619
426,449,464,573
364,453,519,558
394,414,580,500
339,385,588,542
392,349,515,503
345,421,543,508
399,440,519,546
378,310,588,606
318,354,566,524
283,333,457,555
380,428,637,583
341,327,551,539
394,437,506,562
324,380,583,483
416,376,487,576
293,378,497,567
342,346,528,545
269,371,549,552
322,344,574,611
331,314,424,548
306,355,529,506
322,365,532,518
258,333,534,577
321,276,460,557
348,398,523,607
425,411,490,605
287,460,591,586
305,394,537,574
279,349,568,568
270,429,568,638
292,395,421,468
365,328,581,561
400,428,643,589
283,416,529,698
322,368,639,732
302,472,539,651
360,425,654,557
365,403,521,553
416,428,570,510
316,367,526,602
341,428,566,723
349,309,526,580
371,363,494,574
387,451,488,621
375,399,589,627
397,456,562,496
396,464,460,588
371,385,674,568
376,520,664,570
305,381,597,637
352,338,507,563
338,418,520,578
407,308,588,587
374,280,659,624
371,448,568,553
320,409,624,584
354,411,722,503
318,395,708,593
343,441,564,536
353,453,484,541
413,338,648,506
316,338,603,588
359,407,534,495
419,320,587,546
439,340,580,559
351,477,517,615
390,464,606,520
413,349,577,560
395,362,545,554
367,450,569,577
355,317,507,616
368,347,490,427
448,324,562,540
287,325,516,603
390,383,538,533
442,408,563,489
449,394,515,481
417,384,741,644
400,355,668,552
392,398,534,608
445,417,550,510
409,444,600,520
381,391,620,666
422,438,622,542
386,428,718,543
376,480,585,661
472,432,604,637
396,486,741,668
453,538,597,607
412,465,641,564
404,435,612,586
447,426,595,590
474,474,604,556
381,495,530,608
412,480,574,800
495,525,522,691
400,571,532,642
411,462,592,681
416,481,620,616
398,519,531,688
423,448,519,784
426,501,582,731
403,443,719,671
341,467,642,650
434,448,674,722
470,585,633,715
413,520,591,690
436,504,567,666
362,430,590,611
372,544,545,556
