Counts-435,Counts-436,Counts-435,Counts-436
7320,973,8071,1836
6679,1150,8006,1831
6395,1188,8409,1685
6524,1509,7790,1669
6664,1446,7456,1854
6303,1240,8223,1970
6426,1158,8091,1931
6266,1276,8495,1624
6462,1336,7794,1890
5877,1285,8572,1828
5966,1116,7870,1766
5630,1381,7435,1929
5452,1203,6928,1781
5563,1410,6937,1710
5220,1161,6520,1811
4829,1282,6489,1837
5035,1348,6128,1871
4483,1313,6148,1599
4492,1142,5535,1692
4444,1449,5759,1637
4060,1403,5543,1622
4492,1330,5506,1672
4058,1498,5365,1780
4264,1300,5057,1757
4023,1382,4943,1664
3734,1380,5488,2279
3489,1729,4901,1998
3706,1824,4669,2470
3725,2276,4795,2771
3525,2348,5175,2616
3370,2505,4602,2768
3268,2836,4705,3579
3136,3584,4255,3387
3122,3603,4544,3987
2892,3697,3948,4194
2809,3846,4351,4797
2928,3952,3862,4707
3027,4523,4290,5314
2561,5169,3545,5655
2485,4725,3363,5506
2429,4659,3229,5962
2482,4971,3143,5867
2061,5144,3131,5817
1955,4819,2636,6138
1973,4773,2482,6144
1615,4673,2372,6078
1608,4548,2339,6420
1753,5242,2421,6500
1385,4342,2274,6100
1372,4741,2187,5903
1306,3569,2249,5997
1346,3842,2179,6414
1220,3832,1850,6264
1328,3562,1870,6242
1140,3702,1571,5965
1112,3672,1884,5608
1055,3514,1904,5842
1086,3206,1618,5776
1027,2938,1895,5992
924,2558,1925,5242
1295,2505,1494,4768
1026,3260,1731,4934
1137,2706,1871,4869
980,2285,1966,4357
1088,2417,1798,3951
886,2214,1989,4448
1233,2352,1965,3497
966,1797,1994,3702
1092,1881,1920,3279
1077,1618,1901,3165
1041,1449,2335,2712
931,1740,2314,2496
1166,1256,2625,2456
1388,1041,2302,2378
1488,1065,2707,2114
1457,997,2560,2097
1584,949,2870,1843
1558,1009,2964,1981
1792,1113,3215,1960
1950,1042,3207,2084
1876,1048,3206,1928
2179,847,3819,1655
2504,824,4088,1967
2206,918,4332,1969
3024,940,4960,1646
3294,1025,5469,1893
3638,1235,5035,1718
4134,995,5850,2117
3819,948,6132,2268
4155,1126,7485,2084
4634,1287,7528,2675
4434,1250,7962,2225
4955,1183,8735,2442
5308,1316,9163,2680
5543,1380,8766,2436
6100,1036,10293,2555
6151,1176,10086,2467
6635,1295,9968,2678
6154,1253,11376,2735
6871,1270,11096,2774
7414,1209,11402,2767
7278,1241,12049,2539
7470,1287,12167,2721
7743,1488,12596,2558
8237,1416,12361,2729
8056,1916,12488,2931
8523,1279,12765,2638
7713,1471,12696,2761
8339,1520,12870,3063
7588,1412,13234,2603
7723,1739,13885,2895
7691,1317,13476,2748
7607,1443,13551,3160
7448,1516,12815,2718
7196,1486,12692,2726
7694,1539,13260,2735
7110,1398,12308,2818
7308,1520,11717,2584
7042,1360,11284,2930
5808,1468,12041,2647
6722,1196,11840,2648
6085,1186,12440,2448
5875,1528,11380,2469
5942,1278,10565,2329
5609,1216,10039,2399
5743,1368,9869,2472
5123,1494,9653,2461
5245,1080,9998,2301
4801,1299,9654,2398
4560,1348,9719,2381
3717,1456,8669,2743
3950,1514,8861,2674
4008,1540,7895,2739
3831,1646,8470,3083
3611,1703,7514,2583
3273,1585,7489,2993
3294,1948,6895,2962
3036,1740,6888,2872
2972,2049,6192,2932
2703,1753,6309,2954
2418,2332,6023,3214
2352,2335,5989,3080
