Count-435,Count-436,Count-435,Count-436
9182,2022,7319,2128
8635,2253,8115,2148
9157,1776,6516,2146
8069,1851,7192,2233
8335,1860,6529,2079
7492,1581,6404,1962
7787,1753,6447,1994
7510,1695,5792,1846
7153,1870,5881,1896
7237,1826,5602,1957
6739,1851,5220,1963
6491,1569,4613,2049
5566,1502,4908,1949
5804,1554,5215,2494
5582,1738,4811,2140
5374,1819,4763,2240
6191,1646,4903,2175
5635,1855,4395,2374
5849,2034,4710,2440
5621,2132,4337,2639
5251,2002,4339,2989
5149,2167,4171,2813
5221,2508,4057,2897
5416,2823,4317,3336
4853,3345,4183,2919
5084,3277,4126,3340
4391,3174,3710,3666
5336,4119,4122,4406
5447,4261,4122,3957
4613,4275,3815,3878
4922,5405,3635,4682
4008,5146,3773,5453
3972,5884,3195,5092
3420,6220,3394,5329
3685,6099,3220,5925
3228,6546,3162,6640
3125,7233,2622,5845
3337,6957,2568,7025
2841,7564,2648,6582
2848,7460,2427,6631
2349,8283,2498,6617
2475,7890,2395,6920
2356,8101,2347,6907
2433,8797,2255,7274
2269,8872,2425,7437
2349,8874,2437,7323
2006,9937,2620,7856
2273,9580,2353,7745
1814,8952,2663,7531
1838,8586,2322,7078
1820,8712,2376,6997
1977,7832,2715,7685
1661,8748,2448,6508
1796,8901,2346,6686
1688,8553,2654,6343
1693,7753,2349,6872
1680,7083,2243,6326
1456,7556,2305,6078
1542,7431,2455,6638
1344,7119,2811,6362
1609,6587,2911,5907
1280,5505,3119,5567
1412,5372,2880,5155
1593,5522,2810,5094
1636,4928,2917,4930
1801,4191,3180,4550
1528,4116,3337,4140
1527,3716,3226,3620
1782,3273,3775,3596
1777,2836,3669,3379
1795,2584,3958,3087
2103,2350,4437,2998
2111,2252,4368,3037
2297,2339,4314,2296
2651,2182,4767,2624
2912,2075,4906,2539
3060,1852,5352,2405
3000,1763,5445,2681
3148,1749,6119,2928
3404,1716,6963,2551
3229,1994,6715,2995
3930,1991,7566,2536
4113,1695,7909,2992
4209,1771,8459,3100
5183,1823,8421,2823
4837,1830,9017,3303
5852,1957,9894,2804
6143,2082,10034,2912
5891,1604,10024,3395
6712,1924,10176,3425
7559,1912,10981,3041
7730,1954,11209,3102
8503,2079,12136,3426
9191,2090,12125,3435
9085,1992,12356,3085
10298,2250,12424,3519
10688,2337,13695,3150
11499,2260,13284,3390
12462,2126,13928,3140
12808,2711,14046,3540
13010,2441,15468,3435
13700,2495,14826,3569
14549,2504,15428,3398
15524,2664,15099,3287
15530,2790,15815,3257
16888,2448,17304,3397
16205,2729,17472,3698
17320,2749,16816,3515
16504,2967,17136,3684
16400,2505,18144,3433
17104,2743,17120,3656
16912,2606,16027,3424
16680,2527,16720,3565
16768,2439,16528,3578
16211,2475,15245,3235
15549,2760,15729,3205
15748,2952,15440,3269
16018,2728,14730,3338
15047,2744,15289,3463
14479,2509,14298,3100
13776,2716,14311,3210
13346,2462,13723,3132
12773,2577,12854,3297
12607,2268,12245,3106
11167,2272,11437,3160
11307,2423,12011,2775
10480,2527,10577,3133
9278,2084,10354,2923
8771,2154,9910,2936
7729,2278,9088,2731
7474,2351,8190,2797
7112,2405,8095,2445
6675,2209,8268,2684
6430,2181,6858,2643
5467,2037,6772,2463
5755,2463,6195,2629
4726,2179,6211,2924
4425,2328,5703,3021
5025,2137,5653,3129
4254,2676,5093,2759
3854,2165,4762,3147
3784,2409,4850,2615
3594,2886,4426,2815
3555,2647,4149,2629
3347,2577,3940,2651
3296,2322,4145,2690
3037,2691,3702,2769
2924,2609,3516,2938
2956,2240,3827,2575
2788,2252,3502,2457
2716,2724,3536,2070
2875,2402,3702,2391
2857,2325,3424,2792
2808,2463,3232,2591
2739,2294,3470,2547
3096,2685,3665,2278
3037,2465,3630,2316
3419,2276,4083,2508
3210,2612,4023,2225
3613,2393,3946,2518
3484,1963,4168,2574
4137,1966,4248,2542
4170,2151,4373,2241
4584,1991,5092,2485
5033,2157,5153,2430
5365,2153,5291,2319
5559,2035,5542,2504
6267,2021,6594,2532
6698,2192,6297,2466
7565,2168,7123,2375
7867,2160,7469,2209
7993,2272,7378,2398
8703,2098,7454,2400
9685,2470,8024,2111
10104,2156,8321,2228
11168,2422,8737,2394
10799,2349,9575,2919
10985,2664,9584,2474
11657,2334,9466,2517
11033,2401,8943,2406
11968,2638,9011,2255
12062,2132,9138,2439
11885,2309,9041,2509
11827,2583,9110,2677
11277,2624,8322,2320
11673,2195,9222,2506
10302,2308,8837,2561
