Counts-435,Counts-436,Counts-435,Counts-436
354,348,456,352
380,377,454,386
390,324,455,403
356,294,523,415
464,386,552,301
481,309,434,384
374,319,457,459
475,251,528,409
487,346,626,399
442,344,404,394
430,352,601,374
486,400,534,489
445,276,542,429
497,338,425,454
505,393,539,493
490,362,464,469
501,349,474,394
486,381,616,450
442,299,532,457
503,333,584,388
477,312,480,382
421,247,618,460
453,333,585,337
409,325,546,384
524,292,500,343
422,340,517,372
391,318,477,320
436,321,471,351
588,350,491,323
388,285,550,428
428,320,459,376
471,327,462,339
461,292,578,390
549,301,400,396
410,294,514,401
388,239,419,377
409,314,458,321
460,296,483,330
457,248,516,345
496,334,423,396
578,361,450,337
382,277,549,384
458,247,459,339
404,237,461,426
455,303,432,281
455,241,412,391
340,279,549,409
313,284,549,394
381,315,563,278
469,285,526,461
435,270,479,461
329,243,493,328
414,282,504,360
407,326,480,316
403,333,418,472
475,296,486,405
471,254,431,344
389,254,398,396
454,246,482,336
364,367,446,400
419,258,480,302
368,275,581,380
379,348,500,443
399,246,394,440
456,263,485,377
432,359,418,323
420,291,594,393
471,344,381,335
416,366,422,390
399,357,476,438
400,311,394,404
412,324,474,423
514,356,512,435
428,345,453,385
454,317,507,371
545,361,500,413
404,349,447,548
416,347,448,402
426,401,426,336
506,329,560,312
395,357,480,408
490,409,375,453
527,377,590,457
377,333,436,434
409,427,514,537
387,380,512,425
314,436,502,418
310,310,386,503
487,382,458,485
368,400,464,512
539,420,490,382
490,339,480,539
540,354,438,413
415,382,449,468
421,368,506,434
400,336,471,468
445,372,415,494
464,382,471,424
399,317,466,545
522,326,466,482
513,322,500,394
484,445,511,544
424,347,478,570
456,378,516,552
484,380,532,486
489,370,621,443
536,401,478,525
512,384,448,495
503,498,573,634
472,444,520,425
493,415,551,497
405,430,542,506
509,359,588,418
449,403,515,502
455,357,519,455
331,404,442,381
440,355,425,432
388,324,457,416
534,367,480,505
456,327,514,420
490,473,555,473
470,367,493,398
526,324,426,446
406,362,489,403
386,322,422,371
524,401,505,422
366,315,636,407
384,323,470,405
585,302,410,394
493,337,484,437
440,241,449,372
420,378,527,398
376,400,407,384
532,347,520,384
453,389,486,416
453,381,511,404
371,334,492,364
389,422,551,401
408,312,526,376
471,393,616,449
420,406,543,492
454,373,590,436
487,320,518,478
536,345,555,433
493,319,463,475
480,345,491,405
466,423,454,390
534,342,480,389
561,380,519,522
493,335,549,386
452,434,593,430
478,410,607,452
485,440,497,443
605,397,527,519
415,375,579,428
465,473,566,462
453,372,517,509
411,412,508,477
479,356,525,485
538,335,575,500
572,500,541,474
488,463,557,478
438,452,480,558
394,387,509,569
450,427,549,507
559,405,486,531
540,440,555,488
456,541,603,549
448,503,540,505
504,415,598,590
509,392,568,592
537,509,578,473
551,423,503,499
533,426,620,492
575,478,609,453
583,402,626,415
508,416,558,492
456,456,694,561
521,400,626,466
499,333,635,384
521,475,498,496
559,360,592,446
460,328,686,533
525,372,659,510
504,336,598,372
431,420,563,470
464,345,609,430
615,391,707,428
466,370,604,474
464,365,567,399
472,381,851,485
469,421,597,525
557,414,733,555
580,490,731,731
620,605,545,542
656,464,755,608
545,559,647,618
532,580,703,617
656,720,787,611
707,533,815,590
649,506,864,650
774,577,775,759
651,554,843,593
694,542,865,683
587,618,733,685
633,519,968,631
637,528,746,667
659,555,848,715
