Counts-435,Counts-436,Counts-435,Counts-436
239,374,402,570
213,322,460,383
287,340,417,484
207,346,350,466
254,296,355,481
148,324,410,443
173,334,459,532
175,305,383,430
194,355,352,499
176,309,377,376
180,225,347,426
172,254,329,342
141,283,428,293
146,245,353,342
132,271,314,301
186,202,347,298
140,254,334,312
156,259,300,358
169,279,294,290
142,238,361,342
144,168,365,395
158,213,285,313
141,142,306,286
164,230,384,265
191,214,278,269
163,163,275,281
188,204,256,275
142,195,190,276
102,188,270,249
144,144,270,323
168,165,265,232
217,152,288,224
208,147,250,287
181,136,238,182
174,153,302,220
176,146,243,223
218,156,282,195
137,185,298,207
184,122,264,272
182,152,237,241
196,147,323,213
138,157,259,214
214,175,322,220
178,194,240,256
222,168,276,239
224,162,319,255
212,156,275,155
220,176,235,238
248,153,372,223
235,133,335,192
290,158,334,213
241,135,260,241
314,174,414,238
265,143,388,206
343,111,378,203
316,187,432,199
251,145,436,265
253,178,445,262
316,189,456,177
360,141,439,194
394,166,540,186
389,141,366,243
417,214,540,221
334,174,534,204
415,157,626,222
529,184,555,236
381,171,613,195
446,154,528,220
455,205,683,205
423,186,713,240
464,164,672,221
462,157,682,251
454,160,594,197
535,150,721,207
443,204,627,215
401,171,708,238
397,134,747,239
451,151,728,242
434,167,660,246
418,140,637,182
444,158,632,269
454,178,666,232
446,163,640,209
410,145,626,250
445,128,627,212
390,159,583,204
426,204,650,268
337,116,632,233
410,181,751,247
404,158,551,190
299,195,616,290
339,213,423,295
336,189,522,266
344,167,554,259
258,161,474,274
326,239,452,239
309,213,490,202
262,184,542,283
290,182,411,246
284,197,463,271
279,226,435,350
225,241,512,293
248,189,467,309
225,222,435,319
290,182,453,288
229,247,420,344
253,241,394,348
285,259,311,288
207,238,437,355
194,266,336,300
209,268,326,302
253,216,313,282
226,332,284,265
164,191,343,343
189,223,281,292
181,224,325,336
211,266,272,446
162,223,265,399
224,205,310,433
267,179,271,317
166,165,234,312
210,249,204,329
196,200,229,337
202,175,269,299
130,180,280,269
149,231,272,233
184,177,250,309
204,221,245,277
179,148,267,277
203,138,250,240
253,132,292,267
186,173,269,282
265,215,258,291
266,171,264,193
302,225,454,272
297,145,409,248
317,152,403,232
343,194,407,207
354,189,399,329
339,171,470,230
314,235,469,281
330,181,445,270
358,236,418,222
292,227,530,257
434,195,500,230
344,218,517,220
372,207,526,199
396,185,462,260
358,219,520,255
292,148,464,252
362,150,518,299
293,178,457,259
334,143,531,208
364,179,514,221
412,199,433,255
350,179,475,213
284,126,433,207
256,118,433,233
359,152,439,231
268,156,518,189
301,139,446,180
258,224,369,295
276,181,380,232
259,143,358,235
213,144,415,122
245,148,387,213
207,155,334,211
200,194,262,195
190,158,272,193
210,161,304,247
195,156,307,230
153,149,241,192
178,111,290,187
147,203,313,158
203,166,265,178
