Counts-435,Counts-436,Counts-435,Counts-436
272,728,362,983
203,928,297,936
257,824,309,912
270,778,344,965
286,763,321,843
197,801,337,867
247,668,341,960
221,685,357,967
233,670,232,874
238,593,307,772
216,489,327,760
182,499,313,706
200,565,343,717
252,402,306,615
247,365,380,531
196,357,308,507
222,363,325,419
181,267,298,470
203,273,281,468
200,276,342,461
262,256,408,424
179,260,313,387
241,321,356,349
269,276,318,385
253,297,335,328
201,201,325,343
298,222,348,289
295,226,399,412
282,252,391,333
327,258,348,305
309,299,394,379
332,211,465,323
356,259,466,429
382,227,468,424
426,280,458,367
446,270,503,406
495,283,554,457
495,333,567,466
467,363,504,460
549,324,557,457
504,297,537,395
563,275,576,541
590,366,602,592
540,358,718,518
636,428,709,515
660,496,652,482
595,326,667,468
687,404,779,498
721,411,701,481
726,433,843,420
759,388,849,544
709,464,706,417
730,396,765,523
807,452,823,544
664,437,751,468
844,441,768,555
782,405,786,482
705,462,870,522
929,393,901,543
766,383,978,555
694,387,914,505
800,433,923,427
869,443,930,529
783,353,868,529
783,409,788,421
715,393,840,449
847,458,805,560
706,356,842,415
721,392,649,468
711,445,742,466
728,359,797,510
701,396,708,501
711,272,773,419
754,462,747,468
673,308,720,399
624,384,710,409
568,355,700,456
552,328,685,412
608,352,674,452
475,331,689,463
493,352,552,519
522,318,478,410
474,406,463,464
396,253,591,444
360,331,417,497
360,252,441,505
481,357,588,384
448,304,465,416
316,361,425,453
395,368,344,556
377,326,406,457
360,428,450,527
379,343,426,476
312,326,407,468
348,297,422,441
350,401,522,461
330,434,454,515
380,423,412,507
361,371,342,482
430,450,390,481
303,361,442,504
327,413,455,412
363,401,398,437
248,355,390,459
276,404,445,448
316,391,314,462
263,346,382,425
268,344,309,427
249,284,298,450
284,305,410,409
252,348,442,393
292,327,378,465
288,278,361,374
326,315,423,414
317,320,424,389
327,316,435,393
321,312,529,355
277,295,455,456
390,394,498,415
377,359,588,471
447,318,617,444
387,386,548,426
441,382,570,510
536,326,665,431
538,341,615,536
532,380,670,461
519,390,786,644
523,376,859,441
661,315,804,496
561,329,898,541
496,383,875,490
649,361,922,455
637,379,775,527
658,423,865,463
638,380,888,431
651,258,820,526
575,355,770,445
642,344,795,421
575,331,781,383
624,290,742,379
559,336,850,471
458,254,677,462
534,317,657,440
631,320,619,463
476,341,644,445
403,341,591,423
407,339,626,479
426,274,597,418
338,320,608,410
350,300,616,487
375,260,653,413
323,285,456,412
284,361,466,414
281,255,489,459
271,263,477,340
314,311,428,453
290,286,483,394
261,331,495,382
354,313,457,437
297,342,462,349
223,343,432,359
312,297,393,334
293,303,511,403
333,359,377,433
232,288,518,369
249,287,334,420
248,315,450,391
225,321,330,506
244,340,479,458
283,245,444,504
286,363,439,407
223,310,336,328
265,337,394,420
268,394,413,436
253,282,348,355
273,366,386,396
282,374,387,434
323,367,348,472
366,297,337,454
274,327,409,469
383,401,370,442
342,330,377,456
401,403,396,477
324,480,391,508
273,405,385,418
303,428,395,480
370,345,438,429
286,379,395,499
347,441,406,441
359,467,359,546
286,366,394,500
361,381,358,450
356,379,440,509
324,345,390,378
329,294,409,458
266,378,358,477
366,328,421,432
215,319,327,359
311,274,377,409
319,315,465,398
306,376,372,395
305,394,409,356
267,315,387,431
326,305,359,431
287,388,390,415
298,315,392,476
357,391,367,359
415,347,454,404
390,387,526,427
476,372,484,444
359,469,522,498
527,443,477,531
413,409,505,524
484,582,482,625
503,572,647,589
518,596,686,710
525,591,677,607
604,713,599,723
560,491,656,791
553,675,729,795
673,766,693,853
656,799,745,795
599,814,834,805
663,778,663,683
667,738,796,911
563,838,725,908
559,707,768,936
669,771,717,912
691,804,698,688
647,707,807,880
666,703,715,751
572,700,842,740
591,710,741,844
505,639,750,718
525,612,732,776
527,546,766,759
493,619,658,752
409,629,675,751
460,523,798,847
460,510,686,819
376,476,634,647
338,545,670,710
334,406,651,710
292,442,556,589
284,425,632,712
337,409,516,615
276,490,639,634
222,573,634,570
208,421,636,694
221,415,642,607
243,455,564,637
258,504,631,626
220,428,588,625
329,446,678,591
278,523,684,492
292,518,574,604
330,582,774,669
314,594,648,803
304,498,651,686
334,552,694,655
353,587,751,759
460,681,740,772
354,579,679,829
394,510,749,774
388,488,781,690
428,589,754,710
438,667,745,666
456,569,751,769
456,668,693,788
414,658,764,866
456,663,857,804
445,582,763,775
433,576,778,719
442,642,795,704
523,588,738,699
422,571,734,813
372,665,779,700
393,568,883,795
484,587,895,829
560,549,725,743
468,635,836,689
687,553,932,606
687,590,901,741
657,618,877,684
861,615,972,721
799,562,1202,724
793,543,1109,543
954,648,1110,758
1116,634,1166,823
1070,638,1228,755
1039,599,1308,789
1264,609,1270,838
1160,661,1293,768
1310,626,1589,818
1403,746,1567,901
1414,701,1468,769
1442,624,1550,819
1589,668,1683,820
1403,720,1469,789
1439,657,1541,849
1263,558,1565,694
1301,567,1580,593
1332,639,1603,686
1215,539,1603,632
1274,479,1452,652
1045,429,1536,629
1119,522,1359,600
1097,478,1327,644
980,495,1018,493
1083,501,1163,377
886,400,930,498
823,352,1044,464
661,376,887,441
661,376,769,492
542,376,796,458
549,372,751,475
479,259,584,423
450,357,580,370
448,439,550,440
421,306,497,330
376,355,599,418
436,356,502,436
416,347,491,408
371,435,414,446
460,382,478,439
494,407,554,531
375,347,497,491
405,380,715,348
457,415,446,503
496,269,566,522
499,326,461,376
391,341,509,470
452,362,598,446
534,387,588,456
599,308,558,527
570,319,504,508
544,429,799,390
504,424,607,397
502,389,607,493
629,346,631,425
529,292,645,382
614,406,699,404
686,419,825,408
658,287,733,442
699,329,796,508
724,353,805,472
770,375,771,437
856,396,881,403
922,353,851,419
846,458,973,600
992,533,989,435
763,443,1001,576
804,457,1016,597
922,439,905,492
930,488,998,526
916,516,1006,539
925,513,1074,519
988,435,935,615
995,459,986,597
722,337,925,548
890,384,1140,499
