Counts-435,Counts-436,Counts-435,Counts-436
67,69,88,91
79,72,71,77
68,79,97,81
56,96,75,79
47,56,76,80
64,105,74,97
77,81,58,88
53,111,76,99
64,89,108,87
57,63,71,83
54,65,81,76
52,76,86,72
67,105,97,77
70,86,60,92
79,76,58,78
72,86,70,91
58,87,77,106
72,66,76,56
71,96,52,71
78,77,67,99
91,55,71,60
78,66,71,88
69,66,58,54
81,71,80,98
64,64,90,107
54,73,53,69
70,73,64,86
54,77,59,66
66,66,70,79
89,66,84,102
53,53,57,104
57,85,88,91
54,66,68,88
51,59,57,99
68,77,63,61
73,72,53,71
71,45,80,59
62,50,63,87
85,59,54,99
53,64,78,49
86,44,77,66
70,74,99,84
62,51,98,78
78,68,97,78
60,88,73,72
68,60,60,70
65,75,78,68
69,70,74,86
84,65,69,95
68,77,69,84
78,66,72,65
66,69,73,53
49,70,107,92
81,86,97,81
45,84,81,123
84,76,78,89
61,86,70,58
85,87,126,74
53,50,67,63
59,101,62,87
62,83,80,97
80,69,90,83
70,68,70,82
64,69,62,59
75,51,69,66
58,56,56,71
87,41,88,70
70,51,91,97
52,74,46,82
101,66,92,72
76,51,95,59
58,82,56,69
67,69,55,56
57,66,54,64
84,70,81,72
62,56,88,47
117,63,71,83
74,61,70,88
51,64,50,83
60,81,89,98
65,98,60,93
51,78,72,76
53,91,74,77
80,63,71,55
66,73,72,90
65,50,90,54
52,59,63,87
66,84,83,73
55,61,73,49
42,68,114,52
49,46,67,88
43,52,77,72
46,73,75,106
90,69,64,72
66,44,65,89
74,46,72,73
59,71,68,47
47,73,71,85
84,63,65,48
59,42,69,41
65,74,42,74
66,60,55,63
71,82,55,97
57,63,65,49
46,50,66,91
72,60,47,47
55,74,50,82
64,62,79,70
45,64,60,75
71,63,69,80
59,76,64,88
61,70,61,93
47,55,63,68
52,73,60,72
47,74,56,91
63,73,84,54
78,63,74,80
56,52,59,72
55,61,68,67
65,71,46,83
71,66,52,61
66,56,49,71
40,58,74,83
53,66,66,57
78,66,57,58
59,60,76,77
54,56,86,67
55,54,52,54
51,52,67,85
50,56,81,118
63,54,54,100
50,65,59,66
44,73,76,64
48,65,53,103
51,58,52,63
67,48,62,66
66,44,87,84
72,41,52,61
45,71,53,52
76,85,77,68
63,60,105,66
56,65,76,45
48,69,86,60
61,68,81,86
49,59,42,96
39,65,53,63
59,65,63,92
51,43,66,73
78,56,84,72
50,66,61,59
61,94,75,94
78,55,49,90
51,56,61,89
65,66,60,64
48,55,63,52
54,69,52,66
45,87,112,90
51,55,65,59
59,78,48,77
57,51,69,68
43,77,73,80
49,75,56,51
67,47,60,61
65,59,66,87
63,72,64,88
56,55,86,107
50,75,63,66
63,59,75,86
54,61,77,59
48,74,43,67
51,62,42,45
59,75,59,46
69,72,46,70
44,79,63,59
58,46,65,63
63,65,88,70
63,53,72,65
56,63,65,75
59,78,58,89
65,73,77,107
63,53,69,69
74,70,81,62
84,50,56,66
52,76,76,104
54,56,86,66
59,50,47,67
68,87,67,76
56,64,64,70
51,59,68,100
61,74,80,80
58,86,58,48
63,104,76,67
46,61,66,58
68,61,57,47
68,56,68,89
57,60,65,71
96,75,107,109
58,49,68,94
87,48,73,84
49,89,85,81
61,61,87,82
65,67,65,44
68,61,63,76
47,63,85,56
83,46,82,69
54,61,68,72
47,56,47,112
65,60,64,49
77,79,51,72
66,44,84,73
52,82,78,49
59,70,53,79
40,68,70,83
45,86,73,52
90,54,60,95
60,79,50,78
52,95,42,70
65,83,61,76
54,71,79,51
62,56,58,67
68,49,64,70
46,54,58,54
50,62,56,76
52,61,74,67
48,63,73,69
63,59,54,86
63,75,53,76
46,82,51,70
48,61,54,73
60,63,49,74
55,53,63,68
53,65,55,86
68,64,80,68
52,95,74,80
70,88,89,92
63,77,80,104
89,55,59,111
69,105,71,55
68,84,68,118
58,59,61,74
92,77,60,73
79,61,51,80
58,60,63,57
85,84,86,92
70,59,77,90
69,71,79,116
72,92,74,70
74,104,66,77
76,74,80,69
65,73,64,63
72,82,91,112
57,92,101,69
67,96,63,71
75,86,99,84
74,58,55,67
63,52,48,108
68,65,61,97
69,101,91,85
84,92,69,61
59,70,70,80
85,84,95,100
69,99,95,55
63,98,87,71
90,67,87,117
106,64,59,75
61,91,68,92
73,92,77,75
60,88,67,70
52,73,114,91
56,104,45,97
82,81,86,74
84,88,83,76
96,93,126,89
66,115,79,99
82,99,76,150
62,66,82,107
90,66,109,84
65,63,107,63
56,111,109,93
66,83,91,88
74,71,118,84
94,67,76,149
43,87,110,99
74,112,106,92
55,89,70,66
97,50,91,107
63,61,66,74
79,98,99,60
67,80,105,55
67,90,86,83
71,65,105,94
72,66,78,96
79,92,82,69
61,70,87,84
83,115,67,62
84,53,83,80
59,79,100,65
67,62,66,74
58,78,68,48
90,55,74,64
68,58,67,45
73,71,87,56
70,84,65,79
74,65,64,66
55,74,86,75
95,97,82,80
56,96,76,82
57,69,81,76
95,69,77,50
66,53,64,65
52,77,78,62
77,65,74,72
70,53,74,65
93,73,74,56
59,58,108,80
52,59,76,71
80,66,76,67
85,58,101,58
73,71,119,75
71,101,111,86
60,62,69,58
63,88,68,81
88,71,88,100
63,73,84,100
62,82,65,94
62,50,76,60
74,70,69,77
82,67,65,77
67,51,69,109
40,74,77,84
48,69,72,85
76,66,46,51
68,56,73,94
74,92,63,65
70,53,66,84
59,62,84,87
45,85,61,96
66,52,57,69
51,76,91,57
44,46,85,62
77,53,58,80
69,64,58,61
68,81,72,52
56,77,65,61
51,62,55,69
78,67,82,85
48,73,59,84
48,67,62,72
59,48,62,71
44,63,72,63
68,95,65,55
70,76,71,56
79,67,70,93
53,55,54,87
46,84,68,78
71,69,53,49
71,76,82,87
65,72,96,95
58,69,76,57
58,62,61,66
74,76,90,60
53,83,88,72
66,88,122,70
86,92,91,91
105,72,120,135
88,100,106,69
114,78,140,90
136,80,104,112
102,80,112,127
126,83,123,96
