Counts-435,Counts-436,Counts-435,Counts-436
291,648,354,552
316,579,444,528
263,662,443,563
303,679,434,570
240,559,515,578
278,488,347,449
292,443,416,498
216,530,384,533
257,445,376,629
220,465,385,497
325,523,423,488
242,419,497,469
260,411,425,526
268,380,465,363
238,411,428,528
251,323,451,533
305,285,337,418
295,331,349,539
265,317,448,482
212,413,389,485
226,284,435,493
251,326,493,383
226,315,477,434
311,341,469,475
323,377,435,567
352,362,512,435
269,260,537,434
318,367,412,456
313,327,464,413
361,333,494,434
336,340,513,441
384,337,499,472
389,392,411,462
337,350,526,431
326,304,499,477
365,401,478,412
385,419,390,506
463,375,455,414
387,368,507,475
441,364,433,458
433,308,427,445
407,313,399,419
495,425,381,506
384,322,415,386
472,388,451,372
345,309,377,415
474,367,503,323
472,412,421,437
462,369,471,370
461,306,374,428
470,395,433,410
458,401,432,439
445,358,429,438
370,500,420,417
396,347,398,358
537,415,411,424
415,356,330,312
425,458,401,456
433,350,415,330
487,397,429,436
432,465,442,370
428,392,277,399
448,338,416,406
423,375,382,447
373,397,400,357
323,318,377,403
343,393,396,320
289,361,389,364
429,306,420,366
285,334,367,367
323,338,298,310
239,315,407,373
294,289,291,367
346,341,294,329
280,388,428,414
293,394,275,383
360,380,351,363
317,466,314,448
286,348,332,440
325,375,351,331
316,382,286,407
345,504,361,428
296,446,320,397
268,484,420,440
312,503,283,424
307,417,317,518
243,502,351,323
314,616,325,330
342,477,325,486
401,544,289,414
311,519,318,457
276,510,306,315
314,543,291,327
304,503,298,491
199,586,331,423
303,615,288,502
272,517,288,428
251,610,353,428
363,569,305,417
231,515,263,447
247,435,318,449
337,467,324,434
240,427,289,361
310,451,347,404
314,396,300,392
271,389,284,387
221,419,275,383
284,409,286,331
304,354,307,370
336,430,311,367
268,340,343,379
280,305,300,310
297,349,314,345
274,353,267,401
295,308,335,334
246,363,256,281
307,358,239,336
358,389,279,335
301,404,328,249
312,396,257,378
296,337,244,298
345,350,280,380
443,390,349,354
249,407,318,361
317,496,336,388
340,349,303,347
368,385,299,392
387,382,315,352
336,389,337,314
328,448,280,335
326,452,259,340
368,341,321,317
424,395,356,295
346,423,271,338
310,433,317,332
365,343,351,267
280,373,297,274
299,276,260,332
257,364,262,242
340,389,339,314
358,359,264,299
290,334,299,344
232,331,269,326
324,335,275,340
313,320,330,310
311,290,287,308
279,377,317,278
321,314,399,382
307,282,301,406
323,359,244,311
324,336,344,328
272,360,261,375
317,343,260,340
284,339,233,403
327,432,274,331
283,346,323,321
292,359,310,282
366,394,231,372
337,357,338,282
304,407,252,324
298,378,319,323
250,476,309,358
309,454,339,315
296,488,279,354
297,482,314,357
450,439,304,426
344,552,309,513
293,462,294,359
396,657,257,445
340,700,305,413
314,467,313,429
314,703,245,532
336,581,367,508
265,689,365,474
