Counts-435,Counts-436,Counts-435,Counts-436
1271,1276,1537,1777
1685,1176,1859,1618
1690,1192,1592,1486
1665,1180,2066,1334
1765,1224,2310,1441
1790,1061,2251,1467
2026,1040,2322,1286
2297,999,2484,1324
2726,976,2976,1183
2748,1152,3217,1409
2665,1070,3175,1365
3707,1087,3636,1465
3695,1145,3585,1300
4079,1219,3931,1388
4215,1082,4389,1469
4675,1203,4566,1419
4936,1179,4944,1412
5537,1263,5490,1753
6008,1324,5638,1558
6360,1230,5849,1646
6212,1335,6303,1668
6834,1483,6364,1497
6784,1556,6963,1822
7813,1688,7251,1704
8016,1351,7759,1808
8539,1726,8163,1740
9174,1582,8379,2153
9159,1723,9553,1882
9982,1559,9554,1921
10249,1577,9882,2077
10675,1793,10084,1937
10740,1776,10465,2184
10720,1719,10495,2114
10941,1909,10604,2126
11452,2069,11022,2049
11355,1769,10654,2094
11675,2003,10946,2189
11751,1801,10533,2008
11343,1943,10415,2088
10872,1873,10563,1971
10700,1695,10112,2056
10608,1959,10063,1893
9942,1697,10201,1893
10035,1700,9198,1796
9716,1681,9254,1961
9419,1587,8800,1861
8887,1580,8186,1784
8350,1426,7742,1706
7587,1486,7660,1787
7212,1264,6720,1658
7026,1420,6576,1713
6828,1394,6471,1719
6368,1230,6368,1717
6001,1269,5929,1528
5517,1192,5356,1586
5412,1378,5160,1497
4924,1349,5212,1419
4680,1310,4664,1592
4448,1223,4616,1592
4077,1035,4191,1657
3895,1497,3719,1389
3519,1344,3506,1515
3172,1358,3290,1668
2720,1131,3114,1363
2666,1292,2764,1617
2447,1424,2547,1563
2522,1325,2177,1639
2405,1421,2269,1687
1894,1437,2105,1339
2030,1400,2164,1735
1761,1323,2092,1623
1921,1360,1909,1732
1676,1547,1873,1623
1596,1492,1588,1690
1689,1278,1692,1530
1565,1461,1691,1520
1538,1489,1663,1692
1473,1489,1543,1611
1431,1324,1727,1726
1628,1421,1770,1551
1365,1314,1605,1581
1458,1576,1642,1517
1512,1348,1579,1584
1474,1248,1609,1483
1616,1230,1720,1506
1492,1213,1637,1601
1764,1256,1818,1591
1798,1318,1925,1577
1892,1467,1985,1596
1999,1149,2137,1534
2010,1396,2130,1442
