Counts-435,Counts-436,Counts-435,Counts-436
1019,922,1150,1347
1115,1015,1329,1210
1187,871,1489,1040
1195,990,1436,1104
1433,868,1637,1223
1301,797,1707,980
1536,915,1686,1099
1737,856,1978,1235
1617,757,2145,1305
1874,946,2249,1109
2165,803,2457,1031
2583,897,2755,1086
2547,854,2538,1199
2966,885,3106,1168
3141,949,3449,1125
3133,988,3220,1138
3628,953,3570,1166
3792,1049,4094,1248
3995,1014,3732,1239
4286,995,4349,1233
4661,1075,4686,1272
4533,1095,4828,1398
4877,1157,4873,1299
5182,1096,5140,1429
5115,1030,5265,1349
5441,1225,5485,1480
6106,1145,6094,1371
6189,1152,6576,1579
6529,1255,6511,1336
6912,1293,6408,1401
6789,1350,6816,1603
7013,1304,7201,1631
7504,1549,7791,1715
7307,1402,7236,1734
7449,1286,7222,1600
7464,1382,7513,1503
7357,1364,7628,1706
7661,1364,7038,1572
7329,1297,6605,1753
7553,1433,7202,1585
7189,1368,7125,1567
7259,1555,6330,1473
6953,1314,6395,1332
6719,1218,6175,1534
6271,1356,6034,1393
6276,1268,5655,1305
5842,1098,5186,1372
5735,1103,5041,1283
5466,1180,4979,1281
4954,1116,4538,1206
4869,972,4325,1227
4508,1018,4433,1236
4706,1003,4333,1280
4348,1003,4202,1175
3967,953,3853,1069
3675,998,3912,1203
3602,1008,3719,1301
3367,976,3428,1020
3307,1008,3213,1247
3049,904,3168,1116
2779,1014,2879,1236
2643,1017,2811,1363
2632,1065,2537,1134
2221,1162,2459,1339
1859,1076,2234,1246
1987,1082,2043,1245
1843,1065,1971,1251
1548,1058,1838,1246
1639,1252,1772,1333
1541,1232,1680,1242
1369,1031,1547,1450
1269,1171,1531,1316
1176,1147,1454,1309
1230,1099,1364,1291
1334,1045,1464,1353
1292,1039,1322,1402
1107,1112,1440,1340
1311,1244,1181,1280
1112,1068,1303,1219
1084,1040,1168,1158
949,1012,1221,1372
1147,884,1207,1305
1318,1106,1078,1301
1102,963,1357,1227
1120,989,1152,1177
1026,1181,1394,1186
1073,1033,1358,1160
1092,795,1309,1371
1217,1101,1338,1211
1356,849,1476,1133
1516,872,1513,1294
1475,974,1780,1194
1576,1007,1857,1314
1639,1026,2140,1197
1716,945,2122,1183
2254,1026,2307,1326
2553,942,2605,1293
2811,1137,2644,1393
2987,967,3093,1307
3076,1191,3370,1467
3797,1215,3513,1323
3562,1323,3969,1343
4073,1287,4411,1381
4489,1318,4336,1354
4502,1428,4522,1350
4779,1195,4402,1601
5141,1264,4742,1451
5182,1231,5232,1463
5081,1301,5192,1574
5205,1401,5206,1530
5520,1298,4726,1440
5455,1308,5009,1375
5431,1237,5269,1462
5264,1417,5212,1447
5098,1264,4928,1376
5237,1277,4946,1368
4781,1158,4499,1439
4309,1101,4281,1384
4256,1065,4330,1213
4098,1076,4226,1138
3493,1048,3566,1174
3303,1159,3387,1165
3175,1102,3194,996
3217,1074,3031,1243
2635,1036,3107,1046
2809,868,2509,1165
2587,836,2285,982
2163,770,2387,1106
1987,824,1998,958
1794,656,1881,960
1608,718,1777,925
1519,714,1435,906
1401,689,1414,865
1496,644,1230,852
1275,611,1197,845
1035,618,1140,833
986,686,1060,746
950,721,1116,721
1050,681,975,875
686,648,928,887
787,622,920,799
927,595,835,993
873,585,975,968
736,651,886,734
788,617,894,901
808,669,953,975
628,766,710,888
714,688,810,986
691,687,929,831
736,665,883,859
647,754,908,834
559,628,932,975
710,659,868,969
632,702,1117,948
659,610,886,942
674,793,1093,915
671,583,915,764
704,845,1111,821
739,657,1090,899
649,663,998,1024
588,722,1016,1000
687,680,970,969
634,799,986,1091
648,747,981,1088
687,807,1026,914
662,816,968,1163
603,790,1095,947
611,780,1116,1043
793,762,1135,884
760,803,1256,988
781,867,1249,975
785,630,1093,952
680,840,1073,962
720,818,1108,1053
783,753,1079,1054
855,694,1195,984
870,830,1215,971
919,722,1222,940
861,712,1027,979
728,714,1405,903
763,657,1087,876
809,551,1186,947
767,715,1208,821
702,752,1344,900
896,574,1397,860
778,683,1129,1103
935,632,1301,865
933,746,1296,933
1034,1031,1227,1182
977,839,1110,1130
966,882,1305,1208
1213,1051,1464,1461
1219,1340,1471,1402
1283,1421,1517,1447
1214,1441,1567,1618
1616,1494,1739,1890
1842,1856,1794,2087
1700,1978,2021,2251
