Counts-435,Counts-436,Counts-435,Counts-436
72,70,75,73
74,80,58,55
77,71,65,62
74,84,123,100
75,85,109,78
74,82,77,62
91,90,86,74
74,106,109,103
63,74,64,101
51,83,58,74
64,93,81,100
77,87,55,86
90,68,50,65
68,96,70,103
47,45,79,77
62,87,68,88
66,64,62,77
58,55,75,75
101,84,83,87
70,62,78,81
53,87,71,84
88,77,85,54
66,90,55,88
55,73,68,75
58,70,90,77
68,80,80,65
75,63,70,85
55,81,61,62
60,68,75,72
59,67,78,68
86,84,60,72
65,66,77,69
57,78,93,54
90,82,64,64
69,53,82,70
59,70,64,76
81,89,72,54
60,60,78,97
83,84,55,80
64,85,72,69
56,64,66,73
68,61,68,93
53,82,107,77
52,53,105,76
61,86,71,82
72,69,91,75
72,70,72,61
56,98,58,85
78,62,60,64
75,58,86,52
77,60,78,100
54,74,75,91
77,76,68,88
61,59,65,68
51,78,90,60
78,63,85,87
83,64,83,92
68,55,51,89
54,77,86,67
91,70,82,76
59,58,63,60
58,57,88,72
78,82,70,99
61,66,62,58
55,63,62,79
75,73,75,59
60,70,69,82
49,65,50,53
50,78,51,66
76,85,79,82
64,67,67,83
61,79,109,84
72,66,52,76
62,51,76,53
57,67,77,64
88,66,76,73
54,70,61,81
68,76,61,63
71,69,52,70
50,87,84,78
66,80,82,76
49,96,112,73
94,55,80,82
51,46,62,71
67,68,62,74
75,58,84,83
50,48,65,74
53,56,53,95
79,53,56,86
41,65,78,70
76,89,61,47
60,80,69,74
96,60,58,49
53,57,62,63
77,58,83,84
65,72,83,61
72,59,64,76
68,68,66,76
53,58,85,71
56,82,44,58
44,76,61,71
51,53,58,74
65,60,48,84
86,68,75,85
78,75,78,77
63,65,82,63
63,90,86,84
52,73,79,72
42,75,48,67
67,65,64,86
69,62,63,86
66,59,48,73
64,92,65,93
78,77,56,70
93,92,59,64
58,65,66,92
57,74,64,56
45,74,65,88
63,72,58,79
74,64,71,60
107,51,69,78
83,82,66,90
65,54,57,75
53,82,51,77
57,67,61,57
61,71,60,59
73,96,52,51
76,65,67,60
47,55,70,51
51,54,54,78
62,72,78,95
49,53,84,66
55,65,58,54
70,67,72,61
64,86,60,50
72,48,57,61
51,59,43,51
52,71,75,89
55,85,67,68
56,75,66,91
50,58,57,52
58,72,66,62
55,56,87,57
50,62,60,65
66,62,93,76
60,77,56,56
55,64,61,57
66,63,57,62
72,67,57,78
85,67,53,70
62,60,69,91
78,72,47,61
72,57,75,76
75,56,61,55
64,91,58,69
57,78,76,71
65,57,64,68
50,63,82,56
68,83,50,75
47,71,62,76
78,57,56,62
47,74,59,66
54,72,69,73
56,69,62,79
63,62,60,63
79,74,71,70
54,66,56,77
70,66,72,48
68,78,88,104
60,69,55,97
55,79,77,99
77,58,62,86
63,79,67,83
75,63,72,79
52,54,72,98
45,69,49,89
61,59,71,68
47,63,83,61
70,67,70,61
60,79,74,62
81,83,83,97
53,75,60,62
64,72,79,82
52,80,62,71
55,81,62,60
67,69,75,95
65,76,82,69
58,92,69,88
57,70,60,78
67,99,63,100
71,88,65,98
66,88,58,81
82,73,86,67
52,90,85,104
83,74,57,75
86,46,43,67
59,70,106,60
89,51,65,53
86,63,79,53
69,67,72,76
60,45,94,80
63,84,68,75
50,57,71,74
63,52,73,64
63,52,59,70
55,70,60,78
53,72,55,93
67,82,46,63
72,71,54,64
68,66,65,77
59,76,68,92
61,74,64,82
57,65,66,56
62,54,56,56
67,73,41,55
51,71,72,71
77,79,39,78
92,94,63,94
74,107,53,76
50,72,67,71
75,73,71,56
77,70,83,67
57,93,72,76
57,58,70,56
71,100,87,81
87,74,54,86
80,101,81,57
68,82,62,99
59,70,63,55
75,93,90,54
97,44,60,119
76,94,91,83
63,63,59,70
73,84,61,70
54,103,90,57
47,78,54,50
57,58,84,110
63,71,68,52
85,79,79,82
63,78,71,59
72,67,68,86
67,62,76,85
79,61,55,83
55,83,51,105
60,52,65,79
68,58,73,72
60,85,76,66
62,94,75,60
56,78,69,82
51,63,67,73
75,62,81,66
50,60,54,51
56,79,49,60
51,78,68,55
92,88,57,61
89,62,74,84
69,114,53,70
55,66,67,57
57,51,65,81
76,70,62,67
77,84,84,64
66,88,71,90
80,69,75,68
58,74,64,94
62,79,58,68
70,75,63,70
72,76,54,72
76,107,65,56
60,121,90,75
96,100,60,91
57,59,78,69
64,91,45,86
71,98,55,74
95,82,68,78
59,87,76,77
74,90,83,52
71,60,83,97
76,69,76,100
88,100,89,112
95,89,69,61
52,84,56,90
86,63,63,78
105,75,81,55
57,66,51,79
59,65,106,114
84,73,121,69
75,69,97,97
104,89,106,70
66,87,90,61
69,88,89,64
78,91,93,82
83,78,87,101
90,88,58,93
96,76,84,106
113,102,53,90
73,96,97,74
59,66,64,76
74,81,65,102
86,92,48,55
92,84,72,62
63,108,69,84
94,68,72,90
50,86,72,50
76,77,65,66
78,59,81,64
86,102,86,70
83,80,58,65
65,57,108,78
71,78,69,79
69,60,97,62
54,67,107,79
85,56,71,81
84,62,63,72
59,69,71,79
122,96,69,71
80,59,88,68
78,81,69,62
80,80,87,109
93,55,103,65
73,117,67,44
67,61,66,68
73,90,74,68
87,80,117,81
91,100,79,91
