Counts-435,Counts-436,Counts-435,Counts-436
8610,1963,7902,2533
8627,2138,8533,2824
8919,2061,9175,2842
9239,1904,8306,2718
9002,2392,8102,2924
8961,2509,8565,2556
8686,2279,8413,3172
8570,2398,7811,2854
8607,2335,8545,2689
7963,2600,7042,2924
7769,2084,8194,2668
7760,2208,6994,2531
7014,2124,7449,2831
7295,2237,7428,2787
6958,2064,6641,2959
6645,2133,6947,3027
6607,2281,6244,2888
6939,2096,5527,2793
6192,2337,6277,3057
5878,2418,6056,3070
5653,2619,5284,2811
5995,2936,5275,3331
5707,3027,5412,3444
6226,3244,5272,3616
5619,2939,5207,4256
5557,3447,4973,4169
5552,3645,4898,4144
5528,4015,5383,4856
5132,3789,5070,4857
4948,4433,4877,5517
4917,4426,4352,5755
4740,5342,4533,5288
4132,5012,4564,5673
4305,5533,4210,6194
4105,5336,4029,5848
3914,6196,3635,7048
3892,5824,3673,6712
3701,6268,3182,6745
3518,5585,3397,6623
3346,5901,3004,6472
2659,6619,2866,6499
2823,5735,2713,5969
2630,6303,2505,6014
2855,6860,2621,6529
2454,6825,2338,6201
2413,6630,2521,6378
2135,7020,2307,6439
2376,6790,2205,6212
2510,6668,2067,6929
1925,6201,2324,6040
2026,6462,2182,6240
1923,6984,1943,6473
1750,6383,2044,5924
1717,6541,1990,5538
2055,7041,2211,6086
1974,6432,2346,5459
2096,6176,2012,5268
1876,6326,2133,5136
1665,6644,2512,5509
1897,6648,2163,5534
1806,6309,1978,5183
1593,5868,2011,4819
1983,5669,2376,5286
1687,5779,2009,4555
1568,5194,2519,5006
1812,5022,2281,4735
1614,4913,2238,5145
2003,4626,2231,4653
1944,4522,2358,4423
2205,4352,2255,3521
1967,3533,2284,4144
1953,3217,2772,3579
2059,3145,2963,3726
2124,2927,2674,3370
2501,3272,3019,3116
2874,3031,3489,3170
2849,2594,3501,2884
2937,2417,4027,2851
2818,2282,4494,2796
2929,2722,4913,2862
3122,2112,4596,2655
3490,2328,4858,3020
3741,2252,5048,3282
4083,2234,6481,2913
4281,2231,6689,3210
4808,2006,7128,2625
5183,2148,7266,3118
5170,2159,8154,3100
5493,2161,8776,2731
5499,1768,9143,2718
6374,2438,9513,3431
6996,2293,9837,3479
7395,2391,9855,3358
7327,2257,10689,3210
7738,2537,10786,3644
8245,1962,11897,3181
8440,2385,12049,3368
8854,2260,12341,3251
8968,2530,13519,3775
9537,2383,13406,3371
9770,2499,14350,3893
9857,2591,14792,4218
10989,2207,13862,4026
10935,2105,15354,3807
11485,2586,15392,3854
10150,2297,14979,4392
11346,2663,15765,4146
12102,2741,15890,4080
12327,2612,16184,4263
11705,2595,16496,4224
12009,2495,15855,3944
12682,2619,15919,4048
12478,2381,16744,3806
12998,2776,15829,3868
12557,2756,15491,4223
12727,2406,15811,4056
12925,2392,15141,4158
11559,2360,14527,4101
12132,2369,14304,3666
12148,2376,15191,3583
11494,2234,15424,3669
11258,2532,14327,3993
11051,2502,14586,4041
11036,2489,13867,3701
10711,2128,12412,3381
10074,2479,12970,3865
9829,2407,12576,3697
9319,2267,12389,4021
9187,2309,12615,3840
9474,2325,11127,3902
8208,2363,11003,3670
7985,2359,10880,3543
6768,2227,10545,3229
6406,2609,10283,3880
6616,2190,9483,3666
6084,2168,9157,3860
5354,2524,8490,3999
5473,2377,8431,3960
4896,2527,8437,4118
4720,2518,8513,4052
4105,2295,7622,3569
4649,2200,6928,3455
4064,2653,7373,3134
3820,2349,7423,3593
3868,2247,7215,3806
3369,2372,7518,3321
3100,2488,6486,3251
3152,2382,6112,3577
2976,2441,6745,3694
3455,2507,7612,3645
2932,2584,6105,3414
3089,2609,6352,3207
3039,2659,6480,3489
3108,2691,6539,3487
2964,2724,6012,3933
3094,2499,6039,3603
3195,2516,6788,3409
2866,2976,6041,3582
3546,2864,6157,3374
3090,2560,6079,3226
3457,2126,6453,3680
3121,2476,6015,3640
3679,2476,6704,3583
3446,2408,6314,3148
4364,2248,6865,3461
4225,2564,7444,3270
4776,2191,7155,3133
4678,1973,7395,3282
4888,2140,7558,2999
5760,1934,7591,2873
5863,2259,7825,3088
5791,2195,8309,2958
6355,1991,8284,3380
6613,2665,8218,3222
7365,2059,9583,3292
6946,2298,9192,3039
7590,2072,9171,2702
7503,2316,9219,2797
8428,2517,8559,3279
7958,2375,8752,3158
8003,2241,9173,2834
8218,1868,7699,2747
8660,2276,8922,2717
8795,2255,8380,2941
8198,2515,8362,2914
8596,2327,8026,3180
8327,2188,7858,2965
7999,2077,7965,2829
7622,2108,7960,2489
7506,2090,6905,2313
7345,2266,7402,2531
7340,2212,6817,2581
7038,2396,6513,2280
6251,2053,5826,2601
6647,2178,6074,2431
5957,1975,6298,2676
6082,2162,5637,2461
5174,2144,5717,2141
5305,1918,5242,2295
5331,1571,4734,2245
4539,1612,4523,2250
4927,1571,4574,2290
4318,1570,3932,2071
3717,1481,3728,2021
3876,1578,3321,1989
3329,1695,3636,1781
3326,1499,3262,1842
2990,1469,3194,1848
3167,1507,3180,1997
2908,1448,3054,1803
2491,1496,2791,1988
2505,1288,2535,1965
2346,1289,2603,1830
