Serotype,Humans,Pork,Beef,Broiler Flocks,Layer Flocks
S. Enteritidis,67.2,0,0,24.5,85.4
S. Typhimurium,17.5,54,10.5,18.2,6.8
S. Hadar,1.6,0,0,3.7,0
S. Manhattan,1.1,0,0,3,0
S. Infantis,0.9,17.2,0,17.5,4.9
S. Virchow,0.8,0.2,0,0.4,0
S. Agona,0.8,0,0,1.1,0
S. Derby,0.6,6.3,10.5,1.1,0
S. Newport,0.6,0,0,0,0
S. Java,0.5,0,0,0,0
S. Stanley,0.5,0,0,0,0
S. Braenderup,0.4,0,0,0,0
S. Bovismorbificans,0.4,0.4,0,0,0
S. Glostrup,0.3,0,0,0,0
S. Heidelberg,0.3,0,0,0,0
S. Saintpaul,0.3,0,0,0,0
S. Dublin,0.3,0.2,68.5,0,0
Others incl. non typable,6.1,21.9,10.5,30.5,2.9
Total counts,"3,880",448,19,269,103
